party, gender	house	senate	input
Democratic, male	8583.72	11064.27	9285.98
Libertarian, male	11137.76		11137.76
Democratic, female	10240.62	9136.14	10138.45
Republican, male	19551.12	15135.0	17106.82
Republican, female	12977.15	14913.63	14466.52
Independent, male		11339.04	11339.04
