transaction_date,input
2021/07/09,1
2021/06/22,1
2021/04/30,1
2021/05/03,1
2021/04/19,1
2021/03/10,1
2021/09/10,1
2021/10/21,3
2021/10/22,2
2021/04/27,1
2019/12/10,1
2019/12/16,1
2019/12/23,3
2021/08/05,1
2021/08/18,1
2020/06/29,1
2020/02/04,1
2020/06/16,1
2020/06/10,1
2021/06/14,1
2021/06/21,2
2021/02/04,1
2020/08/07,1
2020/08/27,2
2021/03/17,2
2021/03/31,1
2021/03/15,1
2021/03/11,1
2021/03/22,1
2020/06/03,2
2020/02/28,1
2020/02/10,1
2020/02/21,1
2020/05/12,1
2020/09/08,1
2021/04/14,1
2021/06/29,1
2020/11/12,1
2021/09/08,1
2021/08/19,1
2021/11/16,1
2020/08/04,1
2020/06/24,1
2020/01/07,2
2021/09/15,2
2021/09/23,1
2020/06/15,1
2020/06/02,1
2020/06/22,1
2021/04/05,1
2021/04/28,1
2021/03/03,1
2021/03/16,1
2020/11/16,1
2020/11/06,1
2020/11/11,1
2021/09/01,1
2021/10/18,1
2021/10/12,1
2021/10/29,1
2021/10/27,1
2021/10/20,1
2021/05/11,1
2021/11/26,1
2021/11/01,1
2021/09/02,1
2021/09/30,1
2021/01/11,1
2021/01/15,1
2019/12/24,1
2020/03/24,1
2020/03/18,1
2020/12/18,1
2021/09/20,1
2019/12/19,1
2019/12/02,1
2019/12/06,1
2019/12/03,1
2021/04/29,1
2021/06/18,1
2021/06/17,1
2020/08/14,1
2020/09/15,2
2020/09/25,1
2020/09/30,1
2020/09/02,1
2020/08/31,1
2020/04/02,1
2020/04/24,1
2020/01/08,1
2020/01/17,1
2020/01/27,1
2020/01/22,1
2019/12/27,1
2019/12/30,1
2020/04/09,1
