official	house	senate	input
Garcia, Mike	21.5		21.5
Suozzi, Thomas	7.8		7.8
Wagner, Ann	1.33		1.33
Alexander, Lamar		3.28	3.28
Green, Mark	183.67		183.67
Trone, David	4.33		4.33
Connolly, Gerald E.	1.38		1.38
Gottheimer, Josh	178.2		178.2
Cantwell, Maria E.		0.3	0.3
Fallon, Patrick	89.0		89.0
Ross, Deborah K.	20.0		20.0
Johnson, Ron		0.18	0.18
Reed, Jack		0.03	0.03
Franklin, Scott	16.0		16.0
Manchin III, Joseph		1.0	1.0
Beyer, Donald S.	95.71		95.71
Marshall, Roger W.	7.4	0.2	7.6
Marchant, Kenny	6.81		6.81
Kustoff, David	1.8		1.8
Cruz, Rafael E.		1.44	1.44
Maloney, Sean P.	0.89		0.89
Collins, Susan M.		18.0	18.0
Schneider, Bradley S.	1.0		1.0
Roberts, Pat		11.93	11.93
Bustos, Cheri	1.11		1.11
Buck, Kenneth R.	0.14		0.14
Arenholz, Ashley H.	14.0		14.0
Timmons, William R.	6.0		6.0
Rosen, Jacklyn S.		1.2	1.2
Shelby, Richard C.		0.02	0.02
Upton, Fred	0.57		0.57
Holding, George	1.62		1.62
Lummis, Cynthia M.		0.22	0.22
Newhouse, Dan	0.14		0.14
Cohen, Steve	3.33		3.33
Smith, Tina		6.0	6.0
Toomey, Patrick J.		12.12	12.12
Boozman, John		2.19	2.19
Yarmuth, John A.	6.8		6.8
Schultz, Debbie W.	0.59		0.59
Grijalva, Raúl M.	0.21		0.21
Meijer, Peter	266.0		266.0
Garbarino, Andrew	13.0		13.0
Cardin, Benjamin L.		0.6	0.6
Bennet, Michael F.		0.62	0.62
Roe, David P.	1.58		1.58
Graves, Garret	1.29		1.29
Jacobs, Sara	63.0		63.0
Capito, Shelley M.		18.1	18.1
McHenry, Patrick T.	0.06		0.06
Brooks, Mo	3.82		3.82
Cochran, Thad		0.49	0.49
Hill, James F.	1.29		1.29
Gaetz, Matt	0.6		0.6
Sullivan, Daniel S.		3.86	3.86
Kinzinger, Adam	2.18		2.18
Doggett, Lloyd	1.63		1.63
Tillis, Thomas R.		14.14	14.14
Peters, Gary C.		11.0	11.0
Carper, Thomas R.		31.61	31.61
Smucker, Lloyd K.	2.2		2.2
Thune, John R.		0.04	0.04
Gallagher, Michael J.	7.6		7.6
Case, Ed	1.12		1.12
Hern, Kevin	90.0		90.0
Chabot, Steve	0.08		0.08
Courtney, Joe	10.8		10.8
Bice, Stephanie	1.0		1.0
Loeffler, Kelly		279.0	279.0
Foxx, Virginia	8.24		8.24
Clark, Katherine M.	27.0		27.0
Moore, Felix B.	6.0		6.0
Frankel, Lois	32.33		32.33
Rice, Tom	1.22		1.22
Daines, Steve		0.11	0.11
Taylor, Nicholas V.	7.0		7.0
Guest, Michael P.	1.33		1.33
