official,Exchange,Purchase,Sale (Full),Sale (Partial),total
"Portman, Robert J.",,,9,,11
"Price, David E.",3,11,1,,15
"Raskin, Jamie",,,1,,1
"Reed, Jack",,,,,1
"Reed, John F.",2,104,86,48,250
"Rice, Tom",,2,9,,11
"Roberts, Pat",,284,157,17,477
"Roe, David P.",,17,2,,19
"Rogers, Harold D.",2,10,8,,20
"Rooney, Francis",,40,17,3,60
"Rosen, Jacklyn S.",5,,1,,6
"Ross, Deborah K.",,19,,1,20
"Rouda, Harley E.",,2,5,,7
"Rounds, Mike",,9,1,,10
"Rouzer, David C.",,4,3,4,11
"Rutherford, John",,20,28,,48
"Sanchez, Linda T.",,,5,,5
"Schiff, Adam B.",,,3,1,4
"Schneider, Bradley S.",,,,7,7
"Schrader, Kurt",,132,125,1,258
"Schrier, Kim",,3,31,,34
"Schultz, Debbie W.",,10,,,10
"Scott, Austin",,40,30,5,75
"Scott, Rick",4,143,22,,169
"Scott, Robert C.",,,17,,17
"Sessions, Pete",,37,2,,39
"Shaheen, Jeanne",,3,,,3
"Shalala, Donna",1,173,317,76,567
"Shelby, Richard C.",,,,,1
"Sherrill, Mikie",,24,136,1,161
"Simpson, Michael K.",,7,19,1,27
"Smith, Tina",,6,7,11,24
"Smucker, Lloyd K.",,,,11,11
"Spanberger, Abigail",,2,,,2
"Spartz, Victoria",,5,2,1,8
"Steube, William G.",,5,,1,6
"Sullivan, Daniel S.",,6,4,17,27
"Suozzi, Thomas",,16,20,3,39
"Taylor, Nicholas V.",1,,20,,21
"Thune, John R.",1,,,,1
"Tillis, Thomas R.",,,96,3,99
"Timmons, William R.",,4,14,,18
"Toomey, Patrick J.",12,83,45,58,206
"Trahan, Lori",,,2,,2
"Trone, David",,1,10,2,13
"Tuberville, Thomas H.",,122,154,3,279
"Udall, Thomas S.",,,1,1,3
"Upton, Fred",1,9,10,,20
"Visclosky, Peter J.",,,,2,2
"Wagner, Ann",,12,,,12
"Waltz, Michael",,2,2,,4
"Warner, Mark R.",,16,27,6,98
"Warren, Elizabeth",,,,,1
"Welch, Peter",,8,37,4,49
"Whitehouse, Sheldon",13,384,188,90,693
"Wicker, Roger F.",,2,5,1,8
"Wittman, Robert J.",,31,20,3,54
"Wyden, Ronald L.",,221,38,2,262
"Yarmuth, John A.",,45,11,46,102
