Age_Senate
68
67
61
67
62
69
75
69
80
70
64
63
58
72
67
60
67
66
61
65
59
77
57
72
71
67
66
64
54
57
87
85
64
76
72
51
64
75
66
70
88
81
70
51
73
72
61
69
61
66
78
74
70
71
59
63
70
63
78
52
84
72
87
