Age_Senate
75
87
60
64
79
85
59
71
88
81
71
57
80
76
75
58
79
50
78
77
97
97
49
78
70
77
62
90
78
82
88
85
67
80
59
66
60
75
69
78
85
62
78
71
87
61
70
70
84
68
72
65
80
80
71
64
61
82
75
53
68
98
78
73
55
71
68
66
74
65
69
66
87
74
65
72
61
60
66
72
66
70
56
75
61
69
81
78
70
88
50
80
82
76
67
63
71
74
84
87
66
69
78
59
48
74
66
78
72
52
75
61
71
56
52
50
66
51
64
60
57
44
47
72
51
64
63
59
50
61
54
67
68
69
67
57
54
49
70
63
64
62
58
64
45
56
58
69
51
68
42
64
61
69
75
67
49
70
35
52
61
49
62
67
