name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Whitehouse, Sheldon",TWTR,2016/01/26,2016/05/03,2018/05/01,1.1549,2017/05/02,0.2746,2016/11/01,0.2526
"Hoeven, John",XOM,2019/11/05,2020/02/11,2022/02/08,0.3416,2021/02/09,-0.1679,2020/08/11,-0.2471
"Inhofe, James M.",KMX,2018/01/25,2018/05/03,2020/04/30,0.1898,2019/05/02,0.2261,2018/11/01,0.0892
"Langevin, James R.",ZBRA,2019/08/08,2019/11/14,2021/11/11,1.4509,2020/11/12,0.4526,2020/05/14,-0.0841
"Perdue Jr., David A.",DISCA,2017/08/04,2017/11/10,2019/11/08,0.7947,2018/11/09,0.9543,2018/05/11,0.3902
"Langevin, James R.",BYND,2019/12/30,2020/04/06,2022/04/04,,2021/04/05,1.0414,2020/10/05,1.6622
"Perdue Jr., David A.",AAPL,2016/04/26,2016/08/02,2018/07/31,0.8157,2017/08/01,0.4216,2017/01/31,0.1521
"Perdue Jr., David A.",FDC,2017/06/26,2017/10/02,2019/09/30,,2018/10/01,,2018/04/02,
"Courtney, Joe",UNP,2019/12/31,2020/04/07,2022/04/05,,2021/04/06,0.4891,2020/10/06,0.3498
"Beyer, Donald S.",EDIT,2019/12/23,2020/03/30,2022/03/28,,2021/03/29,0.9963,2020/09/28,0.4719
"Cassidy, William",SO,2016/03/31,2016/07/07,2018/07/05,-0.1246,2017/07/06,-0.1224,2017/01/05,-0.0927
"Whitehouse, Sheldon",UA,2016/01/06,2016/04/13,2018/04/11,-0.6502,2017/04/12,-0.5698,2016/10/12,-0.1958
"Perdue Jr., David A.",VSM,2016/12/02,2017/03/10,2019/03/08,,2018/03/09,,2017/09/08,
"Collins, Susan M.",ROP,2014/06/19,2014/09/25,2016/09/22,0.2315,2015/09/24,0.0445,2015/03/26,0.1634
"Roberts, Pat",NVDA,2017/09/28,2018/01/04,2020/01/02,0.1066,2019/01/03,-0.3898,2018/07/05,0.1154
"Whitehouse, Sheldon",PEP,2015/03/10,2015/06/16,2017/06/13,0.2457,2016/06/14,0.1006,2015/12/15,0.0622
"Frankel, Lois",NSP,2019/12/17,2020/03/24,2022/03/22,1.9199,2021/03/23,1.4832,2020/09/22,0.9508
