	p26	p52	p104
Homeland Security and Governmental Affairs Committee 	0.06	0.09	0.24
Foreign Relations Committee 	0.05	0.11	0.24
Joint Committee on Printing 	0.09	0.12	0.29
Aging 	0.05	0.12	0.28
Africa, Global Health, and Global Human Rights 	-0.12	0.18	0.28
Commodities, Risk Management, and Trade 	0.01	0.08	0.21
Bankruptcy and the Courts subcommittee 	0.04	0.11	0.28
Committee on Energy and Natural Resources 	0.03	0.1	0.24
Space and Aeronautics Committee 	0.41	0.6	
Senate Committee on the Budget 	0.07	0.04	0.04
Committee on Small Business 	0.48	0.58	0.74
Committee on Appropriations 	0.03	0.06	0.17
Committee on Energy and Commerce 	0.18	0.49	1.22
Committee on Ethics 	0.09	0.14	0.36
Intelligence and Counterterrorism 	0.12	0.29	0.1
Senate Committee on Foreign Relations 	0.28	0.55	1.61
House Committee on Rules 	0.01	0.21	0.46
Senate Committee on Budget 	0.05	0.1	0.23
Agriculture, Rural Development, Food, and Drug Administration, and Related Agencies Committee 	0.01	0.05	0.24
Committee on Rules 	0.02	-0.11	0.31
Research and Technology 	0.41	0.6	
SeaPower 	0.02	0.07	0.1
Committee on Banking, Housing, and Urban Affairs 	0.05	0.1	0.23
Fisheries, Water, and Wildlife 	0.05	0.12	0.28
Senate Committee on Commerce, Science, and Transportation 	-0.18	-0.26	-0.25
Defense 	0.03	0.06	0.17
Senate Rules and Administration Committee 	0.07	0.04	0.04
Committee on Veterans' Affairs 	0.04	0.03	0.17
House Ways and Means Committee 	0.57	0.77	0.69
Water, Oceans, and Wildlife 	-0.32	-0.44	-0.52
State, Foreign Operations, and Related Programs Committee 	-0.01	-0.06	0.31
Senate Committee on Armed Services 	0.05	0.1	0.2
Public Lands, Forests, and Mining 	0.02	0.08	0.22
Committee on Small Business and Entrepreneurship 	0.06	0.07	0.18
Antitrust, Competition Policy, and Consumer Rights subcommittee Committee 	0.28	0.55	1.61
Emerging Threats and Capabilities 	-0.0	0.06	0.1
Committee on Indian Affairs 	0.01	0.08	0.28
Surface Transportation, Maritime, Freight, and Ports Committee 	-0.01	0.06	0.13
Labor, Health, and Human Services, Education, and Related Agencies Committee 	0.02	0.05	0.14
Energy and Commerce Committee 	0.04	0.11	0.22
Committee on Oversight and Government Reform 	0.04	0.16	0.33
Committee on Financial Services 	0.19	0.16	0.51
Oversight and Government Reform Committee 	0.05	0.11	0.12
Indian Affairs Committee 	0.02	0.1	0.26
Commerce, Science, and Transportation Committee 	-0.01	-0.02	0.14
Committee on Aging 	0.06	0.1	0.21
Committee on Budget 	0.17	0.46	
Science, Space, and Technology Committee 	0.41	0.6	
Deficit Reduction Committee 	0.01	-0.03	0.05
Rules Committee 	0.01	0.21	0.46
House Permanent Select Committee on Intelligence 	0.35	0.46	0.19
Banking, Housing, and Urban Affairs Committee 	0.04	0.02	0.19
Strategic Forces 	0.14	0.17	0.2
House Committee on Armed Services 	0.28	0.6	0.41
Select Committee on Intelligence 	0.05	0.06	0.11
Committee on Judiciary 	0.25	0.49	
Health, Education, Labor, and Pensions Committee 	0.06	0.11	0.27
Committee on Intelligence 	0.07	0.08	0.14
Military Construction, Veterans Affairs, and Related Agencies Committee 	0.02	0.07	0.15
Committee on Armed Services 	0.07	0.15	0.21
Natural Resources Committee 	0.36	0.52	-0.52
Middle East, North Africa, and Global Counterterrorism 	-0.14	0.1	0.2
Joint Committee on Taxation 	0.57	0.77	0.69
