	p26	p52	p104
Homeland Security and Governmental Affairs Committee 	0.05	0.11	0.23
Foreign Relations Committee 	0.05	0.12	0.22
Joint Committee on Printing 	0.07	0.12	0.28
Aging 	0.06	0.13	0.31
Africa, Global Health, and Global Human Rights 	-0.14	-0.06	0.29
Commodities, Risk Management, and Trade 	-0.01	0.05	0.21
Bankruptcy and the Courts subcommittee 	0.06	0.13	0.3
Committee on Energy and Natural Resources 	0.02	0.09	0.27
Space and Aeronautics Committee 	0.15	0.52	0.39
Senate Committee on the Budget 	0.03	-0.01	0.03
Committee on Small Business 	0.15	0.42	0.66
Committee on Appropriations 	0.02	0.06	0.17
Committee on Energy and Commerce 	-0.06	0.06	0.46
Committee on Ethics 	0.08	0.13	0.34
Intelligence and Counterterrorism 	-0.11	0.0	0.1
Senate Committee on Foreign Relations 	0.13	0.21	1.26
House Committee on Rules 	-0.24	-0.19	-0.02
Senate Committee on Budget 	0.05	0.11	0.23
Agriculture, Rural Development, Food, and Drug Administration, and Related Agencies Committee 	-0.01	0.08	0.25
Committee on Rules 	-0.02	-0.18	0.29
Research and Technology 	0.15	0.52	0.39
SeaPower 	0.01	0.04	0.15
Committee on Banking, Housing, and Urban Affairs 	0.04	0.12	0.21
Fisheries, Water, and Wildlife 	0.06	0.13	0.31
Senate Committee on Commerce, Science, and Transportation 	-0.11	-0.22	-0.25
Defense 	0.02	0.06	0.18
Senate Rules and Administration Committee 	0.03	-0.01	0.03
Committee on Veterans' Affairs 	0.04	0.06	0.19
House Ways and Means Committee 	0.01	0.16	0.4
Water, Oceans, and Wildlife 	-0.11	-0.25	-0.38
State, Foreign Operations, and Related Programs Committee 	-0.0	0.08	0.31
Senate Committee on Armed Services 	0.06	0.12	0.2
Public Lands, Forests, and Mining 	0.05	0.1	0.29
Committee on Small Business and Entrepreneurship 	0.13	0.14	0.22
Antitrust, Competition Policy, and Consumer Rights subcommittee Committee 	0.13	0.21	1.26
Emerging Threats and Capabilities 	0.0	0.04	0.13
Committee on Indian Affairs 	-0.0	0.1	0.29
Surface Transportation, Maritime, Freight, and Ports Committee 	0.01	0.05	0.13
Labor, Health, and Human Services, Education, and Related Agencies Committee 	0.02	0.06	0.14
Energy and Commerce Committee 	0.05	0.1	0.3
Committee on Oversight and Government Reform 	-0.11	-0.11	0.07
Committee on Financial Services 	0.09	0.07	0.37
Oversight and Government Reform Committee 	-0.1	-0.11	-0.06
Indian Affairs Committee 	-0.0	0.09	0.26
Commerce, Science, and Transportation Committee 	-0.01	0.05	0.17
Committee on Aging 	0.06	0.12	0.22
Committee on Budget 	-0.04	0.09	0.34
Science, Space, and Technology Committee 	0.15	0.52	0.39
Deficit Reduction Committee 	-0.02	-0.02	0.06
Rules Committee 	-0.24	-0.19	-0.02
House Permanent Select Committee on Intelligence 	-0.05	0.14	0.09
Banking, Housing, and Urban Affairs Committee 	0.03	0.1	0.22
Strategic Forces 	0.08	0.05	0.27
House Committee on Armed Services 	-0.05	0.17	0.26
Select Committee on Intelligence 	0.05	0.07	0.11
Committee on Judiciary 	0.13	0.31	0.6
Health, Education, Labor, and Pensions Committee 	0.06	0.12	0.29
Committee on Intelligence 	0.07	0.1	0.15
Military Construction, Veterans Affairs, and Related Agencies Committee 	0.01	0.05	0.15
Committee on Armed Services 	0.04	0.12	0.21
Natural Resources Committee 	0.13	0.46	0.34
Middle East, North Africa, and Global Counterterrorism 	-0.15	-0.12	0.19
Joint Committee on Taxation 	0.01	0.16	0.4
Senate Committee on Health, Education, Labor, and Pensions 	0.03	-0.01	0.03
Task Force to Investigate Terrorism Financing 	1.28	1.09	2.23
Committee on Natural Resources 	0.1	0.4	0.36
Senate Select Committee on Intelligence 	0.08	0.05	0.27
Committee on Commerce, Science, and Transportation 	0.01	0.07	0.16
Armed Services Committee 	0.08	0.12	0.17
Finance 	-0.02	-0.02	0.06
Homeland Security 	0.01	0.05	0.15
Committee on Health, Education, Labor, and Pensions 	0.06	0.1	0.22
Committee on Rules and Administration 	0.03	0.07	0.17
SeaPower and Projection Forces Committee 	-0.0	0.2	0.36
Economic Committee 	-0.02	-0.02	0.06
Energy 	0.05	0.1	0.29
House Committee on Agriculture 	-0.0	0.2	0.36
Senate Budget Committee 	0.03	-0.01	0.03
Rules and Administration Committee 	0.05	0.09	0.23
Select Committee on Ethics 	0.08	0.14	0.33
Committee on Foreign Relations 	0.01	-0.01	0.51
Cybersecurity 	-0.14	-0.07	-0.15
Small Business Committee 	0.0	0.04	0.13
Transportation, Housing and Urban Development, and Related Agencies Committee 	0.02	0.06	0.16
Aviation Safety, Operations, and Innovation Committee 	0.01	0.05	0.13
Energy and Mineral Resources 	-0.11	-0.25	-0.38
Readiness 	-0.0	0.2	0.36
Communications, Media, and Broadband Committee 	0.01	0.05	0.13
Legislative Branch 	0.08	0.13	0.2
Ethics Committees 	0.08	0.13	0.31
Senate Caucus on International Narcotics Control Committee 	0.06	0.13	0.31
Cybersecurity, Infrastructure Protection, and Innovation Committee 	-0.06	0.15	-0.04
Committee on Homeland Security 	-0.05	0.08	0.03
Energy and Natural Resources Committee 	0.01	0.07	0.23
Agriculture Committee 	-0.03	0.13	0.32
Appropriations Committee 	0.03	0.08	0.19
Joint Economic Committee 	0.05	0.15	0.25
Ways and Means Committee 	0.01	0.16	0.4
Senate Appropriations Committee 	0.03	-0.01	0.03
House Committee on Budget 	0.01	0.16	0.4
Committee on Agriculture 	-0.02	0.09	0.34
Senate Veterans' Affairs Committee 	0.03	0.04	0.14
Health 	-0.33	-0.28	0.08
Financial Services Committee 	0.01	0.06	0.14
Foreign Affairs Committee 	-0.2	-0.23	-0.13
Committee on Education, and the Workforce 	-0.02	-0.03	0.3
Senate Committee on Appropriations 	0.02	0.07	0.16
Committee on the Budget 	0.04	0.11	0.23
Committee on Transportation and Infrastructure Committee 	-0.02	0.02	0.14
Special Committee on Aging 	0.05	0.12	0.24
Interior, Environment, and Related Agencies Committee 	0.02	0.05	0.12
Education and the Workforce Committee 	-0.05	0.11	0.27
Commerce, Justice, Science, and Related Agencies 	0.02	0.08	0.19
House Committee on Appropriations 	-0.05	-0.08	0.31
Agriculture, Nutrition, and Forestry Committee 	0.04	0.11	0.25
Committee on the Judiciary 	0.06	0.13	0.31
Judiciary Committee 	0.05	0.13	0.28
Small Business and Entrepreneurship Committee 	0.01	0.12	0.33
House Budget Committee 	0.01	0.16	0.4
Joint Committee on the Library 	0.06	0.12	0.27
Transportation and Infrastructure Committee 	0.04	0.1	0.24
Committee on Environment and Public Works 	0.05	0.11	0.24
Environment and Public Works Committee 	0.06	0.12	0.26
Commission on Security and Cooperation in Europe Committee 	0.06	0.13	0.31
Committee on Finance 	0.06	0.12	0.29
House Committee on Veterans' Affairs 	-0.26	0.02	0.09
Asia, the Pacific, Central Asia, and Nonproliferation Committee 	-0.1	-0.11	-0.06
Europe, Energy, the Environment, and Cyber Committee 	-0.02	0.32	0.76
Clean Air, Climate, and Nuclear Safety 	0.06	0.13	0.31
Committee on Science, Space, and Technology 	0.16	0.52	0.41
Permanent Select Committee on Intelligence 	-0.05	0.13	0.15
Airland 	0.01	0.04	0.15
Committee on Ways and Means 	0.14	0.46	0.41
Housing, Transportation, and Community Development Committee 	0.01	0.18	0.42
Committee on Homeland Security and Governmental Affairs 	0.02	0.08	0.23
Committee on Foreign Affairs 	-0.15	-0.09	0.25
Budget Committee 	0.05	0.11	0.25
Financial Institutions and Consumer Protection Committee 	0.01	0.18	0.42
Veterans' Affairs Committee 	0.03	0.1	0.25
Committee on Agriculture, Nutrition, and Forestry 	0.04	0.11	0.23
Tourism, Trade, and Export Promotion Committee 	0.01	0.05	0.13
