HXL,0.1991,-0.0548,0.0796
SJR,-0.2008,-0.0204,0.0253
GLW,0.2208,0.1466,0.0896
GOOGL,0.451,0.1866,0.0383
BTO,-0.4519,-0.1384,-0.1219
WY,0.3425,0.2324,0.0212
MDLZ,0.2809,0.1066,0.0109
SRPT,-0.4113,-0.2154,0.33
JNJ,0.1794,0.0532,0.0542
ORCL,0.0142,0.001,-0.0558
BOX,-0.3058,-0.3375,-0.3288
PSX,-0.0682,-0.1105,-0.1099
TCMD,-0.1963,-0.3271,-0.2098
PRGO,-0.4144,0.0762,-0.0669
NWL,-0.456,-0.0424,-0.0498
MRAAY,0.0441,-0.0991,-0.1916
PM,-0.2511,-0.1879,-0.2461
HRL,0.3158,0.3332,0.147
PAA,-0.2887,-0.3618,-0.1689
TCS,-0.7818,-0.7379,-0.166
CGNX,0.5251,0.5022,0.2047
DOW,0.3558,0.0109,-0.063
XBI,0.1353,0.2454,0.1974
KUBTY,0.7062,0.015,0.047
ESRX,0.0812,0.2662,0.1939
ITW,0.2702,0.176,0.0247
IVZ,0.0665,0.0762,-0.1096
OXY,-0.2822,-0.4204,-0.1776
SJM,-0.1988,-0.0127,-0.0475
IBM,-0.1617,-0.1057,-0.0588
CAT,-0.0516,-0.0984,-0.1597
SU,-0.3315,-0.1163,-0.0982
MSM,0.2799,-0.0308,0.0025
BMY,0.0105,0.1099,0.1162
SRCL,-0.3914,-0.0574,-0.0794
XLNX,0.2429,0.0175,-0.0307
HSY,0.1337,-0.0397,-0.0875
CHGCY,0.8693,0.9368,0.1899
BABA,0.1492,-0.0202,0.085
APA,-0.3564,-0.1627,-0.1074
PPG,0.1426,0.1792,0.0204
MDT,0.1044,0.0365,0.0346
BUD,-0.1422,0.0095,-0.063
APD,0.4606,0.2761,-0.0523
CB,0.0907,0.0852,0.0062
SYY,0.1479,0.213,0.0451
ADP,0.1584,0.2081,0.038
JKHY,0.2919,0.3713,0.1196
INCY,-0.3313,-0.4502,-0.4542
SYK,0.3659,0.212,0.0607
PII,-0.2513,-0.2616,-0.2522
RHHBY,0.0909,0.0736,0.0002
KMB,-0.0093,-0.198,-0.1247
LRCX,1.4478,0.6846,0.2534
CLX,0.5766,0.2431,0.2936
DVN,-0.3673,-0.2182,-0.1173
ERH,-0.0589,-0.1133,-0.1032
PNQI,0.3001,0.0406,0.0226
NDAQ,0.7065,0.2379,0.1371
BLFSD,1.691,0.1601,-0.208
MCHP,0.2885,0.218,0.0131
USB,-0.0445,-0.0333,0.0478
HACK,0.3214,0.2414,0.086
CL,0.1222,0.0912,0.0277
GDV,-0.1464,-0.0716,-0.1396
LSCC,0.2546,0.1515,-0.0976
AME,0.4537,0.1653,0.1867
TSLA,2.9843,0.2752,-0.168
SPR,-0.4563,-0.7118,-0.0527
INTC,0.4464,0.4331,-0.0203
DLR,0.257,0.2375,-0.012
MED,0.9929,-0.1566,-0.3355
BOOM,-0.2272,-0.5581,-0.3226
AAWW,2.2321,1.0931,1.2821
TCEHY,0.737,-0.0605,-0.0645
EMR,0.0577,0.0377,-0.0282
TUP,-0.6819,-0.389,-0.1926
TSM,1.6612,0.4168,0.1547
FLEX,0.2944,0.458,-0.1229
PRA,-0.4289,-0.5812,-0.0048
IEFA,0.2091,-0.1712,0.0046
DD,0.3015,0.1464,0.0696
IXP,-0.0121,-0.0247,0.0423
XON,-0.6957,-0.1099,0.037
GPRO,-0.8018,-0.6356,-0.5062
ADI,0.286,0.1316,-0.0052
RCII,1.848,-0.1645,0.2033
KEY,-0.0784,0.0243,-0.0343
ET,-0.4192,-0.4494,-0.2004
PANW,0.7911,1.0217,0.4288
AMH,0.6609,0.0975,0.0781
AXGN,-0.0752,-0.5517,-0.2159
AMZN,0.7646,0.4065,0.1807
KR,0.56,0.2944,0.1307
UBSI,-0.0571,-0.2596,0.0213
IJR,0.3951,-0.1739,-0.0988
NSRGY,0.177,0.0264,0.0137
DWDP,-0.4786,-0.214,-0.1254
NWSA,0.9041,-0.0135,0.0526
NXPI,0.5909,0.4464,0.5848
PBYI,-0.7372,-0.7694,-0.7035
CP,-0.1202,0.2372,0.3435
SHW,0.4101,0.232,0.1591
AMT,0.3313,0.0256,0.0225
SSYS,-0.7691,-0.67,-0.3063
PLCE,0.0278,-0.5333,-0.2677
PBCT,0.0706,-0.3248,-0.0279
NOC,0.0287,0.1349,-0.0404
SHY,-0.0018,0.0034,0.0036
RSPP,0.2661,0.5211,0.1106
VCYT,0.0122,1.0486,0.1817
PNGAY,-0.0707,-0.1259,0.0442
WMB,-0.1928,-0.007,0.0032
STAG,0.3923,0.2731,-0.1425
BK,0.1938,-0.149,-0.0775
IVV,0.4289,-0.0239,0.0327
ISRG,0.4834,0.3229,0.1718
EPD,-0.1595,0.0116,0.0148
CSX,0.4604,0.2701,0.3514
BGS,-0.3798,-0.44,-0.1517
UNH,0.3584,0.2403,0.1987
TD,0.0058,-0.0139,-0.0223
KSS,0.8791,0.6901,0.1643
ACA,1.074,0.5519,0.1354
XPO,0.5069,0.1243,0.0679
NSC,0.124,0.3063,0.0811
ZNGA,-0.0424,-0.0092,0.0941
HL,1.8545,0.2182,-0.2545
MSFT,0.6861,0.2964,0.1973
CYRX,1.0232,2.823,0.7532
RCL,-0.1095,-0.1288,-0.085
SDY,0.1468,0.015,-0.0426
TBF,-0.1537,-0.1718,-0.0779
FANUF,0.0497,0.471,-0.049
QQQ,0.1353,0.103,0.0675
PDM,-0.0737,-0.1592,0.0806
RMD,0.6851,0.3466,0.2825
HAS,0.2384,0.1714,0.2113
VIOT,-0.131,-0.3446,0.0518
WCN,0.7191,0.1906,-0.035
DASTY,0.3442,0.3589,0.068
UNICY,0.2198,0.2202,0.0774
NVO,0.0872,-0.1483,-0.0428
CSLT,0.1425,-0.0809,-0.3772
YEXT,-0.3096,-0.2266,-0.0415
TMO,0.6342,0.3299,0.1605
CFR,0.0008,0.2261,0.1483
CMPGY,0.1889,-0.0691,-0.0059
A,0.1186,-0.0485,0.0359
MDU,0.283,0.0105,-0.0831
EXAS,-0.0742,-0.1842,-0.153
PSA,0.0171,0.0118,0.0377
PAGP,-0.5914,-0.4757,-0.1724
BIDU,0.0234,-0.0255,-0.0447
