name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Collins, Susan M.",HON,2014/02/06,2014/03/27,2016/03/24,0.2303,2015/03/26,0.1228,2014/09/25,0.026
"Inhofe, James M.",CHKP,2017/01/26,2017/03/16,2019/03/14,0.2138,2018/03/15,0.0338,2017/09/14,0.1158
"Perdue Jr., David A.",WPX,2019/01/18,2019/03/08,2021/03/05,,2020/03/06,,2019/09/06,
"Capito, Shelley M.",MCO,2017/09/08,2017/10/27,2019/10/25,0.4721,2018/10/26,-0.0174,2018/04/27,0.1137
"Roberts, Pat",AAPL,2014/03/07,2014/04/25,2016/04/22,0.301,2015/04/24,0.6014,2014/10/24,0.2941
"Capito, Shelley M.",AFL,2018/04/24,2018/06/12,2020/06/09,-0.1099,2019/06/11,0.1885,2018/12/11,-0.0571
"Capito, Shelley M.",GD,2016/04/19,2016/06/07,2018/06/05,0.4262,2017/06/06,0.415,2016/12/06,0.2576
"McConnell Jr., A. M.",WFC,2019/06/01,2019/07/22,2021/07/19,-0.0729,2020/07/20,-0.4662,2020/01/20,0.0689
"Reed, John F.",HON,2017/01/30,2017/03/20,2019/03/18,0.2842,2018/03/19,0.1864,2017/09/18,0.0913
"Perdue Jr., David A.",BOIVF,2019/02/01,2019/03/22,2021/03/19,0.071,2020/03/20,-0.3788,2019/09/20,-0.0631
"Inhofe, James M.",CTSH,2016/03/11,2016/04/29,2018/04/27,0.4001,2017/04/28,0.0218,2016/10/28,-0.1187
"Perdue Jr., David A.",GM,2018/07/20,2018/09/07,2020/09/04,-0.1212,2019/09/06,0.1395,2019/03/08,0.1114
"Whitehouse, Sheldon",PYPL,2018/06/06,2018/07/25,2020/07/22,0.9373,2019/07/24,0.3103,2019/01/23,-0.0143
"Hoeven, John",CVX,2019/11/04,2019/12/23,2021/12/20,-0.0631,2020/12/21,-0.2888,2020/06/22,-0.2432
"Whitehouse, Sheldon",BEAV,2014/06/18,2014/08/06,2016/08/03,,2015/08/05,,2015/02/04,
"Perdue Jr., David A.",WPX,2015/03/03,2015/04/21,2017/04/18,,2016/04/19,,2015/10/20,
"Perdue Jr., David A.",WPX,2018/12/13,2019/01/31,2021/01/28,,2020/01/30,,2019/08/01,
"Inhofe, James M.",CRSP,2017/10/19,2017/12/07,2019/12/05,2.7715,2018/12/06,0.8761,2018/06/07,2.5248
"Beyer, Donald S.",NKE,2019/12/24,2020/02/11,2022/02/08,0.4405,2021/02/09,0.4311,2020/08/11,0.0621
"Conaway, K. M.",VIG,2019/12/03,2020/01/21,2022/01/18,0.2794,2021/01/19,0.1,2020/07/21,-0.0412
"Moran, Jerry",BRK-B,2018/12/06,2019/01/24,2021/01/21,0.1717,2020/01/23,0.139,2019/07/25,0.0338
"Perdue Jr., David A.",SUN,2018/02/05,2018/03/26,2020/03/23,-0.4669,2019/03/25,0.1653,2018/09/24,0.0758
"Perdue Jr., David A.",DIS,2017/09/06,2017/10/25,2019/10/23,0.3463,2018/10/24,0.1668,2018/04/25,0.0249
"Perdue Jr., David A.",STT,2018/12/20,2019/02/07,2021/02/04,0.0452,2020/02/06,0.146,2019/08/08,-0.2368
"Perdue Jr., David A.",TCP,2019/10/30,2019/12/18,2021/12/15,,2020/12/16,,2020/06/17,
"Perdue Jr., David A.",LGF-B,2018/12/03,2019/01/21,2021/01/18,-0.2832,2020/01/20,-0.4124,2019/07/22,-0.3322
"Inhofe, James M.",CLR,2015/07/20,2015/09/07,2017/09/04,0.1432,2016/09/05,0.6508,2016/03/07,-0.138
"Shalala, Donna",EXEL,2019/02/06,2019/03/27,2021/03/24,-0.0428,2020/03/25,-0.3201,2019/09/25,-0.1973
"Roberts, Pat",CVX,2015/03/16,2015/05/04,2017/05/01,-0.0226,2016/05/02,-0.054,2015/11/02,-0.1455
"Capito, Shelley M.",IBM.MX,2018/04/24,2018/06/12,2020/06/09,-0.0549,2019/06/11,-0.1433,2018/12/11,-0.1969
"Murray, Patty",UTX,2017/03/16,2017/05/04,2019/05/02,,2018/05/03,,2017/11/02,
"Shalala, Donna",EXEL,2019/01/09,2019/02/27,2021/02/24,-0.0007,2020/02/26,-0.1482,2019/08/28,-0.1438
"Shalala, Donna",RIO,2019/04/11,2019/05/30,2021/05/27,0.4778,2020/05/28,-0.1073,2019/11/28,-0.0785
"Perdue Jr., David A.",CZR,2018/08/08,2018/09/26,2020/09/23,0.1826,2019/09/25,-0.163,2019/03/27,-0.0053
"Collins, Susan M.",DVFAX,2015/12/11,2016/01/29,2018/01/26,,2017/01/27,,2016/07/29,
"Collins, Susan M.",CMCSA,2014/02/06,2014/03/27,2016/03/24,0.2055,2015/03/26,0.1371,2014/09/25,0.1014
"Cassidy, William",AFL,2016/03/31,2016/05/19,2018/05/17,0.3271,2017/05/18,0.0774,2016/11/17,0.0533
"Perdue Jr., David A.",FDX,2019/05/02,2019/06/20,2021/06/17,0.7255,2020/06/18,-0.1858,2019/12/19,-0.1227
"Perdue Jr., David A.",FEYE,2016/10/21,2016/12/09,2018/12/07,0.4376,2017/12/08,0.0065,2017/06/09,0.1216
"Axne, Cynthia",PGR,2019/11/06,2019/12/25,2021/12/22,0.4056,2020/12/23,0.3689,2020/06/24,0.0946
"Toomey, Patrick J.",SPY,2017/05/09,2017/06/27,2019/06/25,0.2057,2018/06/26,0.121,2017/12/26,0.1024
"Whitehouse, Sheldon",GS,2018/08/28,2018/10/16,2020/10/13,-0.0342,2019/10/15,-0.0718,2019/04/16,-0.0824
"Perdue Jr., David A.",MOS,2018/01/16,2018/03/06,2020/03/03,-0.3808,2019/03/05,0.0898,2018/09/04,0.108
"Perdue Jr., David A.",BKNG,2019/03/26,2019/05/14,2021/05/11,0.2423,2020/05/12,-0.2217,2019/11/12,0.0459
"Perdue Jr., David A.",DIS,2017/08/09,2017/09/27,2019/09/25,0.3396,2018/09/26,0.1659,2018/03/28,0.0034
"Whitehouse, Sheldon",CSCO,2016/01/05,2016/02/23,2018/02/20,0.6825,2017/02/21,0.2903,2016/08/23,0.1759
"Roberts, Pat",AAPL,2018/02/05,2018/03/26,2020/03/23,0.2991,2019/03/25,0.1149,2018/09/24,0.2896
"Whitehouse, Sheldon",QLIK,2014/07/10,2014/08/28,2016/08/25,,2015/08/27,,2015/02/26,
"Whitehouse, Sheldon",TWTR,2016/01/26,2016/03/15,2018/03/13,1.0925,2017/03/14,-0.0738,2016/09/13,0.0735
"Hoeven, John",XOM,2019/11/05,2019/12/24,2021/12/21,-0.1425,2020/12/22,-0.4079,2020/06/23,-0.3325
"Inhofe, James M.",KMX,2018/01/25,2018/03/15,2020/03/12,0.1351,2019/03/14,-0.033,2018/09/13,0.2875
"Langevin, James R.",ZBRA,2019/08/08,2019/09/26,2021/09/23,1.6815,2020/09/24,0.2062,2020/03/26,-0.074
"Perdue Jr., David A.",DISCA,2017/08/04,2017/09/22,2019/09/20,0.2404,2018/09/21,0.5029,2018/03/23,-0.0005
"Langevin, James R.",BYND,2019/12/30,2020/02/17,2022/02/14,-0.5102,2021/02/15,0.4781,2020/08/17,0.0391
"Perdue Jr., David A.",AAPL,2016/04/26,2016/06/14,2018/06/12,0.9656,2017/06/13,0.4987,2016/12/13,0.1764
"Perdue Jr., David A.",FDC,2017/06/26,2017/08/14,2019/08/12,,2018/08/13,,2018/02/12,
