	p26	p52	p104
House Budget Committee 	-0.05	0.16	0.54
Joint Committee on the Library 	0.06	0.14	0.26
Transportation and Infrastructure Committee 	0.06	0.11	0.21
Committee on Environment and Public Works 	0.06	0.11	0.21
Environment and Public Works Committee 	0.06	0.12	0.24
Commission on Security and Cooperation in Europe Committee 	0.06	0.12	0.29
Committee on Finance 	0.06	0.13	0.28
House Committee on Veterans' Affairs 	-0.24	-0.0	0.14
Asia, the Pacific, Central Asia, and Nonproliferation Committee 	-0.02	-0.08	0.06
Europe, Energy, the Environment, and Cyber Committee 	-0.09	0.31	0.81
Clean Air, Climate, and Nuclear Safety 	0.06	0.13	0.29
Committee on Science, Space, and Technology 	0.14	0.47	0.65
Permanent Select Committee on Intelligence 	0.02	0.1	0.24
Airland 	0.05	0.07	0.15
Committee on Ways and Means 	0.12	0.4	0.62
Housing, Transportation, and Community Development Committee 	-0.08	0.11	0.33
Committee on Homeland Security and Governmental Affairs 	0.03	0.08	0.23
Committee on Foreign Affairs 	-0.22	-0.15	0.26
Budget Committee 	0.05	0.12	0.25
Financial Institutions and Consumer Protection Committee 	-0.08	0.11	0.33
Veterans' Affairs Committee 	-0.02	0.08	0.2
Committee on Agriculture, Nutrition, and Forestry 	0.04	0.12	0.25
Tourism, Trade, and Export Promotion Committee 	0.05	0.09	0.09
