official,ticker,buy_date,sell_date,profit
"Shalala, Donna",AIV,2019/04/03,2019/07/24,-0.14
"Perdue Jr., David A.",LGF-B,2018/12/21,2019/04/12,2.77
"Perdue Jr., David A.",V,2016/01/20,2016/05/11,8.09
"Perdue Jr., David A.",WMB,2016/11/18,2017/03/10,-1.38
"Inhofe, James M.",BMY,2017/02/01,2017/05/24,5.14
"Cassidy, William",SLB,2016/02/09,2016/05/31,8.35
"Inhofe, James M.",BIIB,2015/07/09,2015/10/29,-106.74
"Shalala, Donna",PDM,2019/04/16,2019/08/06,-1.03
"Hoeven, John",JETS,2018/01/24,2018/05/16,-2.49
"Roberts, Pat",NVDA,2017/12/01,2018/03/23,10.3
"Perdue Jr., David A.",SYY,2015/05/06,2015/08/26,3.54
"Courtney, Joe",ROST,2019/12/31,2020/04/21,-32.78
"Whitehouse, Sheldon",LRCX,2015/12/22,2016/04/12,1.9
"Roberts, Pat",NFLX,2014/09/22,2015/01/12,-17.76
"Perdue Jr., David A.",KR,2019/08/06,2019/11/26,4.97
"Courtney, Joe",TFC,2019/12/31,2020/04/21,-22.5
"Perdue Jr., David A.",DISCA,2015/03/27,2015/07/17,2.78
"Roberts, Pat",MA,2019/11/12,2020/03/03,25.07
"Beyer, Donald S.",NEE,2019/12/23,2020/04/13,-0.38
"Collins, Susan M.",NEE,2018/12/21,2019/04/12,3.46
"Shalala, Donna",AMBA,2019/05/15,2019/09/04,10.45
"Hoeven, John",MDU,2015/03/20,2015/07/10,-2.55
"Perdue Jr., David A.",RF,2017/11/30,2018/03/22,2.23
"Moran, Jerry",ALL,2018/12/19,2019/04/10,12.98
"Roberts, Pat",COST,2016/11/14,2017/03/06,17.4
"Capito, Shelley M.",WEC,2018/04/24,2018/08/14,4.39
"Shalala, Donna",TMHC,2019/01/09,2019/05/01,2.38
"Perdue Jr., David A.",GM,2018/07/16,2018/11/05,-3.27
"Perdue Jr., David A.",URBN,2019/12/19,2020/04/09,-9.34
"Perdue Jr., David A.",UPS,2018/02/13,2018/06/05,10.03
"Whitehouse, Sheldon",JCI,2017/02/23,2017/06/15,-0.16
"Whitehouse, Sheldon",F,2018/05/24,2018/09/13,-2.19
"Perdue Jr., David A.",HYH,2016/02/03,2016/05/25,6.02
"Hoeven, John",VLO,2016/04/22,2016/08/12,-6.77
"Perdue Jr., David A.",PYPL,2017/12/04,2018/03/26,5.92
"Perdue Jr., David A.",LYV,2016/04/22,2016/08/12,4.98
"Whitehouse, Sheldon",BA,2016/11/15,2017/03/07,33.41
"Collins, Susan M.",AWK,2016/12/01,2017/03/23,5.27
"Roberts, Pat",AAPL,2014/07/30,2014/11/19,4.14
"Malinowski, Tom",YEXT,2019/02/19,2019/06/11,1.39
"Inhofe, James M.",MRK,2015/08/12,2015/12/02,-3.18
"Cassidy, William",CMI,2016/01/05,2016/04/26,26.71
"Perdue Jr., David A.",MOS,2016/11/07,2017/02/27,6.37
"Beyer, Donald S.",CYRX,2019/12/23,2020/04/13,1.28
"Whitehouse, Sheldon",C,2018/05/07,2018/08/27,3.39
"Hoeven, John",VFC,2014/02/19,2014/06/11,5.7
"Cruz, Rafael E.",BFK,2014/02/06,2014/05/29,0.9
"Whitehouse, Sheldon",GOOGL,2016/04/12,2016/08/02,40.18
"Perdue Jr., David A.",MDLZ,2017/12/26,2018/04/17,-1.4
"Perdue Jr., David A.",AAPL,2016/02/25,2016/06/16,0.23
"Perdue Jr., David A.",FEYE,2016/06/27,2016/10/17,-2.53
"Capito, Shelley M.",AXAHY,2017/09/05,2017/12/26,1.23
"Shalala, Donna",SITE,2019/05/15,2019/09/04,10.33
"Shalala, Donna",WYND,2019/03/06,2019/06/26,-3.93
"Perdue Jr., David A.",HBI,2017/11/13,2018/03/05,1.01
"Collins, Susan M.",CP,2014/02/04,2014/05/27,3.9
"Roberts, Pat",BIDU,2014/07/30,2014/11/19,21.43
"Capito, Shelley M.",CB,2016/04/19,2016/08/09,4.46
"Shalala, Donna",PATK,2019/02/06,2019/05/29,1.77
"Capito, Shelley M.",MSFT,2017/09/05,2017/12/26,11.84
"Murray, Patty",HSY,2017/03/16,2017/07/06,-2.34
"Perdue Jr., David A.",MRK,2017/10/27,2018/02/16,-2.6
"Perdue Jr., David A.",WLK,2016/01/15,2016/05/06,3.89
"Capito, Shelley M.",MSFT,2018/04/05,2018/07/26,18.02
"Joyce, David P.",IEFA,2019/03/04,2019/06/24,0.84
"Perdue Jr., David A.",FEYE,2019/08/09,2019/11/29,3.5
"Perdue Jr., David A.",MOS,2018/01/16,2018/05/08,0.2
"Perdue Jr., David A.",DISCA,2017/11/17,2018/03/09,6.93
"Perdue Jr., David A.",HBI,2017/10/03,2018/01/23,-1.44
"Perdue Jr., David A.",MOS,2017/04/11,2017/08/01,-5.76
"Inhofe, James M.",FANG,2015/07/15,2015/11/04,5.53
"Capito, Shelley M.",GD,2018/04/24,2018/08/14,-30.95
"Shalala, Donna",PCH,2019/04/30,2019/08/20,-1.52
"Perdue Jr., David A.",IP,2017/12/26,2018/04/17,-3.98
"Perdue Jr., David A.",HYH,2016/01/26,2016/05/17,3.87
"Carper, Thomas R.",AEE,2015/08/25,2015/12/15,1.44
"Shalala, Donna",KUBTY,2019/01/16,2019/05/08,-3.96
"Perdue Jr., David A.",BWXT,2018/12/21,2019/04/12,13.82
"Whitehouse, Sheldon",M,2014/10/02,2015/01/22,7.02
"Perdue Jr., David A.",FEYE,2018/01/16,2018/05/08,2.4
"Perdue Jr., David A.",MA,2016/02/25,2016/06/16,6.59
"Perdue Jr., David A.",AAPL,2016/02/01,2016/05/23,0.09
"Perdue Jr., David A.",BAC,2016/04/14,2016/08/04,0.46
"Perdue Jr., David A.",HYH,2016/01/28,2016/05/19,4.5
"Moran, Jerry",WFC,2018/12/06,2019/03/28,-1.8
"Toomey, Patrick J.",PG,2015/04/27,2015/08/17,-5.56
"Capito, Shelley M.",JNJ,2018/04/24,2018/08/14,3.53
"Perdue Jr., David A.",FEYE,2016/06/28,2016/10/18,-2.82
"Cassidy, William",SBUX,2018/04/23,2018/08/13,-6.49
"Hoeven, John",WTW,2018/11/07,2019/02/27,13.83
"Moran, Jerry",CVS,2018/12/19,2019/04/10,-15.92
"Collins, Susan M.",WFC,2014/05/07,2014/08/27,2.34
"Whitehouse, Sheldon",SBUX,2016/06/07,2016/09/27,-1.67
"Perdue Jr., David A.",GM,2018/07/05,2018/10/25,-7.97
"Perdue Jr., David A.",PAGP,2019/02/07,2019/05/30,0.18
"Collins, Susan M.",SCHW,2014/04/21,2014/08/11,0.84
"Roberts, Pat",NFLX,2018/08/24,2018/12/14,-80.51
"Perdue Jr., David A.",GOOGL,2017/12/26,2018/04/17,7.3
"Capito, Shelley M.",JKHY,2017/09/08,2017/12/29,15.49
"Whitehouse, Sheldon",WMT,2018/08/28,2018/12/18,-4.67
"Perdue Jr., David A.",FDX,2019/04/08,2019/07/29,-16.61
"Murray, Patty",COP,2017/03/16,2017/07/06,-2.05
"Perdue Jr., David A.",CZR,2018/08/01,2018/11/21,-7.26
"Whitehouse, Sheldon",FB,2016/11/28,2017/03/20,18.97
"Perdue Jr., David A.",EAF,2019/05/29,2019/09/18,3.23
"Whitehouse, Sheldon",C,2017/05/24,2017/09/13,6.95
"Capito, Shelley M.",CL,2018/04/24,2018/08/14,-0.69
"Curtis, John",DOMO,2019/08/02,2019/11/22,-9.13
"Whitehouse, Sheldon",NVDA,2018/10/23,2019/02/12,-17.71
"Whitehouse, Sheldon",T,2019/04/18,2019/08/08,2.33
"Courtney, Joe",LMT,2019/12/31,2020/04/21,-7.75
"Cisneros, Gilbert",FLEX,2019/12/24,2020/04/14,-4.04
"Langevin, James R.",HUYA,2019/05/06,2019/08/26,-0.03
"Perdue Jr., David A.",KN,2015/01/21,2015/05/13,-2.82
"Shalala, Donna",WFC,2019/02/05,2019/05/28,-3.12
"Beyer, Donald S.",ILMN,2019/12/23,2020/04/13,-45.47
"Perdue Jr., David A.",ACA,2018/12/20,2019/04/11,7.07
"Malinowski, Tom",VIOT,2019/04/08,2019/07/29,-2.09
"Capito, Shelley M.",PAYX,2018/04/05,2018/07/26,9.86
"Perdue Jr., David A.",LGF-B,2019/11/12,2020/03/03,-1.59
"Roberts, Pat",NVDA,2018/04/25,2018/08/15,10.95
"Capito, Shelley M.",ICE,2018/02/27,2018/06/19,0.25
"Perdue Jr., David A.",NWSA,2019/10/16,2020/02/05,0.49
"Perdue Jr., David A.",PEP,2018/05/22,2018/09/11,12.86
"Whitehouse, Sheldon",NFLX,2015/04/07,2015/07/28,45.46
"Shalala, Donna",NOV,2019/02/15,2019/06/07,-8.79
"Whitehouse, Sheldon",UL,2014/10/07,2015/01/27,3.23
"Whitehouse, Sheldon",VDC,2014/05/09,2014/08/29,2.94
"Collins, Susan M.",MCHP,2014/06/19,2014/10/09,-1.6
"Perdue Jr., David A.",QCOM,2015/08/24,2015/12/14,-8.26
"Capito, Shelley M.",T,2017/09/05,2017/12/26,1.96
"Perdue Jr., David A.",LGF-B,2018/11/26,2019/03/18,-2.32
"Hoeven, John",CAT,2018/03/05,2018/06/25,-10.86
"Carper, Thomas R.",NWL,2017/08/31,2017/12/21,-17.63
