official,ticker,buy_date,sell_date,profit
"Inhofe, James M.",BMY,2017/02/01,2017/03/01,8.06
"Cassidy, William",SLB,2016/02/09,2016/03/08,5.85
"Inhofe, James M.",BIIB,2015/07/09,2015/08/06,-75.43
"Shalala, Donna",PDM,2019/04/16,2019/05/14,0.03
"Hoeven, John",JETS,2018/01/24,2018/02/21,-0.7
"Roberts, Pat",NVDA,2017/12/01,2017/12/29,-0.08
"Perdue Jr., David A.",SYY,2015/05/06,2015/06/03,1.34
"Courtney, Joe",ROST,2019/12/31,2020/01/28,-1.43
"Whitehouse, Sheldon",LRCX,2015/12/22,2016/01/19,-10.92
"Roberts, Pat",NFLX,2014/09/22,2014/10/20,-12.23
"Perdue Jr., David A.",KR,2019/08/06,2019/09/03,1.67
"Courtney, Joe",TFC,2019/12/31,2020/01/28,-1.27
"Perdue Jr., David A.",DISCA,2015/03/27,2015/04/24,2.0
"Roberts, Pat",MA,2019/11/12,2019/12/10,11.31
"Collins, Susan M.",NEE,2018/12/21,2019/01/18,-0.01
"Shalala, Donna",AMBA,2019/05/15,2019/06/12,-6.38
"Hoeven, John",MDU,2015/03/20,2015/04/17,0.75
"Perdue Jr., David A.",RF,2017/11/30,2017/12/28,0.61
"Moran, Jerry",ALL,2018/12/19,2019/01/16,3.0
"Roberts, Pat",COST,2016/11/14,2016/12/12,9.1
"Capito, Shelley M.",WEC,2018/04/24,2018/05/22,-2.14
"Shalala, Donna",TMHC,2019/01/09,2019/02/06,0.74
"Perdue Jr., David A.",GM,2018/07/16,2018/08/13,-3.12
"Perdue Jr., David A.",URBN,2019/12/19,2020/01/16,-1.34
"Perdue Jr., David A.",UPS,2018/02/13,2018/03/13,2.71
"Whitehouse, Sheldon",JCI,2017/02/23,2017/03/23,-0.18
"Whitehouse, Sheldon",F,2018/05/24,2018/06/21,0.19
"Perdue Jr., David A.",HYH,2016/02/03,2016/03/02,3.58
"Hoeven, John",VLO,2016/04/22,2016/05/20,-5.2
"Perdue Jr., David A.",LYV,2016/04/22,2016/05/20,1.07
"Whitehouse, Sheldon",BA,2016/11/15,2016/12/13,9.16
"Collins, Susan M.",AWK,2016/12/01,2016/12/29,0.61
"Roberts, Pat",AAPL,2014/07/30,2014/08/27,0.86
"Malinowski, Tom",YEXT,2019/02/19,2019/03/19,4.09
"Inhofe, James M.",MRK,2015/08/12,2015/09/09,-4.89
"Cassidy, William",CMI,2016/01/05,2016/02/02,0.25
"Perdue Jr., David A.",MOS,2016/11/07,2016/12/05,4.34
"Whitehouse, Sheldon",C,2018/05/07,2018/06/04,-1.02
"Hoeven, John",VFC,2014/02/19,2014/03/19,4.73
"Cruz, Rafael E.",BFK,2014/02/06,2014/03/06,0.16
"Whitehouse, Sheldon",GOOGL,2016/04/12,2016/05/10,-22.44
"Perdue Jr., David A.",MDLZ,2017/12/26,2018/01/23,0.77
"Perdue Jr., David A.",AAPL,2016/02/25,2016/03/24,2.39
"Perdue Jr., David A.",FEYE,2016/06/27,2016/07/25,1.27
"Capito, Shelley M.",AXAHY,2017/09/05,2017/10/03,1.48
"Shalala, Donna",SITE,2019/05/15,2019/06/12,0.7
"Shalala, Donna",WYND,2019/03/06,2019/04/03,-4.42
"Perdue Jr., David A.",HBI,2017/11/13,2017/12/11,1.7
"Collins, Susan M.",CP,2014/02/04,2014/03/04,2.28
"Roberts, Pat",BIDU,2014/07/30,2014/08/27,-4.22
"Capito, Shelley M.",CB,2016/04/19,2016/05/17,2.06
"Shalala, Donna",PATK,2019/02/06,2019/03/06,5.64
"Capito, Shelley M.",MSFT,2017/09/05,2017/10/03,1.1
"Axne, Cynthia",JEF,2019/02/04,2019/03/04,-0.28
"Murray, Patty",HSY,2017/03/16,2017/04/13,-0.44
"Perdue Jr., David A.",MRK,2017/10/27,2017/11/24,-4.59
"Perdue Jr., David A.",WLK,2016/01/15,2016/02/12,0.03
"Capito, Shelley M.",MSFT,2018/04/05,2018/05/03,1.45
"Joyce, David P.",IEFA,2019/03/04,2019/04/01,0.97
"Perdue Jr., David A.",FEYE,2019/08/09,2019/09/06,0.4
"Perdue Jr., David A.",MOS,2018/01/16,2018/02/13,-1.36
"Perdue Jr., David A.",DISCA,2017/11/17,2017/12/15,3.83
"Perdue Jr., David A.",HBI,2017/10/03,2017/10/31,-1.95
"Perdue Jr., David A.",MOS,2017/04/11,2017/05/09,-4.87
"Inhofe, James M.",FANG,2015/07/15,2015/08/12,0.12
"Capito, Shelley M.",GD,2018/04/24,2018/05/22,-18.98
"Shalala, Donna",PCH,2019/04/30,2019/05/28,-3.91
"Perdue Jr., David A.",IP,2017/12/26,2018/01/23,5.16
"Perdue Jr., David A.",HYH,2016/01/26,2016/02/23,0.85
"Shalala, Donna",KUBTY,2019/01/16,2019/02/13,0.66
"Perdue Jr., David A.",BWXT,2018/12/21,2019/01/18,5.85
"Whitehouse, Sheldon",M,2014/10/02,2014/10/30,-0.31
"Perdue Jr., David A.",FEYE,2018/01/16,2018/02/13,0.71
"Perdue Jr., David A.",MA,2016/02/25,2016/03/24,5.16
"Perdue Jr., David A.",AAPL,2016/02/01,2016/02/29,0.34
"Perdue Jr., David A.",BAC,2016/04/14,2016/05/12,0.27
"Perdue Jr., David A.",HYH,2016/01/28,2016/02/25,2.43
"Moran, Jerry",WFC,2018/12/06,2019/01/03,-3.72
"Capito, Shelley M.",JNJ,2018/04/24,2018/05/22,-2.88
