name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Whitehouse, Sheldon",BMY,2014/07/15,2014/07/15,2016/07/12,0.5532,2015/07/14,0.4276,2015/01/13,0.2858
"Perdue Jr., David A.",AAPL,2016/02/01,2016/02/01,2018/01/29,0.7554,2017/01/30,0.2613,2016/08/01,0.096
"Perdue Jr., David A.",BAX,2015/08/27,2015/08/27,2017/08/24,0.6114,2016/08/25,0.2353,2016/02/25,0.0294
"Perdue Jr., David A.",BAC,2016/03/04,2016/03/04,2018/03/02,1.2761,2017/03/03,0.8608,2016/09/02,0.1644
"Perdue Jr., David A.",BAX,2015/08/12,2015/08/12,2017/08/09,0.4576,2016/08/10,0.1789,2016/02/10,-0.0999
"Capito, Shelley M.",SMECF,2017/09/08,2017/09/08,2019/09/06,0.1111,2018/09/07,-0.1575,2018/03/09,0.1801
"Hoeven, John",VFC,2014/02/19,2014/02/19,2016/02/17,0.0641,2015/02/18,0.3268,2014/08/20,0.1105
"Collins, Susan M.",AMT,2014/07/23,2014/07/23,2016/07/20,0.2621,2015/07/22,0.0395,2015/01/21,0.043
"Perdue Jr., David A.",COP,2018/01/16,2018/01/16,2020/01/14,0.0922,2019/01/15,0.1136,2018/07/17,0.1745
"Perdue Jr., David A.",GOOGL,2017/12/26,2017/12/26,2019/12/24,0.2673,2018/12/25,-0.0406,2018/06/26,0.0697
"Hoeven, John",HON,2014/11/06,2014/11/06,2016/11/03,0.1288,2015/11/05,0.0708,2015/05/07,0.0425
"Perdue Jr., David A.",DISCA,2016/05/18,2016/05/18,2018/05/16,-0.1233,2017/05/17,-0.0469,2016/11/16,0.0506
"Perdue Jr., David A.",FDC,2017/06/02,2017/06/02,2019/05/31,,2018/06/01,,2017/12/01,
"Roberts, Pat",BAC,2018/07/05,2018/07/05,2020/07/02,-0.1553,2019/07/04,0.0506,2019/01/03,-0.1145
"Perdue Jr., David A.",LGF-B,2019/02/08,2019/02/08,2021/02/05,-0.1814,2020/02/07,-0.3576,2019/08/09,-0.2119
"Collins, Susan M.",MRK,2018/06/04,2018/06/04,2020/06/01,0.29,2019/06/03,0.2968,2018/12/03,0.276
"Collins, Susan M.",MCK,2014/02/26,2014/02/26,2016/02/24,-0.1264,2015/02/25,0.3114,2014/08/27,0.0966
"Carper, Thomas R.",ABT,2015/02/12,2015/02/12,2017/02/09,-0.055,2016/02/11,-0.1908,2015/08/13,0.1074
"Toomey, Patrick J.",DD,2017/02/22,2017/02/22,2019/02/20,-0.1141,2018/02/21,0.1446,2017/08/23,0.0338
"Perdue Jr., David A.",MRK,2017/09/27,2017/09/27,2019/09/25,0.2938,2018/09/26,0.0951,2018/03/28,-0.1526
"Perdue Jr., David A.",QCOM,2015/08/24,2015/08/24,2017/08/21,-0.0618,2016/08/22,0.1342,2016/02/22,-0.0819
"Courtney, Joe",DHR,2019/12/31,2019/12/31,2021/12/28,1.1291,2020/12/29,0.4659,2020/06/30,0.1405
"Whitehouse, Sheldon",DISH,2017/02/10,2017/02/10,2019/02/08,-0.4899,2018/02/09,-0.2888,2017/08/11,-0.0426
"Whitehouse, Sheldon",BMY,2017/02/23,2017/02/23,2019/02/21,-0.074,2018/02/22,0.1958,2017/08/24,0.0453
"Perdue Jr., David A.",HBI,2017/11/02,2017/11/02,2019/10/31,-0.2766,2018/11/01,-0.2038,2018/05/03,-0.1694
"Shalala, Donna",XENT,2019/03/06,2019/03/06,2021/03/03,-0.2945,2020/03/04,-0.2908,2019/09/04,-0.4994
"Capito, Shelley M.",ES,2018/04/24,2018/04/24,2020/04/21,0.4676,2019/04/23,0.1799,2018/10/23,0.0646
"Perdue Jr., David A.",DIS,2016/12/01,2016/12/01,2018/11/29,0.1713,2017/11/30,0.0595,2017/06/01,0.0857
"Frankel, Lois",NSP,2019/12/17,2019/12/17,2021/12/14,0.3045,2020/12/15,0.0198,2020/06/16,-0.2881
"Perdue Jr., David A.",PFE,2017/02/06,2017/02/06,2019/02/04,0.3197,2018/02/05,0.1002,2017/08/07,0.0402
"Murray, Patty",ETR,2017/03/16,2017/03/16,2019/03/14,0.2661,2018/03/15,0.0359,2017/09/14,0.0466
"Perdue Jr., David A.",DWDP,2017/12/26,2017/12/26,2019/12/24,-0.3765,2018/12/25,-0.2952,2018/06/26,-0.0774
"Perdue Jr., David A.",SHLX,2018/09/20,2018/09/20,2020/09/17,-0.5515,2019/09/19,-0.0272,2019/03/21,-0.0989
"Toomey, Patrick J.",XLU,2015/01/30,2015/01/30,2017/01/27,-0.007,2016/01/29,-0.0751,2015/07/31,-0.096
"Collins, Susan M.",GILD,2014/11/10,2014/11/10,2016/11/07,-0.316,2015/11/09,-0.0019,2015/05/11,-0.0309
"Collins, Susan M.",WCN,2015/01/13,2015/01/13,2017/01/10,0.9075,2016/01/12,0.2639,2015/07/14,0.1199
"Capito, Shelley M.",CMPGY,2017/09/05,2017/09/05,2019/09/03,0.1874,2018/09/04,0.0032,2018/03/06,-0.0055
"Perdue Jr., David A.",GM,2018/07/16,2018/07/16,2020/07/13,-0.3708,2019/07/15,-0.0066,2019/01/14,-0.0476
"Shalala, Donna",CATY,2019/02/20,2019/02/20,2021/02/17,-0.0522,2020/02/19,-0.0774,2019/08/21,-0.142
"Capito, Shelley M.",BDX,2018/04/24,2018/04/24,2020/04/21,0.1126,2019/04/23,-0.0174,2018/10/23,-0.0078
"Perdue Jr., David A.",AXTA,2017/08/16,2017/08/16,2019/08/14,-0.0523,2018/08/15,0.0239,2018/02/14,0.0613
"Perdue Jr., David A.",PYPL,2017/12/26,2017/12/26,2019/12/24,0.4808,2018/12/25,0.0917,2018/06/26,0.1225
"Perdue Jr., David A.",KN,2015/03/10,2015/03/10,2017/03/07,-0.0619,2016/03/08,-0.3646,2015/09/08,-0.1547
"Murray, Patty",GILD,2017/03/16,2017/03/16,2019/03/14,-0.0536,2018/03/15,0.1691,2017/09/14,0.2024
"Perdue Jr., David A.",FOX,2015/05/12,2015/05/12,2017/05/09,,2016/05/10,,2015/11/10,
"Roberts, Pat",RTN,2017/09/27,2017/09/27,2019/09/25,,2018/09/26,,2018/03/28,
"Inhofe, James M.",BMY,2016/08/08,2016/08/08,2018/08/06,-0.0429,2017/08/07,-0.0949,2017/02/06,-0.1779
"Collins, Susan M.",COP,2014/04/17,2014/04/17,2016/04/14,-0.4088,2015/04/16,-0.0708,2014/10/16,-0.109
"Shalala, Donna",FIVE,2019/04/03,2019/04/03,2021/03/31,0.5845,2020/04/01,-0.4544,2019/10/02,0.0358
"Whitehouse, Sheldon",GS,2018/08/28,2018/08/28,2020/08/25,-0.1459,2019/08/27,-0.1835,2019/02/26,-0.184
"Perdue Jr., David A.",VSM,2017/02/02,2017/02/02,2019/01/31,,2018/02/01,,2017/08/03,
"Hoeven, John",CVS,2018/06/07,2018/06/07,2020/06/04,0.0182,2019/06/06,-0.174,2018/12/06,0.1662
"Reed, John F.",TMO,2016/11/23,2016/11/23,2018/11/21,0.65,2017/11/22,0.352,2017/05/24,0.2057
"Perdue Jr., David A.",CDLX,2017/07/18,2017/07/18,2019/07/16,,2018/07/17,,2018/01/16,
"Inhofe, James M.",CHKP,2017/01/26,2017/01/26,2019/01/24,0.0986,2018/01/25,0.0691,2017/07/27,0.0878
"Perdue Jr., David A.",FDX,2019/04/25,2019/04/25,2021/04/22,0.4497,2020/04/23,-0.3735,2019/10/24,-0.1938
"Roberts, Pat",DVN,2015/02/05,2015/02/05,2017/02/02,-0.2984,2016/02/04,-0.573,2015/08/06,-0.2655
"Roberts, Pat",NFLX,2018/04/23,2018/04/23,2020/04/20,0.3498,2019/04/22,0.1363,2018/10/22,0.0121
"Perdue Jr., David A.",BPL,2015/01/15,2015/01/15,2017/01/12,,2016/01/14,,2015/07/16,
"Axne, Cynthia",SSNC,2019/09/06,2019/09/06,2021/09/03,0.5221,2020/09/04,0.247,2020/03/06,0.0722
"Perdue Jr., David A.",DISCA,2016/07/08,2016/07/08,2018/07/06,0.0834,2017/07/07,0.0019,2017/01/06,0.0712
"Perdue Jr., David A.",DVN,2018/10/10,2018/10/10,2020/10/07,-0.7454,2019/10/09,-0.4529,2019/04/10,-0.1829
"Beyer, Donald S.",SPLK,2019/12/24,2019/12/24,2021/12/21,-0.2534,2020/12/22,0.1656,2020/06/23,0.2955
"Perdue Jr., David A.",TRP,2017/03/24,2017/03/24,2019/03/22,-0.0277,2018/03/23,-0.1216,2017/09/22,0.0657
"Cassidy, William",CSCO,2016/03/31,2016/03/31,2018/03/29,0.4821,2017/03/30,0.1864,2016/09/29,0.1017
"Shalala, Donna",ADDYY,2019/01/29,2019/01/29,2021/01/26,0.4486,2020/01/28,0.4238,2019/07/30,0.3417
"Perdue Jr., David A.",QCOM,2016/03/22,2016/03/22,2018/03/20,0.1242,2017/03/21,0.1031,2016/09/20,0.2086
"Whitehouse, Sheldon",IBM,2017/11/27,2017/11/27,2019/11/25,-0.111,2018/11/26,-0.2164,2018/05/28,-0.0691
"Perdue Jr., David A.",CEQP,2019/05/28,2019/05/28,2021/05/25,-0.1423,2020/05/26,-0.6169,2019/11/26,-0.0834
"Perdue Jr., David A.",PAA,2019/12/17,2019/12/17,2021/12/14,-0.4996,2020/12/15,-0.5179,2020/06/16,-0.4058
"Perdue Jr., David A.",WFM,2016/08/01,2016/08/01,2018/07/30,,2017/07/31,,2017/01/30,
"Hoeven, John",AMGN,2016/11/23,2016/11/23,2018/11/21,0.3547,2017/11/22,0.1807,2017/05/24,0.0721
