name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Collins, Susan M.",RHT,2014/03/04,2014/06/10,2016/06/07,,2015/06/09,,2014/12/09,
"Shalala, Donna",ITUB,2019/02/15,2019/05/24,2021/05/21,-0.3429,2020/05/22,-0.5077,2019/11/22,0.0249
"Perdue Jr., David A.",DVN,2018/03/27,2018/07/03,2020/06/30,-0.7503,2019/07/02,-0.3685,2019/01/01,-0.4921
"Banks, James E.",SBUX,2020/08/19,2020/11/25,2022/11/23,,2021/11/24,0.1571,2021/05/26,0.1528
"Cisneros, Gilbert",DLR,2020/03/18,2020/06/24,2022/06/22,,2021/06/23,0.0956,2020/12/23,-0.0042
"Phillips, Dean",ED,2020/09/23,2020/12/30,2022/12/28,,2021/12/29,0.1947,2021/06/30,0.0138
"Beyer, Donald S.",ILMN,2020/02/14,2020/05/22,2022/05/20,,2021/05/21,0.147,2020/11/20,-0.1385
"Gianforte, Greg",HLPPY,2020/11/13,2021/02/19,2023/02/17,,2022/02/18,-0.2583,2021/08/20,-0.0912
"Perdue Jr., David A.",FEYE,2016/06/29,2016/10/05,2018/10/03,0.1515,2017/10/04,0.1871,2017/04/05,-0.1637
"Green, Mark",WES,2020/08/04,2020/11/10,2022/11/08,,2021/11/09,1.0448,2021/05/11,0.9807
"Carper, Thomas R.",ARNA,2020/11/20,2021/02/26,2023/02/24,,2022/02/25,0.1865,2021/08/27,-0.3433
"Wyden, Ronald L.",GOOG,2020/04/17,2020/07/24,2022/07/22,,2021/07/23,0.8197,2021/01/22,0.2617
"Phillips, Dean",IVZ,2020/04/02,2020/07/09,2022/07/07,,2021/07/08,1.4523,2021/01/07,0.7959
"McKinley, David B.",SPGI,2020/03/23,2020/06/29,2022/06/27,,2021/06/28,0.2826,2020/12/28,-0.0155
"Whitehouse, Sheldon",BRK-B,2016/10/26,2017/02/01,2019/01/30,0.25,2018/01/31,0.3042,2017/08/02,0.0771
"Perdue Jr., David A.",MPLX,2019/01/31,2019/05/09,2021/05/06,-0.0895,2020/05/07,-0.4474,2019/11/07,-0.189
"Cisneros, Gilbert",CYRX,2020/02/06,2020/05/14,2022/05/12,,2021/05/13,1.2261,2020/11/12,1.5432
"Whitehouse, Sheldon",C,2018/05/07,2018/08/13,2020/08/10,-0.2436,2019/08/12,-0.0774,2019/02/11,-0.1117
"Gianforte, Greg",VOD,2020/03/18,2020/06/24,2022/06/22,,2021/06/23,0.1888,2020/12/23,0.0655
"Carper, Thomas R.",AAPL,2015/05/14,2015/08/20,2017/08/17,0.4096,2016/08/18,-0.0327,2016/02/18,-0.1373
"Brooks, Mo",PFE,2020/03/17,2020/06/23,2022/06/21,,2021/06/22,0.261,2020/12/22,0.1808
"Beyer, Donald S.",DIS,2019/12/24,2020/03/31,2022/03/29,,2021/03/30,0.8557,2020/09/29,0.2541
"Roberts, Pat",LMT,2018/01/17,2018/04/25,2020/04/22,0.1544,2019/04/24,0.009,2018/10/24,-0.0292
"Cisneros, Gilbert",DXC,2020/03/18,2020/06/24,2022/06/22,,2021/06/23,1.4618,2020/12/23,0.5034
"Capito, Shelley M.",HLT,2017/09/12,2017/12/19,2019/12/17,0.3879,2018/12/18,-0.0933,2018/06/19,0.0628
"Joyce, David P.",SPY,2019/06/21,2019/09/27,2021/09/24,0.4973,2020/09/25,0.1007,2020/03/27,-0.1348
"Gianforte, Greg",JAPAY,2020/11/13,2021/02/19,2023/02/17,,2022/02/18,0.1034,2021/08/20,0.0569
"Gianforte, Greg",ANZBY,2020/03/18,2020/06/24,2022/06/22,,2021/06/23,0.6759,2020/12/23,0.3491
"Collins, Susan M.",SYK,2016/09/08,2016/12/15,2018/12/13,0.472,2017/12/14,0.2929,2017/06/15,0.1926
"Gianforte, Greg",TEVA,2020/11/13,2021/02/19,2023/02/17,,2022/02/18,-0.2581,2021/08/20,-0.1768
"Castor, Kathy",BRK.B,2020/05/04,2020/08/10,2022/08/08,,2021/08/09,,2021/02/08,
"Perdue Jr., David A.",HBI,2017/10/06,2018/01/12,2020/01/10,-0.3817,2019/01/11,-0.392,2018/07/13,-0.0279
"Foxx, Virginia",CVI,2020/02/07,2020/05/15,2022/05/13,,2021/05/14,0.2174,2020/11/13,-0.2969
"Perdue Jr., David A.",BWXT,2018/12/06,2019/03/14,2021/03/11,0.2541,2020/03/12,-0.0462,2019/09/12,0.2152
"Gottheimer, Josh",MSFT,2020/03/06,2020/06/12,2022/06/10,,2021/06/11,0.3667,2020/12/11,0.1208
"Murray, Patty",SLB,2017/03/16,2017/06/22,2019/06/20,-0.4252,2018/06/21,-0.0113,2017/12/21,0.0151
"Gianforte, Greg",RWEOY,2020/03/18,2020/06/24,2022/06/22,,2021/06/23,0.011,2020/12/23,0.1618
"Lee, Susie",STOR,2020/08/27,2020/12/03,2022/12/01,,2021/12/02,0.0089,2021/06/03,0.095
"Perdue Jr., David A.",BOIVF,2018/06/28,2018/10/04,2020/10/01,-0.135,2019/10/03,-0.0838,2019/04/04,0.0815
"Capito, Shelley M.",JNJ,2016/04/19,2016/07/26,2018/07/24,0.0258,2017/07/25,0.0599,2017/01/24,-0.1033
"Perdue Jr., David A.",FDX,2019/05/02,2019/08/08,2021/08/05,0.6909,2020/08/06,0.0554,2020/02/06,-0.0822
"Loeffler, Kelly",EMR,2020/03/20,2020/06/26,2022/06/24,,2021/06/25,0.6045,2020/12/25,0.3469
"Cisneros, Gilbert",ALXN,2020/03/18,2020/06/24,2022/06/22,,2021/06/23,,2020/12/23,
"Gianforte, Greg",BNTGY,2020/03/18,2020/06/24,2022/06/22,,2021/06/23,0.8268,2020/12/23,0.5038
