name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Phillips, Dean",AFL,2020/04/02,2020/04/02,2022/03/31,,2021/04/01,0.5936,2020/10/01,0.1309
"Castor, Kathy",BRK.B,2020/10/05,2020/10/05,2022/10/03,,2021/10/04,,2021/04/05,
"Perdue Jr., David A.",CTSH,2017/06/20,2017/06/20,2019/06/18,-0.0565,2018/06/19,0.1743,2017/12/19,0.0674
"Cisneros, Gilbert",WFC,2019/12/06,2019/12/06,2021/12/03,-0.1061,2020/12/04,-0.4513,2020/06/05,-0.3955
"Perdue Jr., David A.",WFM,2016/09/07,2016/09/07,2018/09/05,,2017/09/06,,2017/03/08,
"Capito, Shelley M.",ACN,2018/04/24,2018/04/24,2020/04/21,0.1128,2019/04/23,0.1786,2018/10/23,0.0352
"Green, Mark",USDP,2020/08/12,2020/08/12,2022/08/10,,2021/08/11,0.6572,2021/02/10,0.2599
"Gottheimer, Josh",ALC,2020/06/03,2020/06/03,2022/06/01,,2021/06/02,0.0878,2020/12/02,-0.0106
"Perdue Jr., David A.",GPK,2020/02/25,2020/02/25,2022/02/22,0.4603,2021/02/23,0.1509,2020/08/25,0.0329
"Perdue Jr., David A.",CZR,2017/06/30,2017/06/30,2019/06/28,1.2847,2018/06/29,1.0063,2017/12/29,0.6541
"Inhofe, James M.",A,2015/08/24,2015/08/24,2017/08/21,0.7672,2016/08/22,0.3686,2016/02/22,0.0918
"Gianforte, Greg",BTLCY,2020/03/18,2020/03/18,2022/03/16,0.6545,2021/03/17,0.7725,2020/09/16,0.1326
"Lee, Susie",VRT,2020/10/19,2020/10/19,2022/10/17,,2021/10/18,0.2456,2021/04/19,0.2009
"Whitehouse, Sheldon",AMGN,2016/04/12,2016/04/12,2018/04/10,0.091,2017/04/11,0.0306,2016/10/11,0.0508
"Perdue Jr., David A.",ENTG,2019/07/12,2019/07/12,2021/07/09,2.2354,2020/07/10,0.6615,2020/01/10,0.4504
"Roberts, Pat",BAC,2017/12/13,2017/12/13,2019/12/11,0.1539,2018/12/12,-0.1529,2018/06/13,0.0307
"Whitehouse, Sheldon",REGN,2017/05/16,2017/05/16,2019/05/14,-0.321,2018/05/15,-0.3279,2017/11/14,-0.1364
"Cisneros, Gilbert",COST,2020/12/23,2020/12/23,2022/12/21,,2021/12/22,0.5082,2021/06/23,0.085
"Gottheimer, Josh",APD,2020/02/03,2020/02/03,2022/01/31,0.159,2021/02/01,0.1134,2020/08/03,0.1762
"Frankel, Lois",AXP,2020/10/01,2020/10/01,2022/09/29,,2021/09/30,0.6917,2021/04/01,0.4281
"Whitehouse, Sheldon",QCOM,2017/04/05,2017/04/05,2019/04/03,0.0133,2018/04/04,-0.0475,2017/10/04,-0.0892
"Shalala, Donna",EXEL,2019/01/09,2019/01/09,2021/01/06,-0.0715,2020/01/08,-0.1956,2019/07/10,-0.104
"Curtis, John",DIS,2019/05/14,2019/05/14,2021/05/11,0.3523,2020/05/12,-0.1979,2019/11/12,0.0351
"Whitehouse, Sheldon",DISH,2017/05/10,2017/05/10,2019/05/08,-0.424,2018/05/09,-0.5034,2017/11/08,-0.1926
"Phillips, Dean",AMZN,2020/09/23,2020/09/23,2022/09/21,,2021/09/22,0.0998,2021/03/24,0.0206
"Lee, Susie",NLOK,2020/12/03,2020/12/03,2022/12/01,,2021/12/02,0.2696,2021/06/03,0.4781
"Cassidy, William",ABT,2016/03/31,2016/03/31,2018/03/29,0.4331,2017/03/30,0.066,2016/09/29,0.0
"Hern, Kevin",MSFT,2020/09/10,2020/09/10,2022/09/08,,2021/09/09,0.4304,2021/03/11,0.1304
"Perdue Jr., David A.",FOX,2017/05/08,2017/05/08,2019/05/06,,2018/05/07,,2017/11/06,
"Phillips, Dean",L,2020/02/28,2020/02/28,2022/02/25,0.3565,2021/02/26,0.0741,2020/08/28,-0.1846
"Lee, Susie",PHM,2020/05/19,2020/05/19,2022/05/17,,2021/05/18,0.8225,2020/11/17,0.3738
"Wyden, Ronald L.",PYPL,2020/04/23,2020/04/23,2022/04/21,,2021/04/22,1.2604,2020/10/22,0.7759
"Carper, Thomas R.",SBUX,2020/04/02,2020/04/02,2022/03/31,,2021/04/01,0.6584,2020/10/01,0.3194
"Beyer, Donald S.",AAPL,2020/02/18,2020/02/18,2022/02/15,1.1641,2021/02/16,0.6949,2020/08/18,0.4503
