ticker,104,52,26
AFL,0.2143,0.0354,-0.2361
CTSH,0.0307,0.3364,0.1433
WFC,-0.193,-0.069,-0.0816
ACN,0.5387,0.3686,0.1591
USDP,0.7806,0.4484
ALC,0.0878,-0.0106
GPK,0.3565,0.1303,0.1182
CZR,0.4306,0.4854,0.1611
A,0.7672,0.3686,0.0918
BTLCY,0.6545,0.7725,0.1326
VRT,0.2456,0.2009
AMGN,0.1393,0.0407,0.0795
ENTG,2.2354,0.6615,0.4504
BAC,0.637,0.4508,0.1123
REGN,-0.321,-0.0718,-0.0449
COST,0.262,0.0963,0.6815
APD,0.2117,0.1707,0.0548
AXP,0.2036,0.1522,-0.1417
QCOM,-0.1744,0.0281,0.0621
EXEL,-0.0715,-0.1956,-0.104
DIS,0.1595,0.2923,0.1624
DISH,-0.424,-0.5034,-0.1926
AMZN,0.4199,0.299,0.7643
NLOK,0.2011,0.2871
ABT,0.3349,0.0427,0.0741
MSFT,0.4415,0.2388,0.8576
L,0.3565,0.3818,0.0797
PHM,0.8225,0.3738
PYPL,0.7325,0.4807,0.1894
SBUX,0.4747,0.2443,0.2717
AAPL,0.7933,0.4358,0.2763
FUPBY,0.1481,0.5229,0.543
PGR,0.4461,0.2325,0.1613
CRWD,1.6126,0.827
KN,-0.0848,-0.2176,-0.1126
PFE,0.1328,0.0541,0.3713
NVEE,1.5812,0.5412,-0.0506
MTX,0.4607,0.5245
VWO,0.0949,0.2804,0.1417
UBS,1.2684,0.9829,0.5539
PBA,0.02,-0.1024,0.0076
T,-0.0647,0.0386,0.0447
MSCI,1.0041,0.5772,0.3558
BYND,-0.2493,-0.1747,-0.3921
AXTA,-0.0326,-0.0451,0.0239
URBN,0.199,0.6054,0.0892
PHG,-0.294,0.1814,0.0926
DRE,0.3817,0.1521
AMN,0.8092,0.3665
DLR,0.0663,0.0592,0.0125
HBI,-0.2725,-0.2248,-0.1242
CME,0.4087,0.1788,0.0007
SCHW,0.4663,-0.0994,0.6143
CMRE,-0.6736,-0.2713,0.0992
PBYI,-0.548,-0.6054,-0.6044
SPLK,-0.1854,-0.1641,-0.2994
GE,0.2099,0.2093,-0.2316
USAC,0.3129,0.2029
IBM,-0.0842,0.0126,0.0286
GDDY,0.0769,0.1011,0.0999
PRU,0.5527,0.3299,0.0613
CMCSA,0.2004,0.2622,0.1326
GILD,-0.2777,-0.0826,-0.0554
OKE,0.4407,0.2619,0.7214
PSQ,-0.363,-0.2594
MEDP,0.5124,0.2351
UL,0.0789,0.0254,0.0457
AM,0.6598,0.5516
ITW,-0.1243,0.0162,-0.0074
XOM,0.1394,0.0757,-0.0441
NTTYY,0.225,0.1039
LRCX,0.9718,0.3981,0.2039
HL,1.3774,0.1704,-0.4035
JNJ,0.0851,0.0182,0.0993
EL,0.1877,0.4424,0.2582
SRLP,0.1534,0.3802
CSX,0.2576,0.1798,0.3141
WBA,-0.0144,-0.0885,-0.1556
CLX,0.0817,-0.3053
IRBT,0.1594,0.6563
FDX,0.495,-0.1026,-0.0552
AVY,0.6406,0.3326,0.0506
SLB,-0.3269,-0.185,-0.1537
BLL,0.4402,0.3737
ETY,0.0148,-0.0854,0.0287
FEYE,-0.0046,-0.0162,-0.1108
GFL,0.6668,0.399
