NXPI,0.8933,0.3817
AZO,0.432,0.1618
OXY,-0.3035,-0.5813,-0.57
PHR,0.1988,0.3129
ABBV,0.308,0.1035,0.2604
PWR,1.124,0.7665
CL,0.1321,0.1258,0.0525
TGT,0.3571,0.2108,0.9233
WM,0.2452,0.2999,0.0815
RHHBY,0.1384,0.1131,-0.0235
CIBR,0.1716,0.0498
WMT,0.3668,0.1104,0.0083
XLU,0.1709,0.103,-0.0375
LOW,0.2805,0.1197
OSK,0.5907,0.8509
VMC,0.4421,0.3354
KLAC,0.6583,0.5969
FCFS,0.1518,0.2623
WELL,0.614,0.1482
PGNY,1.0677,0.5798
ALB,1.4852,0.9552,0.0926
BA,0.5392,0.2867,0.2746
DD,0.194,0.3137,0.204
KDP,0.2432,0.0781,0.0124
PAA,-0.0166,-0.1229,-0.1959
VNO,0.0957,-0.2186
LGF-B,0.0847,-0.4464,-0.3065
QDEL,-0.4375,0.0043
PPBI,1.3529,0.3425
INTC,0.0674,0.0665,0.2434
PTNQ,0.0414,0.0971
PI,1.1846,0.216
ATRC,0.7646,0.2042
AQUA,0.8435,0.3565
CERN,0.0121,0.1801,0.2631
DAVA,0.4601,0.5464
IHE,-0.0508,-0.1424,-0.0845
BIDU,0.0995,0.2702,0.0694
LYV,0.8637,0.4782,0.8877
NOC,0.0935,0.0033,-0.0443
FOUR,-0.3396,0.0649
SBGSY,0.6017,0.3617
IART,0.4103,0.1477
CSCO,0.4292,0.2157,0.0735
VFC,-0.1217,0.1588,0.0008
JCI,0.3738,-0.214,-0.0122
KTOS,-0.2108,0.0606
TSM,1.9333,0.3058,0.3764
NGL,-0.2409,-0.3681
KMI,0.0726,-0.0786,-0.0458
BAX,0.72,0.2206,0.163
SPY,0.154,0.0354,0.187
RGLD,-0.198,-0.0601
GSLC,0.4777,0.2845,0.6745
SMLP,2.0669,1.358
MA,0.2052,0.0579
KMX,0.3395,0.1354,0.1574
D,-0.054,-0.0583
HOLX,0.1111,-0.093,-0.0515
LMT,0.1515,0.0265,0.0356
BXS$A,0.1265,0.1478
ICE,0.3254,0.146,0.0771
BDX,-0.0103,-0.0051,0.0389
TWNK,0.4134,0.17
M,0.0606,0.3108,0.0393
CB,0.2318,0.0436,-0.0148
TT,0.5973,0.3543
GOOGL,0.6812,0.2932
PLNT,-0.0441,-0.2434,-0.0059
CWEN,0.4437,0.3126,0.1951
VONE,0.3927,0.2116
ESRX,0.0711,0.2616,0.1568
IHG,0.5242,0.3746
ZBH,-0.2172,-0.0795
EPOKY,0.8647,0.3525,1.08
LNT,0.2096,0.2361
RMD,0.7546,0.3016,0.2411
IP,0.307,0.1597,0.0031
NBIX,-0.0476
NOV,-0.2664,-0.4607,-0.0188
SSDOY,0.4505,0.3094,0.694
MET,0.2833,0.2102,0.1062
ORLY,0.448,0.2611
DCP,1.4528,0.9971
GM,0.0029,0.319,0.2529
DOV,0.4986,0.2629
DISCA,-0.0089,0.0229,0.0778
DSGX,0.2479,0.0405
SEE,0.787,0.4548
WEC,0.3205,0.202,-0.0416
FINX,0.3316,0.3117
SO,0.1024,-0.1075,-0.0156
SNY,-0.1063,-0.2057,-0.1286
MITEY,0.1102,0.0154
CNC,0.2928,0.0032
COP,0.3514,0.4642,0.2236
CCEP,0.1538,0.1996
NOK,0.2002,-0.0848
KO,-0.0064,0.0014,0.0228
MMLP,1.173,1.0226
LSCC,0.3412,0.4751,0.378
NTAP,0.4437,0.3504
BDN,-0.0594,-0.2608,-0.1275
PVH,1.2685,0.9752
TEAM,0.4909,0.3566
FLCO,-0.0582,-0.0116
LYFT,0.6729,1.1163
GBT,-0.404,0.174,0.2229
LHX,0.2335,0.1996
CRM,0.7126,0.3318,0.2385
EBS,-0.4735,-0.1708
QSR,0.1411,0.0702
V,0.2405,0.1388,0.4841
SYY,0.3804,0.3729
ALLY,0.3412,0.3884
CHTR,0.3,0.1697
NWN,-0.04,0.066
WSO,0.6085,0.238
GPN,-0.3431,-0.1896
GD,0.3623,0.3843,0.1111
PNC,0.7499,0.6222
ABEV,0.3061,0.0884
OFC,-0.0418,0.049,0.0354
MRVL,0.4244,0.2847
APTV,1.0735,0.0398,0.0763
ITUB,-0.3429,-0.5077,0.0249
DVN,-0.5592,-0.2371,-0.1849
ED,0.1947,0.0138
ILMN,-0.0147,-0.0278,0.1991
HLPPY,-0.2583,-0.0912
WES,1.0188,0.8925
ARNA,0.1865,-0.3433
GOOG,0.6164,0.2504,1.3929
IVZ,0.3625,0.214,0.0376
SPGI,0.2364,0.1384
BRK-B,0.2048,0.0653,-0.0033
MPLX,-0.0791,0.0695,0.1368
CYRX,1.7362,1.7092
VOD,0.1377,0.126
DXC,1.3634,0.5965,1.176
HLT,0.3879,-0.0933,0.0628
JAPAY,0.1034,0.0569
ANZBY,0.6759,0.3491
SYK,0.472,0.2635,0.1902
TEVA,-0.2581,-0.1768
CVI,-0.0543,-0.155
BWXT,0.2915,-0.0074,0.1767
RWEOY,0.011,0.1618
STOR,0.0089,0.095
BOIVF,0.0471,0.041,0.0704
