name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Phillips, Dean",AFL,2020/04/02,2020/05/21,2022/05/19,,2021/05/20,0.6004,2020/11/19,0.242
"Castor, Kathy",BRK.B,2020/10/05,2020/11/23,2022/11/21,,2021/11/22,,2021/05/24,
"Perdue Jr., David A.",CTSH,2017/06/20,2017/08/08,2019/08/06,-0.1145,2018/08/07,0.1167,2018/02/06,0.0424
"Cisneros, Gilbert",WFC,2019/12/06,2020/01/24,2022/01/21,0.1336,2021/01/22,-0.3374,2020/07/24,-0.4439
"Perdue Jr., David A.",WFM,2016/09/07,2016/10/26,2018/10/24,,2017/10/25,,2017/04/26,
"Capito, Shelley M.",ACN,2018/04/24,2018/06/12,2020/06/09,0.2721,2019/06/11,0.1326,2018/12/11,-0.0252
"Green, Mark",USDP,2020/08/12,2020/09/30,2022/09/28,,2021/09/29,0.9344,2021/03/31,0.7756
"Gottheimer, Josh",ALC,2020/06/03,2020/07/22,2022/07/20,,2021/07/21,0.1352,2021/01/20,0.1977
"Perdue Jr., David A.",GPK,2020/02/25,2020/04/14,2022/04/12,,2021/04/13,0.383,2020/10/13,0.1048
"Perdue Jr., David A.",CZR,2017/06/30,2017/08/18,2019/08/16,0.8025,2018/08/17,1.1054,2018/02/16,0.4955
"Inhofe, James M.",A,2015/08/24,2015/10/12,2017/10/09,0.8433,2016/10/10,0.3284,2016/04/11,0.1015
"Gianforte, Greg",BTLCY,2020/03/18,2020/05/06,2022/05/04,,2021/05/05,0.5654,2020/11/04,0.0476
"Lee, Susie",VRT,2020/10/19,2020/12/07,2022/12/05,,2021/12/06,0.2962,2021/06/07,0.3088
"Whitehouse, Sheldon",AMGN,2016/04/12,2016/05/31,2018/05/29,0.1233,2017/05/30,-0.0202,2016/11/29,-0.0736
"Perdue Jr., David A.",ENTG,2019/07/12,2019/08/30,2021/08/27,1.7571,2020/08/28,0.587,2020/02/28,0.1943
"Roberts, Pat",BAC,2017/12/13,2018/01/31,2020/01/29,0.0339,2019/01/30,-0.0906,2018/08/01,-0.0237
"Whitehouse, Sheldon",REGN,2017/05/16,2017/07/04,2019/07/02,-0.3595,2018/07/03,-0.2891,2018/01/02,-0.2295
"Cisneros, Gilbert",COST,2020/12/23,2021/02/10,2023/02/08,,2022/02/09,0.4801,2021/08/11,0.2425
"Gottheimer, Josh",APD,2020/02/03,2020/03/23,2022/03/21,0.2799,2021/03/22,0.5053,2020/09/21,0.5637
"Frankel, Lois",AXP,2020/10/01,2020/11/19,2022/11/17,,2021/11/18,0.5669,2021/05/20,0.3644
"Whitehouse, Sheldon",QCOM,2017/04/05,2017/05/24,2019/05/22,0.1821,2018/05/23,-0.0212,2017/11/22,0.138
"Shalala, Donna",EXEL,2019/01/09,2019/02/27,2021/02/24,-0.0007,2020/02/26,-0.1482,2019/08/28,-0.1438
"Curtis, John",DIS,2019/05/14,2019/07/02,2021/06/29,0.2347,2020/06/30,-0.2187,2019/12/31,0.0137
"Whitehouse, Sheldon",DISH,2017/05/10,2017/06/28,2019/06/26,-0.4145,2018/06/27,-0.4735,2017/12/27,-0.2568
"Phillips, Dean",AMZN,2020/09/23,2020/11/11,2022/11/09,,2021/11/10,0.1421,2021/05/12,0.0245
"Lee, Susie",NLOK,2020/12/03,2021/01/21,2023/01/19,,2022/01/20,0.2717,2021/07/22,0.2232
"Cassidy, William",ABT,2016/03/31,2016/05/19,2018/05/17,0.6297,2017/05/18,0.1554,2016/11/17,0.0795
