	transaction_date	owner	ticker	asset_description	asset_type	type	amount	comment	senator	ptr_link	disclosure_date	disclosure_year	representative	district	cap_gains_over_200_usd
146	2021/12/21	Spouse	USB	U.S. Bancorp Common Stock	Stock	Sale (Partial)	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
151	2021/12/21	Spouse	BRK.B	Berkshire Hathaway Inc. New Common Stock	Stock	Sale (Partial)	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
152	2021/12/21	Spouse	BAC	Bank of America Corporation Common Stock	Stock	Sale (Partial)	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
160	2021/12/21	Spouse	BK	The Bank of New York Mellon Corporation Common Sto	Stock	Purchase	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
161	2021/12/21	Self	USB	U.S. Bancorp Common Stock	Stock	Sale (Partial)	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
169	2021/12/21	Self	BRK.B	Berkshire Hathaway Inc. New Common Stock	Stock	Sale (Partial)	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
170	2021/12/21	Self	BAC	Bank of America Corporation Common Stock	Stock	Sale (Partial)	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
180	2021/12/21	Self	BK	The Bank of New York Mellon Corporation Common Sto	Stock	Purchase	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
203	2021/12/29	Self	BKEP	Blueknight Energy Partners L.P., L.L.C. - Common U	Stock	Sale (Full)	$15,001 - $50,000	Asset held by Roundstone Ventures, LLC.	William F Hagerty, Iv	https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/	2022/01/10				
204	2021/12/29	Self	NS	Nustar Energy L.P. Common Units	Stock	Sale (Full)	$50,001 - $100,000	Asset held by Roundstone Ventures, LLC.	William F Hagerty, Iv	https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/	2022/01/10				
234	2021/11/22	Joint	OXY	"Occidental Petroleum Corporation Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $29.00 <br> <em>Expires:</em> 06/17/2022 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/149541b8-9421-4598-9709-0dc7caea0595/	2021/12/10				
237	2021/11/22	Joint	OXY	Occidental Petroleum Corporation Common Stock	Stock	Sale (Full)	$50,001 - $100,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/149541b8-9421-4598-9709-0dc7caea0595/	2021/12/10				
265	2021/10/28	Self	CVX	Chevron Corporation Common Stock	Stock	Sale (Full)	$100,001 - $250,000	--	John W Hickenlooper	https://efdsearch.senate.gov/search/view/ptr/3b5e5f56-1328-473b-85bb-cf831243c8da/	2021/11/19				
356	2021/08/30	Joint	MCHP	Microchip Technology Incorporated - Common Stock	Stock	Sale (Full)	$15,001 - $50,000	Due to standing separation agreement with financial advisor, Senator first notified of activity 9/13/21 in compliance with Senate disclosure process.	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/2d59cb0c-ba0d-4d1d-af20-4aa1d70582d7/	2021/09/13				
366	2021/08/02	Joint	OXY	"Occidental Petroleum Corporation Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $31.00 <br> <em>Expires:</em> 02/18/2022 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/	2021/09/08				
367	2021/08/02	Joint	OXY	"Occidental Petroleum Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 02/18/2022 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/	2021/09/08				
472	2021/02/16	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 08/20/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
473	2021/02/16	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $30.00 <br> <em>Expires:</em> 08/20/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
474	2021/02/16	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $30.00 <br> <em>Expires:</em> 08/20/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
475	2021/02/16	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $30.00 <br> <em>Expires:</em> 08/20/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
476	2021/02/16	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $30.00 <br> <em>Expires:</em> 08/20/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
477	2021/02/16	Joint	OXY	Occidental Petroleum Corporation	Stock	Purchase	$15,001 - $50,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
565	2021/04/07	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 11/19/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
566	2021/04/07	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $29.00 <br> <em>Expires:</em> 11/19/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
567	2021/04/07	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $29.00 <br> <em>Expires:</em> 11/19/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
568	2021/04/07	Joint	OXY	Occidental Petroleum Corporation	Stock	Purchase	$50,001 - $100,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
588	2021/06/25	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 08/20/2021 </div>"	Stock Option	Purchase	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/1d84ad6b-1e5f-45b7-a95a-a9cdcb46c69b/	2021/07/16				
999	2020/08/18	Spouse	SLB	Schlumberger Limited	Stock	Sale (Full)	$1,001 - $15,000	--	Angus S King, Jr.	https://efdsearch.senate.gov/search/view/ptr/1de8728d-7085-4ddc-8275-d10d2684ff60/	2020/09/16				
1000	2020/08/18	Spouse	XOM	Exxon Mobil Corporation	Stock	Sale (Full)	$1,001 - $15,000	--	Angus S King, Jr.	https://efdsearch.senate.gov/search/view/ptr/1de8728d-7085-4ddc-8275-d10d2684ff60/	2020/09/16				
1001	2020/08/18	Spouse	COP	ConocoPhillips	Stock	Sale (Full)	$1,001 - $15,000	--	Angus S King, Jr.	https://efdsearch.senate.gov/search/view/ptr/1de8728d-7085-4ddc-8275-d10d2684ff60/	2020/09/16				
1072	2020/08/21	Spouse	XOM	Exxon Mobil Corporation	Stock	Sale (Full)	$15,001 - $50,000	--	Ron L Wyden	https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/	2020/08/29				
1284	2020/06/04	Spouse	RDS-B	Royal Dutch Shell plc	Stock	Sale (Full)	$1,001 - $15,000	--	Ron L Wyden	https://efdsearch.senate.gov/search/view/ptr/f4826329-8802-464c-b502-66165bc501c5/	2020/07/02				
1350	2020/05/07	Spouse	BRY	Berry Corporation	Stock	Purchase	$15,001 - $50,000	--	Ron L Wyden	https://efdsearch.senate.gov/search/view/ptr/1ce2fd56-5a76-4de8-ba9f-a1cf840172be/	2020/06/01				
1579	2020/04/06	Spouse	RDS-B	Royal Dutch Shell plc	Stock	Purchase	$1,001 - $15,000	--	Ron L Wyden	https://efdsearch.senate.gov/search/view/ptr/d411d8c3-b780-4e4e-8490-aa790811fa5f/	2020/05/05				
1585	2020/04/06	Spouse	XOM	Exxon Mobil Corporation	Stock	Purchase	$15,001 - $50,000	--	Ron L Wyden	https://efdsearch.senate.gov/search/view/ptr/d411d8c3-b780-4e4e-8490-aa790811fa5f/	2020/05/05				
2091	2020/03/09	Spouse	PSX	Phillips 66	Stock	Purchase	$1,001 - $15,000	--	William Cassidy	https://efdsearch.senate.gov/search/view/ptr/52b33142-c874-415c-a342-d1c32b0772c5/	2020/03/27				
2363	2019/12/31	Self	SLB	Schlumberger Limited	Stock	Purchase	$50,001 - $100,000	--	John Hoeven	https://efdsearch.senate.gov/search/view/ptr/4a942198-2478-4da7-b598-c98a9fe676da/	2020/01/09				
2364	2019/12/31	Self	MPC	Marathon Petroleum Corporation	Stock	Purchase	$50,001 - $100,000	--	John Hoeven	https://efdsearch.senate.gov/search/view/ptr/4a942198-2478-4da7-b598-c98a9fe676da/	2020/01/09				
2467	2019/11/05	Self	XOM	Exxon Mobil Corporation	Stock	Purchase	$50,001 - $100,000	--	John Hoeven	https://efdsearch.senate.gov/search/view/ptr/efda208f-8afc-48d9-938e-5cb8e6bfc988/	2019/11/20				
2469	2019/11/04	Self	XOM	Exxon Mobil Corporation	Stock	Purchase	$50,001 - $100,000	--	John Hoeven	https://efdsearch.senate.gov/search/view/ptr/efda208f-8afc-48d9-938e-5cb8e6bfc988/	2019/11/20				
2471	2019/11/04	Self	CVX	Chevron Corporation	Stock	Purchase	$50,001 - $100,000	--	John Hoeven	https://efdsearch.senate.gov/search/view/ptr/efda208f-8afc-48d9-938e-5cb8e6bfc988/	2019/11/20				
2713	2018/12/07	Spouse	XOM	Exxon Mobil Corporation	Stock	Sale (Partial)	$1,001 - $15,000	--	William Cassidy	https://efdsearch.senate.gov/search/view/ptr/aea94c0d-f18b-4ab7-bdac-95a0f3f04339/	2019/08/07				
3353	2019/01/25	Spouse	XOM	Exxon Mobil Corporation	Stock	Purchase	$1,001 - $15,000	--	William Cassidy	https://efdsearch.senate.gov/search/view/ptr/e3e6d565-5b86-4a30-8488-b801c9bcc13b/	2019/02/21				
3663	2018/10/17	Spouse	SLB	Schlumberger Limited	Stock	Sale (Partial)	$1,001 - $15,000	--	Angus S King, Jr.	https://efdsearch.senate.gov/search/view/ptr/a31f4ed9-2215-4833-9a19-1a30db5a65c5/	2018/11/26				
4236	2018/04/25	Spouse	XOM	Exxon Mobil Corporation	Stock	Purchase	$1,001 - $15,000	--	William Cassidy	https://efdsearch.senate.gov/search/view/ptr/475ad4bf-fb94-474c-9ecd-80529d70ace5/	2018/05/15				
4823	2017/11/28	Spouse	SLB	Schlumberger Limited	Stock	Purchase	$1,001 - $15,000	--	Angus S King, Jr.	https://efdsearch.senate.gov/search/view/ptr/8c37c970-7a72-4821-b02d-bbaef57875dd/	2017/12/20				
4824	2017/11/28	Spouse	COP	ConocoPhillips	Stock	Purchase	$1,001 - $15,000	--	Angus S King, Jr.	https://efdsearch.senate.gov/search/view/ptr/8c37c970-7a72-4821-b02d-bbaef57875dd/	2017/12/20				
4834	2017/11/07	Spouse	SLB	Schlumberger Limited	Stock	Sale (Full)	$1,001 - $15,000	--	William Cassidy	https://efdsearch.senate.gov/search/view/ptr/4e1b4ab1-df80-45fe-8f5f-8dbbd5cd8e00/	2017/12/12				
4836	2017/11/07	Spouse	XOM	Exxon Mobil Corporation	Stock	Purchase	$1,001 - $15,000	--	William Cassidy	https://efdsearch.senate.gov/search/view/ptr/4e1b4ab1-df80-45fe-8f5f-8dbbd5cd8e00/	2017/12/12				
5382	2017/08/17	Self	WFM	Whole Foods Market, Inc.	Stock	Sale (Full)	$1,001 - $15,000	--	John F Reed	https://efdsearch.senate.gov/search/view/ptr/13d06aba-6825-4232-8cd2-f114dabc0938/	2017/08/28				
5401	2016/07/05	Self	FTV	Fortive Corporation	Stock	Exchange	$1,001 - $15,000	Shares received in spin off with Danaher Corp (DHR)	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/c51b359d-6dda-4e92-b563-f06ac805fc8a/	2017/08/10				
5489	2017/06/16	Joint	WFM	Whole Foods Market, Inc.	Stock	Sale (Full)	$50,001 - $100,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/863c68f8-0edf-4fb7-8e8d-1d1a33ba6f44/	2017/07/10				
5490	2017/06/16	Joint	WFM	Whole Foods Market, Inc.	Stock	Sale (Partial)	$15,001 - $50,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/863c68f8-0edf-4fb7-8e8d-1d1a33ba6f44/	2017/07/10				
5629	2017/06/19	Self	WFM	Whole Foods Market, Inc.	Stock	Sale (Partial)	$1,001 - $15,000	--	John F Reed	https://efdsearch.senate.gov/search/view/ptr/8b7d2849-1062-4bc9-b230-fd1cab165b22/	2017/06/20				
5689	2017/05/18	Joint	WFM	Whole Foods Market, Inc.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/7bfaf0d6-ea7a-4d4e-8979-0e09f62f162a/	2017/06/06				
5694	2017/05/15	Joint	WFM	Whole Foods Market, Inc.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/7bfaf0d6-ea7a-4d4e-8979-0e09f62f162a/	2017/06/06				
5695	2017/05/15	Joint	WFM	Whole Foods Market, Inc.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/7bfaf0d6-ea7a-4d4e-8979-0e09f62f162a/	2017/06/06				
5698	2017/05/12	Joint	WFM	Whole Foods Market, Inc.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/7bfaf0d6-ea7a-4d4e-8979-0e09f62f162a/	2017/06/06				
5704	2017/05/11	Joint	WFM	Whole Foods Market, Inc.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/7bfaf0d6-ea7a-4d4e-8979-0e09f62f162a/	2017/06/06				
5705	2017/05/11	Joint	WFM	Whole Foods Market, Inc.	Stock	Sale (Partial)	$15,001 - $50,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/7bfaf0d6-ea7a-4d4e-8979-0e09f62f162a/	2017/06/06				
5751	2017/04/24	Joint	WFM	Whole Foods Market, Inc.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/6040a997-7d31-4030-9ed7-6a7a7e9de6ad/	2017/05/05				
5831	2017/03/14	Joint	WOOF	VCA Inc.	Stock	Sale (Full)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/cc11c936-268c-480d-aea9-c552517017b7/	2017/03/31				
5834	2017/03/10	Joint	WFM	Whole Foods Market, Inc.	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/cc11c936-268c-480d-aea9-c552517017b7/	2017/03/31				
5837	2017/03/08	Joint	WFM	Whole Foods Market, Inc.	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/cc11c936-268c-480d-aea9-c552517017b7/	2017/03/31				
5841	2017/03/01	Joint	WOOF	VCA Inc.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/cc11c936-268c-480d-aea9-c552517017b7/	2017/03/31				
5986	2017/02/23	Joint	WOOF	VCA Inc.	Stock	Sale (Partial)	$15,001 - $50,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/2ee30018-7380-4807-8a41-79d413b008e8/	2017/03/01				
5995	2017/02/10	Joint	WOOF	VCA Inc.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/2ee30018-7380-4807-8a41-79d413b008e8/	2017/03/01				
5997	2017/02/09	Joint	WOOF	VCA Inc.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/2ee30018-7380-4807-8a41-79d413b008e8/	2017/03/01				
6006	2017/02/06	Joint	WOOF	VCA Inc.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/2ee30018-7380-4807-8a41-79d413b008e8/	2017/03/01				
6019	2017/02/01	Joint	WOOF	VCA Inc.	Stock	Sale (Partial)	$15,001 - $50,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/2ee30018-7380-4807-8a41-79d413b008e8/	2017/03/01				
6069	2017/01/09	Joint	WFM	Whole Foods Market, Inc.	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/37aaa273-b09d-4a9f-9962-79dde0077021/	2017/02/03				
6115	2016/12/30	Spouse	COP	ConocoPhillips	Stock	Purchase	$15,001 - $50,000	--	Susan M Collins	https://efdsearch.senate.gov/search/view/ptr/e373cb0c-9dae-4a6b-8c6f-f29374a271ac/	2017/01/10				
6139	2016/12/16	Joint	ENB	Enbridge Inc.	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/28d9700b-a9f1-4e60-bcbc-a8e2e378ebf8/	2017/01/03				
6141	2016/12/16	Joint	FEYE	FireEye, Inc.	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/28d9700b-a9f1-4e60-bcbc-a8e2e378ebf8/	2017/01/03				
6142	2016/12/15	Joint	WMB	The Williams Companies, Inc.	Stock	Purchase	$15,001 - $50,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/28d9700b-a9f1-4e60-bcbc-a8e2e378ebf8/	2017/01/03				
6144	2016/12/13	Joint	EPD	Enterprise Products Partners L.P.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/28d9700b-a9f1-4e60-bcbc-a8e2e378ebf8/	2017/01/03				
6145	2016/12/13	Joint	EPD	Enterprise Products Partners L.P.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/28d9700b-a9f1-4e60-bcbc-a8e2e378ebf8/	2017/01/03				
6146	2016/12/13	Joint	BPL	Buckeye Partners, L.P.	Stock	Sale (Partial)	$15,001 - $50,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/28d9700b-a9f1-4e60-bcbc-a8e2e378ebf8/	2017/01/03				
6147	2016/12/12	Joint	ETP	Energy Transfer Partners, L.P.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/28d9700b-a9f1-4e60-bcbc-a8e2e378ebf8/	2017/01/03				
6148	2016/12/12	Joint	WMB	The Williams Companies, Inc.	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/28d9700b-a9f1-4e60-bcbc-a8e2e378ebf8/	2017/01/03				
6169	2016/12/16	Self	VLO	Valero Energy Corporation	Stock	Sale (Full)	$100,001 - $250,000	--	John Hoeven	https://efdsearch.senate.gov/search/view/ptr/0f3a5882-6a25-446b-8c3d-b71aeb1d63ed/	2016/12/20				
6190	2016/11/28	Dependent	ORCL	Oracle Corporation	Stock	Sale (Full)	$1,001 - $15,000	--	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/0b09f334-04bc-4942-b432-d9fcdae80d08/	2016/12/12				
6193	2016/11/28	Spouse	FB	Facebook, Inc.	Stock	Purchase	$1,001 - $15,000	--	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/0b09f334-04bc-4942-b432-d9fcdae80d08/	2016/12/12				
6197	2016/11/15	Joint	GOOGL	Alphabet Inc.	Stock	Purchase	$1,001 - $15,000	--	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/0b09f334-04bc-4942-b432-d9fcdae80d08/	2016/12/12				
6205	2016/11/28	Self	ORCL	Oracle Corporation	Stock	Sale (Partial)	$1,001 - $15,000	--	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/0b09f334-04bc-4942-b432-d9fcdae80d08/	2016/12/12				
6217	2016/11/29	Joint	ENTG	Entegris, Inc.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/220d9ddf-1dbe-4955-a86e-ae084f710a78/	2016/12/06				
6219	2016/11/25	Joint	ENTG	Entegris, Inc.	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/220d9ddf-1dbe-4955-a86e-ae084f710a78/	2016/12/06				
6221	2016/11/18	Joint	FEYE	FireEye, Inc.	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/220d9ddf-1dbe-4955-a86e-ae084f710a78/	2016/12/06				
6222	2016/11/18	Joint	WMB	Williams Companies, Inc.	Stock	Purchase	$15,001 - $50,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/220d9ddf-1dbe-4955-a86e-ae084f710a78/	2016/12/06				
6223	2016/11/18	Joint	SE	Spectra Energy Corp.	Stock	Sale (Partial)	$15,001 - $50,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/220d9ddf-1dbe-4955-a86e-ae084f710a78/	2016/12/06				
6224	2016/11/18	Joint	SLB	Schlumberger Limited	Stock	Purchase	$15,001 - $50,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/220d9ddf-1dbe-4955-a86e-ae084f710a78/	2016/12/06				
6225	2016/11/18	Joint	WMB	Williams Companies, Inc.	Stock	Purchase	$15,001 - $50,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/220d9ddf-1dbe-4955-a86e-ae084f710a78/	2016/12/06				
6226	2016/11/18	Joint	SE	Spectra Energy Corp.	Stock	Sale (Partial)	$15,001 - $50,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/220d9ddf-1dbe-4955-a86e-ae084f710a78/	2016/12/06				
6239	2016/11/11	Joint	GEL	Genesis Energy LP	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/220d9ddf-1dbe-4955-a86e-ae084f710a78/	2016/12/06				
6240	2016/11/11	Joint	WMB	Williams Companies, Inc.	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/220d9ddf-1dbe-4955-a86e-ae084f710a78/	2016/12/06				
6242	2016/11/10	Joint	WMB	Williams Companies, Inc.	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/220d9ddf-1dbe-4955-a86e-ae084f710a78/	2016/12/06				
6243	2016/11/10	Joint	WMB	Williams Companies, Inc.	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/220d9ddf-1dbe-4955-a86e-ae084f710a78/	2016/12/06				
6244	2016/11/10	Joint	WMB	Williams Companies, Inc.	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/220d9ddf-1dbe-4955-a86e-ae084f710a78/	2016/12/06				
6248	2016/11/09	Joint	DPM	DCP Midstream Partners LP	Stock	Sale (Partial)	$15,001 - $50,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/220d9ddf-1dbe-4955-a86e-ae084f710a78/	2016/12/06				
6299	2016/10/31	Spouse	CVX	Chevron Corporation	Stock	Sale (Partial)	$1,001 - $15,000	--	William Cassidy	https://efdsearch.senate.gov/search/view/ptr/36884c7d-49e1-4b08-82a7-f567270ac9dd/	2016/11/21				
6330	2016/10/26	Spouse	IBM	International Business Machines Corporation	Stock	Purchase	$1,001 - $15,000	--	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/bbc1b507-8846-40ea-8243-f35caf2a847e/	2016/11/07				
6338	2016/10/26	Self	IBM	International Business Machines Corporation	Stock	Purchase	$1,001 - $15,000	--	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/bbc1b507-8846-40ea-8243-f35caf2a847e/	2016/11/07				
6340	2016/10/24	Joint	GLW	Corning Incorporated	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/7f11d7eb-a100-4806-bc31-60f83b8177df/	2016/11/02				
6341	2016/10/24	Joint	GLW	Corning Incorporated	Stock	Sale (Partial)	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/7f11d7eb-a100-4806-bc31-60f83b8177df/	2016/11/02				
6342	2016/10/21	Joint	FEYE	FireEye, Inc.	Stock	Purchase	$1,001 - $15,000	--	David A Perdue , Jr	https://efdsearch.senate.gov/search/view/ptr/7f11d7eb-a100-4806-bc31-60f83b8177df/	2016/11/02				
