party, gender	house	senate	input
Republican, male (Normalized)	51.12	225.9	255.13
Republican, female (Normalized)	205.29	1,065.26	1,033.9
Independent, male (Normalized)		11,339.04	11,339.04
Democratic, male (Normalized)	34.28	187.64	157.6
Libertarian, male (Normalized)	11,137.76		11,137.76
Democratic, female (Normalized)	76.55	434.39	483.44
