party	house	senate	input
Independent (Normalized)		5,669.52	5,669.52
Libertarian (Normalized)	11,137.76		11,137.76
Republican (Normalized)	87.54	295.97	327.99
Democratic (Normalized)	39.81	222.33	194.78
