amount,"$1,000 - $15,000","$1,000,000 +","$1,000,001 - $5,000,000","$1,001 -","$1,001 - $15,000","$100,001 - $250,000","$15,000 - $50,000","$15,001 - $50,000","$250,001 - $500,000","$5,000,001 - $25,000,000","$50,000,000 +","$50,001 - $100,000","$500,001 - $1,000,000"
"Pascrell, Bill",,,,,2,,,1,,,,,
"Pelosi, Nancy",,,11,,,7,,2,13,,,2,22
"Perlmutter, Ed",,,,,47,,,,,,,,
"Peters, Scott H.",,15,,,6,25,,2,15,,,15,23
"Pfluger, August L.",,,,,12,,,,,,,,
"Phillips, Dean",,,,,473,1,,35,3,,,2,
"Pingree, Chellie",,,,,,2,,,1,,,1,1
"Price, David E.",,,,1,13,,,1,,,,,
"Raskin, Jamie",,1,,,,,,,,,,,
"Rice, Tom",,,,,8,,,3,,,,,
"Roe, David P.",,,,,19,,,,,,,,
"Rogers, Harold D.",,,,,18,,,2,,,,,
"Rooney, Francis",,,,,42,3,,6,1,,,8,
"Ross, Deborah K.",,,,,4,,,15,,,,1,
"Rouda, Harley E.",,,,,4,2,,,,,,,1
"Rouzer, David C.",,,,,10,,,1,,,,,
"Rutherford, John",,,,,47,,,1,,,,,
"Sanchez, Linda T.",,,,1,4,,,,,,,,
"Schiff, Adam B.",,,,,2,,,2,,,,,
"Schneider, Bradley S.",,,,,,2,,,3,,,,2
"Schrader, Kurt",,,,,229,1,,24,,,,4,
"Schrier, Kim",,,2,,11,3,,10,6,,,1,1
"Schultz, Debbie W.",,,,,10,,,,,,,,
"Scott, Austin",,,,,62,,,13,,,,,
"Scott, Robert C.",,,,,15,,,2,,,,,
"Sessions, Pete",,,,,31,3,,4,1,,,,
"Shalala, Donna",,,,,549,2,,13,1,,,2,
"Sherrill, Mikie",,,,5,138,6,,10,1,,,1,
"Simpson, Michael K.",,,,,23,,,4,,,,,
"Smucker, Lloyd K.",,,,,3,,,8,,,,,
"Spanberger, Abigail",,,,,2,,,,,,,,
"Spartz, Victoria",,,,,1,3,,2,1,,,,1
"Steube, William G.",,,,,5,,,1,,,,,
"Suozzi, Thomas",,,,1,4,1,,17,,,,16,
"Taylor, Nicholas V.",,,,,12,1,,2,3,,,1,2
"Timmons, William R.",,,,,18,,,,,,,,
"Trahan, Lori",,,,,2,,,,,,,,
"Trone, David",,,,,2,5,,1,2,,,3,
"Upton, Fred",,,,,11,1,,6,2,,,,
"Visclosky, Peter J.",,,,,1,,,1,,,,,
"Wagner, Ann",,,,,,9,,,2,,,1,
"Waltz, Michael",,,,,,,,2,,1,,,1
"Welch, Peter",,,,,41,,,8,,,,,
"Wittman, Robert J.",,,,,53,,,1,,,,,
"Yarmuth, John A.",,,,,96,3,,2,1,,,,
