official,Banks - Regional,Basic Materials,Communication Services,Communications,Consumer Cyclical,Consumer Defensive,Consumer Discretionary,Consumer Goods,Consumer Staples,Cryptocurrency,Energy,Financial,Financial Services,Fund,Healthcare,Induistrial,Industrial Goods,Industrials,Information Technology,Medical,Oil & Gas Storage & Trpor,Real Estate,Retail/Wholesale,Services,Technology,Trust,Utilities
"Gaetz, Matt",,,,,,,,,,,,,2,,,,,,,,,,,,,,
"Gallagher, Michael J.",,3,,,2,2,,,,,2,,4,1,9,,,7,,,,,,,5,,3
"Garbarino, Andrew",,1,,,3,,,,,,1,,1,5,2,,,,,,,,,,,,
"Garcia, Mike",,,,,16,,,,,,,,1,14,,,,8,,,,,,,4,,
"Gianforte, Greg",1,26,20,,59,29,,,1,,23,,77,11,46,,,85,2,,,15,2,10,74,,9
"Gibbs, Bob",,2,3,,2,1,,,,,4,,,,7,,,4,,,,1,,,12,,1
"Gonzalez, Anthony E.",,,1,,3,,,,,,,,,,1,,,,,,,,,,1,,
"Gottheimer, Josh",,24,26,,113,39,,,,,26,,106,4,136,,,77,,,,16,,2,316,,4
"Graves, Garret",,1,,,3,,,,,,,,2,,,,,,,,,,,,3,,
"Green, Mark",,,,,,,,,,14,480,,,2,1,,,38,,,,,,,,,14
"Greene, Marjorie T.",,4,4,,13,14,,,,,2,,9,2,7,,,4,,,,,,,25,,3
"Grijalva, Raúl M.",,,,,,,,,,,,,2,2,,,,,,,,,,,,,
"Guest, Michael P.",,,2,,,,,,,,2,,,,,,,,,,,,,,,,
"Hagedorn, James",,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Hagerty IV, William F.",,,,2,3,1,,,,,2,,5,,1,,,2,,,,3,,,2,,
"Hern, Kevin",,6,2,,23,9,,,,,57,,26,30,47,,,38,,,,3,,,61,,7
"Hickenlooper, John W.",,,1,,4,,,,,,1,,2,,2,,,,,,,,,,11,,
"Higgins, Brian",,,,,,,,,,,,,,,,,,,,,,,,,3,,
"Hill, James F.",,,1,,1,,,,,,3,,,3,,,,1,,,,,,,,,
"Hoeven, John",,11,6,,39,22,,,,,9,,17,12,16,,,19,,,,7,,,20,3,3
"Holding, George",,,1,,,1,,,,,2,,,2,3,,,,,,,,,,1,,
"Hollen, Chris V.",,,2,,2,1,,,,,,,,,1,,,1,,,,,,,,,
"Hollingsworth, Trey",,,,,,,,,,,44,,,,,,,,,,,,,,,,
"Inhofe, James M.",,2,,,30,9,,,,,23,,32,11,54,,,21,,,,,,,33,,2
"Jacobs, Christopher L.",,2,2,,7,7,,,,,5,,10,,17,,,3,,,,3,,,7,,
"Jacobs, Sara",,2,2,,6,4,,,,,,,7,,10,,,5,,,,2,,,12,,2
