Seniority_House
10
10
19
25
11
22
11
49
11
14
2
24
11
19
5
3
11
4
11
12
23
26
18
13
17
20
40
35
25
13
15
14
40
29
16
27
24
9
8
17
19
15
20
26
22
32
25
30
21
40
24
13
11
29
31
16
6
6
23
19
26
34
16
14
29
16
30
20
10
19
14
20
11
20
25
10
10
15
10
15
23
15
31
13
6
16
4
24
16
6
24
24
11
15
42
15
8
15
8
13
10
11
30
12
17
19
2
28
2
2
22
29
12
15
33
12
10
11
10
8
12
10
19
8
8
23
29
17
16
26
13
12
25
2
23
4
11
26
14
8
28
20
2
6
24
36
7
8
30
12
14
11
8
14
16
20
18
6
10
8
6
21
13
15
7
10
41
9
14
10
2
8
10
12
13
12
11
19
15
9
41
20
24
22
33
25
32
12
18
20
21
11
6
11
10
24
36
35
13
19
14
9
1
36
2
52
60
12
14
10
21
12
8
30
2
4
29
10
11
20
12
8
11
17
21
11
16
13
12
17
16
15
14
11
6
4
14
25
24
4
41
14
35
10
25
16
10
10
24
16
17
14
12
16
28
18
30
25
20
31
12
2
30
15
29
4
29
46
32
32
32
2
6
13
20
6
6
2
27
2
17
31
31
18
6
24
33
17
30
18
4
18
17
6
21
10
2
25
8
19
15
15
11
4
24
39
16
13
17
6
18
10
8
19
11
11
8
29
19
12
10
22
27
35
13
22
21
11
6
13
12
7
8
18
8
8
3
10
27
13
20
20
14
12
11
21
21
11
8
6
29
8
12
32
11
11
31
8
6
15
17
14
28
34
16
34
18
25
17
17
16
25
26
24
20
16
10
27
14
14
32
12
2
16
27
19
7
17
26
29
19
23
18
14
8
15
15
6
29
16
6
26
13
24
11
34
13
15
10
21
11
20
17
36
28
14
25
11
38
20
25
17
42
36
8
6
26
31
16
13
8
18
7
9
10
9
9
9
7
9
7
9
9
2
9
9
9
9
9
6
8
5
6
3
4
1
3
9
2
8
8
9
7
12
2
9
9
9
8
6
9
2
6
8
9
9
2
12
9
9
11
5
8
9
8
6
9
9
9
4
6
9
6
7
8
8
9
9
9
5
9
9
6
9
12
9
9
6
9
2
9
9
9
4
9
5
9
8
9
7
7
7
7
7
4
7
7
7
4
7
2
4
7
7
7
7
1
7
7
4
4
6
6
7
4
7
7
4
4
7
7
7
7
2
2
2
4
7
7
7
4
7
7
6
7
6
4
6
4
7
5
6
7
4
7
4
7
7
3
7
7
7
5
5
4
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
4
5
2
5
5
5
5
5
5
5
5
5
4
1
2
4
5
2
5
5
5
2
3
4
5
4
4
4
5
4
5
4
5
5
5
5
4
5
2
5
2
5
5
5
5
3
3
2
1
2
2
3
2
3
3
3
3
3
2
3
2
2
1
3
8
3
3
3
3
3
3
2
3
2
3
3
3
12
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
2
2
2
3
3
2
2
3
3
3
3
2
3
3
3
3
3
3
2
3
3
3
3
3
3
3
3
2
3
3
3
3
3
2
3
2
3
3
3
3
3
3
2
3
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
