Seniority_Senate
20
43
6
19
27
35
12
21
30
34
16
13
24
11
31
12
30
11
20
20
37
53
10
13
29
39
16
36
24
40
47
40
25
37
11
18
18
34
25
35
40
3
28
25
36
15
9
27
45
12
25
15
39
12
6
14
12
34
13
6
29
28
30
22
15
41
6
27
26
11
29
25
36
16
13
41
15
17
15
31
27
13
11
28
23
12
18
20
20
42
11
31
47
6
13
23
29
12
30
24
11
15
24
18
15
15
12
9
9
1
45
1
9
1
9
13
6
9
9
23
7
9
10
6
7
13
13
9
7
7
11
7
21
1
3
4
9
11
5
19
4
4
5
5
9
5
2
3
1
3
3
5
9
19
3
1
1
1
1
1
5
13
1
9
