Seniority_Senate
21
25
23
1
1
3
31
25
37
1
5
13
12
25
13
17
9
15
5
11
11
9
13
41
21
7
27
4
9
7
36
40
13
11
6
1
9
13
11
27
30
18
5
9
22
31
7
15
15
25
35
12
29
29
9
19
20
23
24
9
45
9
43
