seniority	house	senate	input
1	0.2	0.4	0.22
5		0.67	0.67
9		0.5	0.5
13		0.4	0.4
17		1.0	1.0
19		0.5	0.5
21		1.0	1.0
22		1.0	1.0
23		0.67	0.67
25		0.75	0.75
27		0.5	0.5
29		0.33	0.33
31		0.67	0.5
35		0.5	0.5
36		1.0	1.0
40		0.33	0.33
41		0.5	0.5
43		1.0	1.0
45		0.5	0.5
