age	house	senate	input
1	1125	607	1732
2	1487		1487
3	2334	169	2503
4	934	24	958
5	1717	9	1726
6	68	2597	2665
7	787	136	923
8	38		38
9	1314	128	1442
10	131		131
11	508	217	725
12	19	41	60
13	284	369	653
15	648	677	1325
16	349		349
17	567	198	765
18		59	59
19	19	7	26
20	20	2	22
21	174	382	556
22		2	2
23	108	6	114
24		5	5
25	5	586	591
27	366	8	374
29	24	162	186
31	4	1200	1204
33	15		15
35	87	15	102
36	2	229	231
37		22	22
40		458	458
41	20	261	281
