official,Advertising & Marketing Services,Advertising Agencies,Aerospace & Defense,Agricultural Inputs,Agriculture,Airlines,Apparel Manufacturing,Apparel Retail,Application Software,Asset Management,Auto & Truck Dealerships,Auto Manufacturers,Auto Parts,Autos,Banks,Banks--Diversified,Banks—Diversified,Banks—Regional,Beverages,Beverages - Alcoholic,Beverages - Non-Alcoholic,Beverages—Non-Alcoholic,Biotechnology,Brokers & Exchanges,Building Materials,Building Products & Equipment,Business Services,Capital Markets,Chemicals,Communication Equipment,Communication Services,Computer Hardware,Confectioners,Conglomerates,Congolmerates,Consulting & Outsourcing,Consulting Services,Consumer Electronics,Consumer Packaged Goods,Credit Services,Cryptocurrency,Diagnostics & Research,Discount Stores,Diversified Financial Services,Diversified Services,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,Drug Manufacturers—General,Drug Manufacturers—Speciality and Generic,Drug Manufacturers—Specialty & Generic,Education,Electrical Equipment & Parts,Electronic Gaming & Multimedia,Employment Services,Energy,Engineering & Construction,Entertainment,Farm & Construction Machinery,Farm & Heavy Construction Machinery,Farm Products,Financial Conglomerates,Financial Data & Stock Exchanges,Financial Services,Food stores,Footwear & Accessories,Forest Products,Fund,"Furnishings, Fixtures & Appliances",Gambling,Gold,Grocery Stores,Hardware,Health Care Plans,Health Care Providers,Health Information Services,Healthcare Plans,Home Improvement Retail,Homebuilding & Construction,Household & Personal Products,IT Services,Industrial Distribution,Industrial Products,Information Technology Services,Infrastructure Operations,Insurance,Insurance - Life,Insurance - Property & Casualty,Insurance - Specialty,Insurance Brokers,Insurance—Diversified,Insurance—Life,Insurance—Property & Casualty,Insurance—Reinsurance,Insurance—Specialty,Integrated Freight & Logistics,Internet Content & Information,Internet Retail,Leisure,Lodging,Luxury Goods,Major Pharmaceutical Preparations,Manufacturing - Apparel & Furniture,Marine Shipping,Medical Devices,Medical Diagnostics & Research,Medical Distribution,Medical Instruments & Equipment,Medical Instruments & Supplies,Metals & Mining,Mortgage Finance,Oil & Gas - Drilling,Oil & Gas - E&P,Oil & Gas - Integrated,Oil & Gas - Midstream,Oil & Gas - Refining & Marketing,Oil & Gas - Services,Oil & Gas E&P,Oil & Gas Equipment & Services,Oil & Gas Integrated,Oil & Gas Midstream,Oil & Gas Refining & Marketing,Online Media,Other Industrial Metals & Mining,Packaged Foods,Packaging & Containers,Paper & Paper Products,Personal Services,Publishing,REITs,REIT—Diversified,REIT—Healthcare Facilities,REIT—Hotel & Motel,REIT—Retail,Railroads,Real Estate,Real Estate Services,Real Estate—Development,Real Estate—Diversified,Residential Construction,Resorts & Casinos,Restaurants,Retail - Apparel & Specialty,Retail - Defensive,Scientific & Technical Instruments,Security & Protection Services,Semiconductor Equipment & Materials,Semiconductors,Shell Companies,Software,Software - Application,Software—Application,Software—Infrastructure,Solar,Specialty Business Services,Specialty Chemicals,Specialty Industrial Machinery,Specialty Retail,Staffing & Employment Services,Steel,Telecom Services,Telecommunication Services,Telecommunications,Textile Manufacturing,Tobacco,Tobacco Products,Tools & Accessories,Transportation & Logistics,Travel & Leisure,Travel Services,Truck Manufacturing,Trust,Utilities - Independent Power Producers,Utilities - Regulated,Utilities - Regulated Water,Utilities—Diversified,Utilities—Regulated Electric,Utilities—Regulated Gas,Utilities—Regulated Water,Utilities—Renewable,Waste Management
"Curtis, John",,,3,,,,,,12,2,,,,,5,,,,,1,3,,,5,,,4,,1,,3,3,,,,,,,1,4,,,,,,3,,,,,,,,,,,2,3,,,,,,,,,,,,,,,4,,,,,,,,,2,,,4,,2,,,,,,,,,,,,,,,1,,3,4,,4,,,,,,1,,1,,,,,,,6,,,,,,,2,,,,,,,,,,,,4,11,2,,,1,11,,,,4,,,,,,,,,1,,,,,,,2,5,,,,,,,,,,,,1
"Davis, Susan A.",,,,,,2,2,,3,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,
"DelBene, Suzan K.",,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dingell, Debbie",,,,,,,,,,1,,,,,,,,,,,1,,,1,,2,,,,,,3,,,,,,,,,,,,,,2,,,,2,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,
"Doggett, Lloyd",,,,,,,,,9,,,,,,,,,,,,9,,,,,,,,9,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dunn, Neal P.",,,,,,,,,,,,,,,14,,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evans, Dwight",,,5,,,1,,,3,4,,,,2,,,,,,2,,,,,,,,,1,,4,,,,,,,,,1,,1,,,,1,,,,,,,,,1,1,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,3,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,
"Fallon, Patrick",,,2,,,16,,,6,2,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,1,,7,,,,,,,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,1,11,,,,,,,,,,,,,,,9,,,,,,,,,,,,,
"Fleischmann, Charles J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flores, Bill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foxx, Virginia",,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,22,5,,,,1,,,,,,,,,2,26,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,17,,,1,,,8,
"Frankel, Lois",,,12,,,,,,12,5,,,,1,16,,,1,,1,,,4,19,,,12,,12,2,1,5,,,,,,,8,9,,,,,,11,,3,,,,,,5,,3,1,,,,,,,,,,,,,,,,2,,,,,,,,,13,,,,,18,,,,,,,,,,,,,,,1,,6,8,2,8,,3,,,10,2,,3,,,,,,,3,,,2,,,,8,,,,,,,,,,,,,5,7,,,,13,,,,,,,1,,2,,,,,,,,,5,,2,4,,,,,20,,,,,,,
"Franklin, Scott",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gaetz, Matt",,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gallagher, Michael J.",,,1,,,1,,,3,,,,,,4,,,,,,,,1,,,,,,3,,,2,,,,,,,1,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,1,,,,,,3,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,
"Garbarino, Andrew",,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garcia, Mike",,,4,,,4,,,,,,,,14,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gianforte, Greg",1,3,2,,1,3,1,,22,1,,6,2,6,30,,10,17,1,9,,,2,,2,,11,,4,12,6,7,,5,2,,2,1,2,1,,1,,,10,5,,7,,3,1,,1,2,,7,,,5,,,1,1,2,2,1,11,1,3,,4,,,15,,,2,,2,2,4,16,2,3,5,1,,,,4,5,,2,,2,3,,9,1,5,,1,2,8,1,,1,3,2,,,,6,,,3,3,2,7,,2,10,,4,,,3,1,2,1,,,,2,1,7,2,2,,,,2,1,1,,,10,,,,7,2,,1,16,11,,1,,6,1,,1,5,1,1,3,12,,,,,1,1,3,2,1,,1,
"Gibbs, Bob",,,1,1,,,,,3,,,,2,,,,,,,,,,,,,,,,,,2,4,,,,,,,1,,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,2,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
"Gonzalez, Anthony E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gottheimer, Josh",,3,5,,,5,,,154,11,,,,17,33,,,,,8,1,,40,23,,,10,2,10,2,9,24,,,,3,,1,14,21,,2,,,,8,,6,,5,1,,3,,,4,6,7,3,,,,,,1,1,4,2,,,,,,5,9,,,2,2,,5,13,2,,7,,2,,,3,4,,,,,11,,2,,,,,,19,22,4,10,6,11,,,5,5,1,4,6,2,,3,,,48,,2,4,,,,7,,,,,,,9,,,,,6,55,5,,,1,55,,,,18,11,,,2,6,4,,,,,,,,6,,13,5,11,2,,,1,,,,3,,,1
"Graves, Garret",,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
"Green, Mark",,,,,,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,329,61,47,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,14,,,,,,,
"Greene, Marjorie T.",,,3,,,,,,7,,,,,1,1,,,2,,,1,,4,1,1,,,,,,1,4,,,,,,,3,5,,,,,,1,,,,1,,,,,,,3,1,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,,,,,,,,4,,5,1,1,,,,,,,,,,,,,,,,4,5,,,,9,,,,,1,,,1,,,,,3,,,,,,,,3,,,,,3,,,,,,,
"Grijalva, Raúl M.",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guest, Michael P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hagedorn, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hern, Kevin",,,10,,,,,,39,11,,,,,5,,,,,,1,,,6,,1,,,2,,2,7,,,,,,,4,2,,,,,,7,,,,,,,,,,1,,1,,,,,,,,,30,,,,,,3,,,,,,,,,22,,,,,2,,,,,,,,,,,,,,,1,,15,18,,4,,1,,,15,11,27,3,1,,,,,,1,,,1,,,,2,1,,,,,,,,,,,1,19,4,,,,14,,,,,,,,3,1,,,,,,,,,,,1,1,,,,,7,,,,,,,1
"Higgins, Brian",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hill, James F.",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Holding, George",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Hollingsworth, Trey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jacobs, Christopher L.",,,,,,,,,2,2,,,,2,3,,,1,,1,,1,11,,,,1,,1,1,2,3,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,1,,,,,1,,1,,,2,2,,,,,,,1,,1,,,,,,,3,,,,,,,,,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2
"Jacobs, Sara",1,,1,,,,,,5,1,,,,,,,,,,,,,1,2,,,,,1,,2,1,,,,,,,4,1,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,2,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,1,2,,,,,6,,,,,,,,1,,,,,,,,,,,,2,,,,,1,1,,,,,,,
"Jeffries, Hakeem S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joyce, David P.",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
"Keating, William R.",,,3,,,,,,9,,,,,,2,,,,,,1,,,1,,,1,,,,,,,,,1,,,2,2,,,1,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,4,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,1,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"Kelly, Mike",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kennedy, Joseph P.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Khanna, Rohit",,,2,,,,2,,15,4,,,,4,9,,,,,,9,,2,12,,3,12,,4,,14,,,,,,1,,15,7,,,,,,5,,,,,,,,,,,13,6,,,,,,,,4,,,,,,,5,,,,,3,,,,7,,,8,6,,2,,,,,,,,,,,,,,3,,8,2,,,,,,,,,,,,,,,,,19,,,,,,,4,,,,,,,2,,,,,3,3,4,,,,7,,,1,,,,,2,,,,,,,,,,,,2,,2,,,1,6,,,,,,,
"Kinzinger, Adam",,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kustoff, David",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lamborn, Doug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Langevin, James R.",,,,,,4,,,3,,,,,,,,,,,,,,1,,,,,,,,14,3,,,,,,,,6,,,,,,,,,,,,,,,,,17,,,,,,,,,,18,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,9,,,,,,,,,,,,14,,,,,,15,,,,,,,,,,3,,,,1,,,,,,,,,,,,2,,,2,,,,,,,,,
"Larson, John B.",1,,1,,,,,,3,,,,,,2,,,,,2,,,,,,,,,,,,3,,,,,,,1,1,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latta, Robert E.",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee, Susie",,,6,,4,,,1,42,5,,,,22,8,,,,,4,,,,13,7,8,27,,12,11,8,22,,,,3,,,9,4,,,,,1,3,,,,6,2,6,,2,1,6,13,1,,,,,,,,,3,,,,7,,6,6,1,1,4,7,,,6,16,3,,,,2,,,,,,,,,,,,5,,,6,,9,12,,10,,,,,,,9,4,,,6,,,,6,,,26,,10,,33,,,2,,,,22,,,,2,17,14,20,6,4,,12,2,,,,16,,,1,,,,,,1,2,,,,,3,29,1,,,,,,,,,2,,9
"Lofgren, Zoe",,,,,,,,,6,4,,1,,2,13,,,,,1,4,,1,7,,,5,,1,3,13,3,,,,,,,7,7,,,,,,10,,,,,,,,,,,3,1,,,1,,,,,,1,,,,,,6,3,,,,1,,,,1,,,3,1,2,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,2,,,,,,,12,,,,,,,,,,,,4,7,7,,,,9,,,,,,,,,3,,,,,,,,,,,2,1,,,,,14,,,,,,,1
"Long, Billy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,23,,,,,,,
"Lowenthal, Alan S.",,,21,,,,,,27,13,,,,9,4,,,,,,,,,7,,1,14,,13,3,9,4,,,,27,,,3,,,,,,,9,,,,,,,,,,,3,,,,,,,,,,79,,23,,,,,,,,,1,,,,,,,4,,,2,,,,,,,,3,,,,,,6,,18,1,,,,,,,,,,,,,,,,,5,,,,,8,,12,,,,,,,,,,,,,22,,,,,125,31,,,10,,,,,,,,,2,,,,,,,,1,7,,,,9,,,,4,,,3
"Luria, Elaine",,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malinowski, Tom",,,,,,,,,18,,,,,,1,,,,,,1,,9,,,,,,,,2,1,,,,5,,,13,,,1,,1,,4,,,,,,,,,,10,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,7,,2,,,5,,,3,19,,4,1,,2,,,,,,,,,,1,,,,2,,,,,1,,,,,,,,,,,,,2,,,,1,1,2,,,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"Maloney, Sean P.",,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manning, Kathy",,,3,,,,,,5,,,,,,2,,,,,,,,3,3,,,,,4,,,2,,,,,,,4,2,,,,,,4,,,,2,,,,,,,4,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,3,2,4,,,1,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Marchant, Kenny",,,2,,,3,,,6,2,,,,1,5,,,,,,,,3,2,,,2,,,,1,,,1,,,,,1,2,,,,,,9,,,,,,,,,,,,,,1,,,,,,,5,,,,,,2,,,,,,,,,5,,,,,,2,,,,,,,,,,,,,,,,,1,,,,3,,,2,3,6,,,,,1,,,5,,1,,,,,2,,,,,,,1,,,,,4,8,2,,,1,5,,,,2,,,,,,1,,,,,,,,1,,2,1,,,,,2,,,,,,,
"Marshall, Roger W.",,,,,,,,,3,,,,,,,,,,,,,,4,,,,,,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Massie, Thomas",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mast, Brian",,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,3,,,,,1,,,4,,,,,,,2,,2,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matsui, Doris O.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
