committee,input
"Subcommittee on Oceans, Atmosphere, Fisheries, and Coast Guard",5
Subcommittee on Healthcare,2
"Surface Transportation, Maritime, Freight, and Ports Committee",1
Joint Committee on the Library,3
Subcommittee on the Legislative Branch,1
Financial Services Committee,7
Subcommittee on Housing and Insurance,1
Committee on Transportation and Infrastructure Committee,7
Subcommittee on Highways and Transit,6
"Subcommittee on Railroads, Pipelines, and Hazardous Materials",5
Subcommittee on Water Resources and Environment,3
Subcommittee on Economic Development,1
Subcommittee on Federal Spending Oversight and Emergency Management,2
Subcommittee on Regulatory Affairs and Federal Management,2
Subcommittee on Capital Markets and Government Sponsored Enterprises,5
Subcommittee on Monetary Policy and Trade,3
Subcommittee on Domestic Monetary Policy and Technology,1
Small Business Committee,3
Subcommittee on Healthcare and Technology,1
"Subcommittee on Economic Growth, Tax, and Capital Access",1
Subcommittee on Government Operations and Border Management,1
Permanent Subcommittee on Investigations,3
"Subcommittee on Superfund, Waste Management, and Regulatory Oversight",2
Subcommittee on Green Jobs and the New Economy,2
"Subcommittee on Emergency Management, Intergovernmental Relations, and the District of Columbia",1
"Subcommittee on the Efficiency, and Effectiveness of Federal Programs, and the Federal Workforce",1
Subcommittee on Financial and Contracting Oversight,1
"Subcommittee on Federal Financial Management, Government Information, Federal Services, and International Security",1
Ad Hoc Subcommittee on Contracting Oversight,1
"Subcommittee on Competition Policy, Antitrust, and Consumer Rights",2
"Subcommittee on Immigration, Citizenship, and Border Safety",2
Subcommittee on Intellectual Property,1
Economic Policy Committee,1
"Subcommittee on Livestock, Marketing, and Agriculture Security",1
Subcommittee on Africa and Global Health Policy,1
"Subcommittee on Livestock, Dairy, Poultry, Local Food Systems, and Food Safety, and Security",2
"Subcommittee on Superfund, Toxics, and Environmental Health",1
Committee on Financial Services,12
"Subcommittee on Investor Protection, Entrepreneurship, and Capital Markets",3
"Subcommittee on National Security, International Development, and Monetary Policy",2
Committee on Homeland Security,5
Subcommittee on Diversity and Inclusion,1
"Committee on Science, Space, and Technology",22
Environment Committee,1
Research and Technology,4
Space and Aeronautics Committee,1
Committee on Ways and Means,2
Committee on Natural Resources,3
Natural Resources Committee,3
Subcommittee on Energy and Mineral Resources,3
Subcommittee on Federal Lands,1
"Science, Space, and Technology Committee",7
Subcommittee on Space,4
Committee on Energy and Commerce,24
Committee on Agriculture,10
"Subcommittee on Conservation, Energy, and Forestry",1
"Subcommittee on Horticulture, Research, Biotechnology, and Foreign Agriculture",2
"Subcommittee on Livestock, Rural Development, and Credit",1
Committee on Small Business,3
Subcommittee on Finance and Tax,1
Subcommittee on Contracting and Technology,1
Agriculture Committee,4
"Subcommittee on Department Operations, Oversight, Nutrition, and Forestry",1
Subcommittee on General Farm Commodities and Risk Management,4
Subcommittee on Horticulture and Organic Agriculture,1
Subcommittee on Communications and Technology,7
Subcommittee on Oversight and Investigations,12
Homeland Security Subcommittee,5
Subcommittee on Counterterrorism and Intelligence,3
"Subcommittee on Cybersecurity, Infrastructure Protection, and Security Technologies",2
"Subcommittee on Oversight, Investigations, and Management",1
Subcommittee on Aviation,4
Committee on Foreign Affairs,8
"Europe, Energy, the Environment, and Cyber Committee",3
"Oversight, Management, and Accountability",1
Intelligence and Counterterrorism,1
House Committee on Armed Services,8
"Cyber, Innovative Technologies, and Information Systems Committee",1
Foreign Affairs Committee,5
Subcommittee on Asia and the Pacific,3
"Subcommittee on Europe, Eurasia, and Emerging Threats",2
"Subcommittee on Terrorism, Nonproliferation, and Trade",2
Subcommittee on Space and Aeronautics,2
Subcommittee on Research and Science Education,3
Subcommittee on Transportation Security,3
Subcommittee on Investigations and Oversight,2
Committee on Ethics,4
"Africa, Global Health, and Global Human Rights",1
"Subcommittee on Housing, Community Development, and Insurance",1
House Committee on Appropriations,1
"Subcommittee on Nutrition, Oversight, and Department Operations",1
"Subcommittee on Commodity Exchanges, Energy, and Credit",2
"Subcommittee on Biotechnology, Horticulture, and Research",2
House Committee on Budget,4
Senate Health Committee,1
Consumer Protection Committee,1
Senate Transportation Committee,1
Senate Aging Committee,1
Investigations and Government Operations Committee,1
Internet and Technology Committee,1
Subcommittee on Consumer Protection and Financial Institutions,1
Committee on Rules,5
Rules and Organization of the House Committee,1
Subcommittee on Financial Institutions and Consumer Credit,1
"Counterterrorism, Counterintelligence, and Counterproliferation Committee",1
Defense Intelligence and Warfighter Support,1
Committee on Oversight and Government Reform,4
National Security Committee,1
Oversight and Government Reform Committee,1
House Committee on Oversight and Government Reform,1
"Subcommittee on Rural Development, Research, Biotechnology, and Foreign Agriculture",2
"Subcommittee on National Security, Homeland Defense, and Foreign Operations",1
"Subcommittee on TARP, Financial Services, and Bailouts of Public, and Private Programs",1
Civil Rights and Civil Liberties,1
Rules Committee,1
Subcommittee on Rules and Organization of the House,2
House Committee on Rules,1
Committee on Judiciary,9
"Constitution, Civil Rights, and Civil Liberties Committee",2
"Courts, Intellectual Property, and the Internet",3
"Crime, Terrorism, and Homeland Security",1
"Water, Oceans, and Wildlife",1
Oversight and Investigations Committee,1
Subcommittee on the Constitution and Civil Justice,2
"Subcommittee on Courts, Intellectual Property, and the Internet",3
"Subcommittee on Courts, Commercial, and Administrative Law",1
"Subcommittee on Crime, Terrorism, and Homeland Security",1
Tactical Air and Land Forces,1
Intelligence and Special Operations Committee,1
"Committee on Education, and the Workforce",2
Higher Education and Workforce Investment Subcommittee,1
Committee on House Administration,3
Immigration and Citizenship Committee,1
House Administration Committee,2
Subcommittee on Immigration and Border Security,1
House Committee on House Administration,1
House Committee on the Judiciary,1
"House Committee on Science, Space, and Technology",1
Congress Joint Committee on the Library,1
Subcommittee on Immigration Policy and Enforcement,1
"Subcommittee on Intellectual Property, Competition, and the Internet",1
Subcommittee on Energy and Environment,1
House Committee on Natural Resources,2
"Subcommittee on Fisheries, Wildlife, Oceans, and Insular Affairs",4
Subcommittee on the Environment and Economy,1
Expedited Procedures,1
Legislative and Budget Process,1
Subcommittee on Readiness,3
"Subcommittee on Department Operations, Oversight, and Nutrition",1
General Farm Commodities and Risk Management,1
Subcommittee on Military Personnel,2
Ethics Committees,1
Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,1
"Subcommittee on Health, Employment, Labor, and Pensions",1
Subcommittee on Higher Education and Workforce Training,1
"Subcommittee on Early Childhood, Elementary, and Secondary Education",1
"Middle East, North Africa, and Global Counterterrorism",1
"Cybersecurity, Infrastructure Protection, and Security Technologies Subcommittee",1
"Subcommittee on Agriculture, Energy, and Trade",1
Middle East and South Asia Subcommittee,1
House Committee on Veterans' Affairs,1
Subcommittee on Economic Opportunity,1
House Budget Committee,1
