Age,input
67,4
62,1
70,3
66,2
78,1
72,4
64,1
65,1
69,2
63,2
68,4
75,1
61,4
52,2
47,1
37,2
71,1
34,1
53,1
56,1
45,1
55,1
60,1
74,2
50,1
58,1
38,1
