Owner	house	senate	input
Pfluger, August L.	{'Self': 6}		{'Self': 6}
Guest, Michael P.	{'Self': 4}		{'Self': 4}
Scott, Austin	{'Self': 24}		{'Self': 24}
Lamborn, Doug	{'Self': 83, 'Joint': 5}		{'Self': 83, 'Joint': 5}
DelBene, Suzan K.	{'Joint': 107, 'Self': 15}		{'Joint': 107, 'Self': 15}
Morelle, Joseph D.	{'Joint': 17}		{'Joint': 17}
Fleischmann, Charles J.	{'Joint': 57, 'Dependent': 7}		{'Joint': 57, 'Dependent': 7}
King Jr., Angus S.		{'Spouse': 67, 'Self': 10}	{'Spouse': 67, 'Self': 10}
McConnell Jr., A. M.		{'Spouse': 22}	{'Spouse': 22}
Reed, John F.		{'Self': 101, 'Joint': 139}	{'Self': 101, 'Joint': 139}
Axne, Cynthia	{'Self': 114, 'Joint': 1, 'Dependent': 1}		{'Self': 114, 'Joint': 1, 'Dependent': 1}
Meuser, Daniel	{'Dependent': 10}		{'Dependent': 10}
Murray, Patty		{'Spouse': 161}	{'Spouse': 161}
Raskin, Jamie	{'Joint': 1}		{'Joint': 1}
Jacobs, Christopher L.	{'Self': 32}		{'Self': 32}
Tuberville, Thomas H.		{'Joint': 250, 'Self': 29}	{'Joint': 250, 'Self': 29}
Dingell, Debbie	{'Self': 4}		{'Self': 4}
Allen, Richard W.	{'Self': 16}		{'Self': 16}
Sessions, Pete	{'Self': 16}		{'Self': 16}
Shaheen, Jeanne		{'Spouse': 3}	{'Spouse': 3}
Kennedy, John N.		{'Self': 2}	{'Self': 2}
Schiff, Adam B.	{'Self': 1}		{'Self': 1}
McEachin, Aston D.	{'Joint': 6}		{'Joint': 6}
Dunn, Neal P.	{'Self': 1}		{'Self': 1}
Lowenthal, Alan S.	{'Self': 546, 'Joint': 35}		{'Self': 546, 'Joint': 35}
Sherrill, Mikie	{'Self': 3}		{'Self': 3}
Khanna, Rohit	{'Dependent': 154, 'Self': 140, 'Joint': 1}		{'Dependent': 154, 'Self': 140, 'Joint': 1}
Kennedy, Joseph P.	{'Joint': 2}		{'Joint': 2}
Meng, Grace	{'Self': 1}		{'Self': 1}
Whitehouse, Sheldon		{'Spouse': 68, 'Joint': 243, 'Self': 257, 'Child': 107}	{'Spouse': 68, 'Joint': 243, 'Self': 257, 'Child': 107}
Cornyn, John		{'Self': 2}	{'Self': 2}
Lee, Susie	{'Joint': 614, 'Self': 2, 'Dependent': 1}		{'Joint': 614, 'Self': 2, 'Dependent': 1}
Manning, Kathy	{'Self': 22}		{'Self': 22}
Kelly, Mike	{'Joint': 1, 'Self': 10}		{'Joint': 1, 'Self': 10}
Sanchez, Linda T.	{'Self': 5}		{'Self': 5}
Matsui, Doris O.	{'Self': 14}		{'Self': 14}
Curtis, John	{'Joint': 30, 'Self': 1}		{'Joint': 30, 'Self': 1}
Moran, Jerry		{'Spouse': 72, 'Self': 100, 'Joint': 2}	{'Spouse': 72, 'Self': 100, 'Joint': 2}
Pascrell, Bill	{'Joint': 2}		{'Joint': 2}
