transaction_date	house	senate	input
2021/01/05	10	2	12
2020/08/14	6	1	7
2018/07/27		3	3
2014/10/02		1	1
2014/08/19		1	1
2016/06/23		2	2
2016/12/16		5	5
2015/11/29		1	1
2019/10/29	2	1	3
2016/03/01		2	2
2016/07/15		2	2
2019/01/31		3	3
2017/08/09		2	2
2017/03/07		2	2
2015/11/18		4	4
2020/09/15	9		9
2017/09/08		2	2
2020/03/31	9	5	14
2018/06/19		2	2
2020/03/02	11	4	15
2020/05/18	10	1	11
2013/09/13		1	1
2018/11/24		1	1
2018/12/05		1	1
2018/08/28		3	3
2016/07/07		2	2
2016/04/08		2	2
2018/03/28		2	2
2013/10/08		1	1
2012/10/10		2	2
2020/11/11	6	1	7
2018/08/10		1	1
2014/02/26		1	1
2020/07/17	3		3
2018/09/20		1	1
2017/01/09		2	2
2016/11/21		1	1
2017/12/15		1	1
2018/08/08		1	1
2015/12/30		1	1
2020/05/27	6	1	7
2018/02/01		1	1
2017/07/20		4	4
2018/05/21		3	3
2013/07/19		1	1
2013/05/29		1	1
2014/06/01		1	1
2021/12/03	5	1	6
2014/08/29		1	1
2016/12/19		1	1
2017/07/13		1	1
2021/12/09	7	1	8
2019/10/01		2	2
2015/01/28		3	3
2019/09/26		1	1
2015/05/22		1	1
2018/05/18		2	2
2020/05/21	6	2	8
2016/02/18		1	1
2016/04/05		2	2
2018/10/30		3	3
2015/07/30		2	2
2021/05/03	11		11
2014/02/20		1	1
2014/01/14		1	1
2012/08/15		1	1
2015/07/16		4	4
2021/09/16	5		5
2020/03/19	8	3	11
2014/07/07		2	2
2015/12/31		2	2
2014/02/21		3	3
2015/05/18		2	2
2015/07/06		1	1
2017/04/26		2	2
2016/09/09		1	1
2013/09/25		1	1
2020/04/21	7	1	8
2013/09/30		1	1
2019/03/13	1	1	2
2015/06/29		1	1
2014/03/10		1	1
2020/12/01	6		6
2020/12/23	6		6
2020/06/17	6	1	7
2017/04/21		3	3
2018/09/17		1	1
2019/05/24		1	1
2020/12/24	6		6
2015/05/04		1	1
2019/01/11	1	2	3
2021/03/08	11		11
2014/02/10		1	1
2014/01/06		1	1
2021/08/24	2		2
2019/09/06	2	1	3
2016/05/11		1	1
2020/11/27	4		4
2021/11/23	7		7
2021/04/19	8	1	9
2019/08/01	2	3	5
2021/01/22	12	1	13
2020/08/10	8		8
2020/03/09	9	6	15
2016/01/15		3	3
2019/01/07		1	1
2017/07/12		1	1
2020/10/05	6		6
2017/10/13		2	2
2018/02/06		1	1
2017/09/11		2	2
2019/06/25		4	4
2021/07/22	3		3
2021/10/22	6	1	7
2018/10/04		1	1
2014/03/12		1	1
2021/10/08	1		1
2013/12/18		1	1
2020/02/11	5	3	8
2020/10/01	12		12
2020/06/16	8	1	9
2015/07/27		2	2
2020/10/07	5		5
2020/01/06	6	2	8
2018/01/11		3	3
2012/12/05		1	1
2016/08/18		1	1
2015/11/20		1	1
2019/06/19	3	1	4
2014/04/28		3	3
2021/09/15	6		6
2019/09/09	1	1	2
2016/01/19		2	2
2014/08/07		2	2
2017/07/05		1	1
2019/07/01	3	2	5
2021/10/29	7	1	8
2014/12/17		1	1
2015/01/08		3	3
2016/08/19		2	2
2021/10/12	3	1	4
2020/02/26	5	4	9
2016/04/28		3	3
2019/05/06	1	1	2
2021/01/07	3		3
2016/01/06		3	3
2019/06/03	1	1	2
2019/10/30	1	1	2
2014/12/01		1	1
2021/02/01	13		13
2019/10/21	1	1	2
2019/02/15	2	2	4
2018/08/07		3	3
2020/04/09	14	2	16
2019/07/29	1	1	2
2021/08/10	4	1	5
2017/01/04		3	3
2016/03/31		3	3
2017/10/23		5	5
2017/10/24		1	1
2021/11/08	10	3	13
2018/05/15		2	2
2021/06/17	5		5
2013/02/15		1	1
2019/01/08		1	1
2014/09/12		1	1
2016/03/21		1	1
2016/10/11		2	2
2017/08/30		2	2
2014/08/21		2	2
2014/01/16		2	2
2016/07/13		1	1
2019/09/05		1	1
2013/04/29		2	2
2020/07/15	7	5	12
2020/12/21	8	1	9
2013/02/26		4	4
2016/04/15		1	1
2012/12/04		1	1
2021/09/21	5		5
2020/03/18	14	3	17
2012/08/02		1	1
2015/01/14		2	2
2014/02/28		1	1
2019/11/06	2	3	5
2015/12/02		1	1
2021/02/22	10		10
2020/05/19	11		11
2021/09/29	3	1	4
2019/04/18	1	3	4
2014/06/24		2	2
2012/08/27		1	1
2013/10/04		1	1
2016/01/11		3	3
2014/06/26		2	2
2014/12/24		1	1
2012/08/22		2	2
2013/07/25		2	2
2017/01/10		2	2
2020/01/09	11		11
2018/10/01		1	1
2017/04/12		2	2
2020/12/08	9	1	10
2019/03/21	1	1	2
2012/08/16		1	1
2015/10/07		1	1
2018/08/31		1	1
2020/07/10	5		5
2018/05/31		2	2
2018/07/19		2	2
2021/06/07	3	2	5
2013/12/13		1	1
2015/08/20		2	2
2013/09/04		1	1
2020/01/27	9	4	13
2019/04/30	2	2	4
2019/09/27		1	1
2021/09/13	7	1	8
2013/07/18		1	1
2020/11/10	8	2	10
2015/08/27		3	3
2016/06/09		2	2
2016/09/23		2	2
2019/03/31		1	1
2017/06/29		1	1
2018/02/23		1	1
2021/03/15	14		14
2018/04/05		1	1
2016/05/12		2	2
2015/07/07		2	2
2016/08/10		1	1
2020/11/13	14		14
2021/06/14	9	1	10
2020/08/07	6	2	8
2017/02/17		2	2
2014/08/25		1	1
2021/11/19	12		12
2017/01/18		2	2
2015/01/26		2	2
2021/09/02	10	1	11
2016/08/08		3	3
2020/11/08	1		1
2020/02/04	8	1	9
2016/03/29		1	1
2017/08/04		4	4
2013/04/05		2	2
2018/02/22		2	2
2018/01/17		5	5
2014/10/31		1	1
2020/07/02	12	2	14
2019/07/10		3	3
2013/07/22		1	1
2021/11/22		1	1
2015/05/28		2	2
2017/10/17		5	5
2014/06/27		1	1
2013/05/21		2	2
2021/02/02	8	1	9
2019/11/20	3	3	6
2017/09/26		2	2
2013/04/10		3	3
2013/01/28		2	2
2014/02/01		1	1
2018/03/22		1	1
2021/07/19	9	1	10
2018/11/21		2	2
2018/12/06		2	2
2015/12/20		1	1
2015/02/19		2	2
2014/01/02		2	2
2019/05/30	2	2	4
2017/05/10		4	4
2015/06/01		2	2
2020/06/18	7	1	8
2019/08/14	1	2	3
2021/06/18	9		9
2019/04/01	1	1	2
2016/08/15		3	3
2021/12/08	2		2
2016/12/07		1	1
2019/12/03	8	1	9
2016/08/11		2	2
2015/11/19		1	1
2015/03/05		1	1
2013/11/08		1	1
2019/05/08	1	1	2
2015/04/13		1	1
2016/08/26		3	3
2016/06/27		1	1
2017/12/29		4	4
2020/01/29	9	3	12
2021/06/15	7	1	8
2020/05/11	10	2	12
2018/09/26		1	1
2015/02/04		1	1
2018/01/16		4	4
2014/01/03		2	2
2020/07/01	9	4	13
2021/10/01	7	1	8
2014/06/05		2	2
2018/04/27		1	1
2017/05/11		1	1
2016/09/07		3	3
