ticker,transaction_date,number_of_transactions
PSQ,2021/01/04,1
ONEQ,2021/01/04,1
CARR,2020/12/31,1
OTIS,2020/12/31,1
NTAP,2020/12/30,1
VTRS,2020/12/30,1
PLUG,2020/12/22,1
EXPI,2020/12/21,1
GSMYX,2020/12/15,1
AIV,2020/11/30,1
PAAS,2020/11/20,1
SI,2020/11/20,1
PAGS,2020/11/20,1
MAXR,2020/11/20,1
GMAB,2020/11/20,1
XAR,2020/11/20,1
ACIW,2020/11/20,1
BRKR,2020/11/20,1
MRVL,2020/11/20,1
ERIC,2020/11/20,1
SNPS,2020/11/20,1
AJRD,2020/11/20,1
DDOG,2020/11/20,1
EVOP,2020/11/20,1
VIAV,2020/11/20,1
NUAN,2020/11/20,1
FTNT,2020/11/20,1
DGRS,2020/11/20,1
ABYIX,2020/11/20,1
RIO,2020/11/16,1
IJR,2020/10/30,1
TT,2020/09/30,1
ATOAX,2020/09/22,1
ZM,2020/09/09,1
AMWD,2020/08/24,1
W,2020/08/24,1
CONE,2020/08/21,1
BBY,2020/08/18,1
GOLD,2020/08/18,1
NVAX,2020/08/17,1
LDP,2020/08/06,1
WDAY,2020/08/05,1
DHI,2020/07/28,1
OSK,2020/07/20,1
PLD,2020/07/15,1
AY,2020/07/09,1
HASI,2020/07/09,1
AXS,2020/07/09,1
NKLA,2020/07/09,1
PTLC,2020/07/09,1
MANT,2020/07/09,1
LMRK,2020/07/09,1
GDXJ,2020/07/07,1
DLS,2020/07/07,1
FXI,2020/07/07,1
SIL,2020/07/07,1
RTH,2020/07/07,1
WIW,2020/07/07,1
FEMS,2020/07/07,1
FCPIX,2020/07/07,1
FIMKX,2020/07/07,1
NXTG,2020/07/07,1
STX,2020/07/06,1
SPOT,2020/07/02,1
AAL,2020/06/30,1
COUP,2020/06/17,1
XCAPX,2020/05/28,1
VAC,2020/05/26,1
PRJAX,2020/05/21,1
UBER,2020/05/08,1
BRY,2020/05/07,1
BLL,2020/05/07,1
MTCH,2020/05/07,1
DPZ,2020/05/05,1
BYND,2020/04/29,1
CRWD,2020/04/21,1
URI,2020/04/16,1
SOJA,2020/04/16,1
FRIAX,2020/04/16,1
CAIFX,2020/04/16,1
VOO,2020/04/16,1
VEA,2020/04/16,1
IWM,2020/04/16,1
HCA,2020/04/14,1
TEX,2020/04/13,1
AA,2020/04/13,1
GLNCY,2020/04/07,1
NNVC,2020/04/07,1
RTX,2020/04/07,1
JD,2020/04/07,1
SAP,2020/04/07,1
LLY,2020/04/07,1
GRUB,2020/04/06,1
QSR,2020/04/06,1
IRBT,2020/04/06,1
KLAC,2020/04/06,1
FITB,2020/04/02,1
KNX,2020/04/02,1
CFG,2020/04/02,1
IWN,2020/04/02,1
BOTZ,2020/04/02,1
FPL,2020/04/02,1
OAYIX,2020/04/02,1
QLEIX,2020/04/02,1
IAT,2020/04/02,1
QTEC,2020/04/02,1
CIBR,2020/04/02,1
GEM,2020/04/02,1
APO,2020/04/02,1
LHX,2020/04/02,1
MBXIX,2020/04/02,1
KWEB,2020/04/02,1
PTNQ,2020/04/02,1
SRVR,2020/04/02,1
LGI,2020/04/02,1
SBIO,2020/04/02,1
RODM,2020/04/02,1
DGX,2020/04/02,1
FINX,2020/04/02,1
GBIL,2020/04/02,1
LUBFX,2020/04/02,1
FDN,2020/04/02,1
CFA,2020/04/02,1
IVV,2020/04/02,1
NWS,2020/03/23,1
CAH,2020/03/20,1
WDC,2020/03/20,1
TDG,2020/03/18,1
ADM,2020/03/18,1
DXCM,2020/03/17,1
FHB,2020/03/17,1
DG,2020/03/17,1
FIS,2020/03/16,1
HELE,2020/03/09,1
AIZ,2020/03/09,1
HIG,2020/03/09,1
WCMIX,2020/02/27,1
IPHI,2020/02/24,1
HQL,2020/02/22,1
PSXP,2020/02/21,1
DOCU,2020/02/20,1
CTXS,2020/02/14,1
EEFT,2020/02/12,1
ORLY,2020/02/11,1
ROKU,2020/02/07,1
FNKO,2020/02/07,1
ARNA,2020/02/07,1
KL,2020/02/06,1
TCEHY,2020/02/06,1
AZO,2020/01/30,1
BMEZ,2020/01/29,1
ROST,2020/01/29,1
VFIJX,2019/12/31,1
BIV,2019/12/31,1
BAH,2019/12/31,1
GTX,2019/12/23,1
TGBAX,2019/12/23,1
BP,2019/12/17,1
VIAC,2019/12/09,1
TFC,2019/12/06,1
NDAQ,2019/11/19,1
TWO,2019/11/04,1
DRI,2019/11/04,1
TCP,2019/10/30,1
0QZI.IL,2019/09/25,1
JNK,2019/09/25,1
3V64.TI,2019/09/25,1
MPC,2019/09/25,1
KTB,2019/09/24,1
DCP,2019/09/19,1
CVET,2019/08/15,1
KR,2019/08/02,1
WAT,2019/07/23,1
ABB,2019/07/18,1
CEF,2019/07/18,1
VPMAX,2019/07/17,1
TSCIX,2019/07/17,1
GTCSX,2019/07/17,1
SMG,2019/07/16,1
MSM,2019/07/10,1
CTVA,2019/06/17,1
RDSA.AS,2019/06/10,1
VMC,2019/06/03,1
CE,2019/05/30,1
CEQP,2019/05/28,1
EAF,2019/05/23,1
WEX,2019/05/21,1
BIF,2019/05/17,1
VGR,2019/05/02,1
TOT,2019/04/25,1
PGR,2019/04/18,1
SWKS,2019/04/17,1
APC,2019/04/15,1
FCNTX,2019/03/22,1
FLMVX,2019/03/22,1
PRNHX,2019/03/22,1
KDP,2019/03/22,1
AAGIY,2019/03/11,1
EADSY,2019/03/11,1
ESLOY,2019/03/11,1
SAFRY,2019/03/11,1
NPSNY,2019/03/11,1
ATVI,2019/03/11,1
XSLV,2019/03/08,1
WGP,2019/02/27,1
WW,2019/02/27,1
CHTR,2019/02/19,1
ZAYO,2019/02/19,1
TNTOF,2019/01/31,1
AX,2019/01/28,1
MKC,2019/01/10,1
ILMN,2018/12/28,1
SQ,2018/12/28,1
GFAFX,2018/12/21,1
ACA,2018/12/20,1
MALOX,2018/12/19,1
ET,2018/12/19,1
DVA,2018/12/06,1
LM09.SG,2018/12/06,1
BWXT,2018/12/06,1
REZI,2018/12/03,1
AET,2018/11/29,1
SHECY,2018/11/13,1
LGF-B,2018/11/09,1
AON,2018/10/31,1
LIN,2018/10/31,1
MSTY.PA,2018/10/29,1
ALB,2018/10/17,1
IWF,2018/10/02,1
WAB,2018/09/27,1
TBT,2018/09/14,1
WES,2018/09/14,1
MU,2018/09/11,1
BKNG,2018/08/16,1
INTU,2018/08/16,1
CAPL,2018/08/09,1
BBT,2018/08/01,1
IIN,2018/07/26,1
LEA,2018/06/28,1
APTV,2018/06/28,1
BOIVF,2018/06/26,1
LNG,2018/06/21,1
STZ,2018/06/18,1
ON,2018/06/13,1
TCMD,2018/06/01,1
CRMT,2018/05/21,1
SHW,2018/05/21,1
LH,2018/05/03,1
DFS,2018/05/03,1
BAM,2018/05/03,1
AL,2018/04/24,1
CLB,2018/04/24,1
IYE,2018/04/24,1
VGK,2018/04/24,1
FDS,2018/04/24,1
IBM.MX,2018/04/24,1
LULU,2018/04/24,1
BOX,2018/04/23,1
GDV,2018/04/23,1
ES,2018/04/05,1
PII,2018/04/05,1
UBSI,2018/04/05,1
APD,2018/04/04,1
CGNT,2018/03/29,1
EQM,2018/03/15,1
RYT,2018/03/09,1
IQV,2018/03/09,1
PODD,2018/03/02,1
UHAL,2018/02/28,1
ICE,2018/02/27,1
XPO,2018/02/22,1
NTRP,2018/02/15,1
SHLX,2018/02/05,1
SUN,2018/01/31,1
KMX,2018/01/25,1
JETS,2018/01/24,1
CUTR,2018/01/16,1
UNFI,2018/01/11,1
ENTL,2018/01/05,1
RDS-A,2018/01/04,1
BBL,2017/12/21,1
GDDY,2017/12/20,1
ANDX,2017/11/29,1
REVB,2017/11/15,1
MAT,2017/11/13,1
HALO,2017/11/06,1
SOUHY,2017/11/01,1
LVLT,2017/11/01,1
EDIT,2017/10/19,1
NTLA,2017/10/19,1
CRSP,2017/10/19,1
ZIOP,2017/10/18,1
CC,2017/10/10,1
K,2017/09/27,1
HLT,2017/09/12,1
JKHY,2017/09/08,1
NPSND,2017/09/08,1
SMECF,2017/09/08,1
VTKLY,2017/09/08,1
SSDOY,2017/09/08,1
SGAPY,2017/09/08,1
HXL,2017/09/08,1
FANUY,2017/09/08,1
BNPQY,2017/09/08,1
RCL,2017/09/08,1
INCY,2017/09/08,1
AHKSY,2017/09/08,1
AZN,2017/09/08,1
ASML,2017/09/08,1
CABGY,2017/09/08,1
KYCCF,2017/09/08,1
MCO,2017/09/08,1
MRAAY,2017/09/08,1
LRLCY,2017/09/08,1
PDRDY,2017/09/08,1
RBGLY,2017/09/08,1
SFTBY,2017/09/08,1
NVO,2017/09/08,1
AVGO,2017/09/08,1
AXAHY,2017/09/05,1
BASFY,2017/09/05,1
CMPGY,2017/09/05,1
LVMUY,2017/09/05,1
TD,2017/09/05,1
SIEGY,2017/09/05,1
PM,2017/09/05,1
DD-PA,2017/09/01,1
DWDP,2017/09/01,1
RHI,2017/08/31,1
NPK,2017/08/31,1
HRL,2017/08/31,1
GLAD,2017/08/31,1
RMD,2017/08/31,1
PTMC,2017/08/31,1
PBA,2017/08/31,1
COHR,2017/08/30,1
BHF,2017/08/24,1
SCG,2017/08/22,1
PHLD,2017/08/03,1
AXTA,2017/08/03,1
WF,2017/08/01,1
TSLA,2017/07/28,1
DPS,2017/07/26,1
BTO,2017/07/25,1
HPQ,2017/07/25,1
CDLX,2017/07/18,1
ZNGA.SW,2017/07/14,1
MCC,2017/06/27,1
Q,2017/06/22,1
CZR,2017/06/21,1
INFY,2017/06/20,1
ST,2017/06/19,1
MDC,2017/06/15,1
PDM,2017/06/15,1
CFR,2017/06/15,1
TSM,2017/06/15,1
VTR,2017/06/15,1
FDC,2017/06/02,1
MGA,2017/05/30,1
BFAM,2017/05/30,1
VEVIX,2017/05/25,1
AME,2017/05/24,1
FLR,2017/05/17,1
AKAM,2017/05/16,1
URBN,2017/05/11,1
POT,2017/05/09,1
HBAN,2017/04/21,1
PTEN,2017/04/20,1
LB,2017/04/05,1
AGU,2017/04/04,1
ANCX,2017/04/04,1
FRT,2017/03/29,1
RGC,2017/03/28,1
TLLP,2017/03/24,1
TRP,2017/03/24,1
TSN,2017/03/21,1
FL,2017/03/16,1
DLPH,2017/03/16,1
CMA,2017/03/16,1
ETR,2017/03/16,1
GSK,2017/03/16,1
KAR,2017/03/16,1
MTB,2017/03/16,1
SABR,2017/03/16,1
SNY,2017/03/16,1
STI,2017/03/16,1
WRK,2017/03/16,1
DUK,2017/03/16,1
MS,2017/03/16,1
LYB,2017/03/16,1
EXC,2017/03/16,1
UN,2017/03/16,1
SU,2017/03/16,1
DOW,2017/03/16,1
DNKN,2017/03/16,1
ADI,2017/03/06,1
XBI,2017/03/06,1
CAG,2017/03/06,1
BRKB,2017/03/02,1
XEL,2017/02/22,1
YUMC,2017/02/17,1
XON,2017/02/16,1
CCI,2017/02/15,1
KSS,2017/02/15,1
AQFH,2017/02/01,1
LW,2017/01/30,1
CHKP,2017/01/26,1
NEE-PC,2017/01/25,1
IR,2017/01/25,1
TMUS,2017/01/24,1
WTW,2017/01/24,1
BIVV,2017/01/17,1
SPG,2017/01/04,1
VSAT,2016/12/22,1
UAA,2016/12/16,1
IAI,2016/12/14,1
OKS,2016/12/14,1
DVMT,2016/12/14,1
AWK,2016/12/01,1
TSCO,2016/12/01,1
HOLX,2016/12/01,1
WETF,2016/11/23,1
HACK,2016/11/23,1
XSD,2016/11/23,1
ISRG,2016/11/23,1
RAI,2016/11/17,1
SCCO,2016/11/14,1
JWN,2016/11/14,1
NOC,2016/11/14,1
VIAB,2016/11/07,1
VSM,2016/11/07,1
GWW,2016/10/31,1
TROW,2016/10/31,1
HSBC,2016/10/26,1
TEVA,2016/10/19,1
ASIX,2016/10/03,1
MAR,2016/09/26,1
USB,2016/09/23,1
ENB,2016/09/21,1
BUNT,2016/09/20,1
PEY,2016/09/13,1
GEL,2016/09/13,1
TMO,2016/09/12,1
SYK,2016/09/08,1
RYAAY,2016/08/18,1
EXR,2016/08/16,1
TMK,2016/08/01,1
ENTG,2016/07/27,1
ZBH,2016/07/25,1
AGN,2016/07/21,1
BBU,2016/07/12,1
FTV,2016/07/12,1
UA-C,2016/06/28,1
BRK-B,2016/06/24,1
SHPG,2016/06/13,1
HDS,2016/06/10,1
WTR,2016/06/07,1
PSA,2016/06/07,1
BIN,2016/06/01,1
CPGX,2016/05/24,1
CERN,2016/05/18,1
DEO,2016/05/18,1
SYY.SG,2016/05/11,1
FE,2016/05/05,1
XER.BE,2016/05/04,1
MTUM,2016/05/02,1
IRET,2016/04/27,1
MPLX,2016/04/22,1
DPM,2016/04/21,1
TRGP,2016/04/20,1
SJM,2016/04/19,1
BDX,2016/04/19,1
GD,2016/04/19,1
PAYX,2016/04/19,1
WBA,2016/04/19,1
VMW,2016/04/19,1
TM,2016/03/31,1
CTL,2016/03/31,1
EV,2016/03/31,1
NVS,2016/03/31,1
NSC,2016/03/31,1
SO,2016/03/31,1
RDS-B,2016/03/31,1
BLK,2016/03/31,1
MMP,2016/03/30,1
YACKX,2016/03/29,1
RRC,2016/03/24,1
NFX,2016/03/24,1
SWN,2016/03/04,1
NCR,2016/03/03,1
USG,2016/03/02,1
CAB,2016/03/01,1
FDX,2016/02/29,1
MA,2016/02/25,1
SYF,2016/02/24,1
ETP,2016/02/22,1
ADT.F,2016/02/16,1
CHRW,2016/02/16,1
KEY,2016/02/10,1
ADT,2016/02/02,1
NUE,2016/01/26,1
WPC,2016/01/26,1
CB,2016/01/21,1
IONS,2016/01/20,1
WMB,2016/01/20,1
SPY160219P00180000,2016/01/19,1
WFM,2016/01/15,1
WLK,2016/01/15,1
AEX.MU,2016/01/14,1
LYV,2016/01/13,1
LMT,2016/01/06,1
NVDA,2016/01/06,1
GME,2016/01/05,1
LRCX,2015/12/22,1
^MWE,2015/12/04,1
IVZ,2015/09/10,1
CSX,2015/08/28,1
IHE,2015/08/27,1
GLW,2015/08/27,1
GAS,2015/08/25,1
AEE,2015/08/25,1
CHK,2015/08/24,1
RSPP,2015/08/24,1
KMI,2015/08/24,1
RL,2015/08/13,1
JCI,2015/08/13,1
ARW,2015/08/12,1
DISCK,2015/08/07,1
VLP,2015/08/04,1
BAX,2015/08/04,1
LQDT,2015/07/28,1
GPK,2015/07/28,1
NWN,2015/07/21,1
PYPL,2015/07/21,1
PKI,2015/07/17,1
NBL,2015/07/16,1
FANG,2015/07/15,1
AFTEX,2015/07/15,1
SBUX.SW,2015/07/13,1
MGEMX,2015/07/09,1
ACSDX,2015/07/09,1
VSMIX,2015/07/09,1
VMIIX,2015/07/09,1
WSTMX,2015/07/09,1
VADDX,2015/07/09,1
MSACX,2015/07/09,1
ITC,2015/07/09,1
PCLN,2015/07/09,1
KHC,2015/07/06,1
AMG,2015/06/30,1
CVG,2015/06/24,1
NGIPX,2015/06/22,1
CVC,2015/06/19,1
STAG,2015/06/16,1
ANTM,2015/06/11,1
LSCC,2015/06/04,1
CLR,2015/06/04,1
BUNT-RP,2015/06/03,1
DISCA,2015/05/29,1
MRK,2015/05/27,1
PAA,2015/05/22,1
RF,2015/05/20,1
CL,2015/05/20,1
AXLL,2015/05/15,1
TAP,2015/05/14,1
PFE,2015/05/14,1
VRTX,2015/05/13,1
CMCSK,2015/05/12,1
FOX,2015/05/12,1
SLY,2015/05/11,1
IBKC,2015/05/06,1
SYY,2015/05/06,1
TBF,2015/05/04,1
^RGP,2015/05/01,1
KN,2015/04/24,1
MOS,2015/04/15,1
DTE,2015/04/14,1
KRFT,2015/04/14,1
MCD,2015/04/14,1
HD,2015/04/07,1
ACN,2015/04/06,1
AVP,2015/04/02,1
WPX,2015/03/27,1
MDU,2015/03/20,1
HSY,2015/03/20,1
BK,2015/03/19,1
PRPFX,2015/03/18,1
XLS-WI,2015/03/16,1
ETE,2015/03/13,1
CIT,2015/03/12,1
ETY,2015/03/06,1
NGLS,2015/03/04,1
AMAT,2015/03/03,1
SMEZ,2015/02/24,1
LLTC,2015/02/24,1
UA,2015/02/20,1
KMB,2015/02/20,1
AYI,2015/02/20,1
IYT,2015/02/20,1
MYL,2015/02/20,1
CBS,2015/02/20,1
HAL,2015/02/20,1
MMM,2015/02/20,1
WPZ,2015/02/19,1
AAON,2015/02/13,1
AAT,2015/02/13,1
ABCO,2015/02/13,1
AFSI,2015/02/13,1
AKRX,2015/02/13,1
ALE,2015/02/13,1
AMSG,2015/02/13,1
ATRO,2015/02/13,1
BCPC,2015/02/13,1
BECN,2015/02/13,1
CASY,2015/02/13,1
CHEF,2015/02/13,1
CLC,2015/02/13,1
CMN,2015/02/13,1
CRZO,2015/02/13,1
CTCT,2015/02/13,1
CTRL,2015/02/13,1
CVLT,2015/02/13,1
CYBX,2015/02/13,1
DFRG,2015/02/13,1
DIOD,2015/02/13,1
DRQ,2015/02/13,1
EGBN,2015/02/13,1
EPAY,2015/02/13,1
EVR,2015/02/13,1
FET,2015/02/13,1
FMBI,2015/02/13,1
FNGN,2015/02/13,1
GMED,2015/02/13,1
HCSG,2015/02/13,1
HEI,2015/02/13,1
HF,2015/02/13,1
HLX,2015/02/13,1
IART,2015/02/13,1
HUBG,2015/02/13,1
ICON,2015/02/13,1
ICUI,2015/02/13,1
IPCM,2015/02/13,1
JJSF,2015/02/13,1
KWR,2015/02/13,1
LL,2015/02/13,1
LOCK,2015/02/13,1
LSTR,2015/02/13,1
MASI,2015/02/13,1
MDCA,2015/02/13,1
MFRM,2015/02/13,1
MG,2015/02/13,1
MNRO,2015/02/13,1
NSR,2015/02/13,1
OMCL,2015/02/13,1
PBH,2015/02/13,1
PEB,2015/02/13,1
PLKI,2015/02/13,1
PLT,2015/02/13,1
POWI,2015/02/13,1
PRA,2015/02/13,1
PRAA,2015/02/13,1
PRIM,2015/02/13,1
PRLB,2015/02/13,1
RAVN,2015/02/13,1
RBA,2015/02/13,1
ROLL,2015/02/13,1
RRTS,2015/02/13,1
SGY,2015/02/13,1
SHOO,2015/02/13,1
SIGI,2015/02/13,1
SMTC,2015/02/13,1
SPSC,2015/02/13,1
SQI,2015/02/13,1
SSB,2015/02/13,1
SWI,2015/02/13,1
SXT,2015/02/13,1
TCBI,2015/02/13,1
TECH,2015/02/13,1
THRM,2015/02/13,1
THS,2015/02/13,1
TNGO,2015/02/13,1
TTC,2015/02/13,1
TUMI,2015/02/13,1
TXRH,2015/02/13,1
TYPE,2015/02/13,1
VSI,2015/02/13,1
WAGE,2015/02/13,1
OFC,2015/02/13,1
CGNX,2015/02/13,1
BERY,2015/02/13,1
BIO,2015/02/13,1
