sector,transaction_date,number_of_transactions
TTD,2021/11/08,1
GPN,2021/11/08,1
ULTA,2021/11/08,1
HTLD,2021/11/04,1
H,2021/11/03,1
HLIO,2021/11/03,1
SCCO,2021/11/02,1
ARKG,2021/11/02,1
BTEC,2021/11/02,1
SRLN,2021/11/02,1
DELL,2021/11/01,1
EWBC,2021/10/28,1
MSB,2021/10/28,1
RMD,2021/10/26,1
APAM,2021/10/26,1
RBLX,2021/10/26,1
SCU,2021/10/25,1
MFYV,2021/10/25,1
DWAC,2021/10/25,1
ADA-USD,2021/10/23,1
SNOW,2021/10/22,1
DAWC,2021/10/22,1
X,2021/10/21,1
KPLT,2021/10/21,1
FMAT,2021/10/20,1
BBH,2021/10/20,1
JAZZ,2021/10/19,1
CALX,2021/10/18,1
AA,2021/10/18,1
GE,2021/10/18,1
UAA,2021/10/18,1
BDX,2021/10/18,1
GD,2021/10/18,1
SPG,2021/10/15,1
GRNC,2021/10/15,1
ROAD,2021/10/14,1
LCID,2021/10/13,1
VIASP,2021/10/08,1
DUKH,2021/10/07,1
OLP,2021/10/07,1
TIP,2021/10/07,1
DIAL,2021/10/06,1
MUB,2021/10/06,1
PI,2021/10/04,1
GPS,2021/10/01,1
TELL,2021/10/01,1
MPWR,2021/09/30,1
KEYS,2021/09/30,1
KLAC,2021/09/30,1
INTU,2021/09/30,1
EL,2021/09/30,1
EXP,2021/09/30,1
CTAS,2021/09/30,1
CABO,2021/09/30,1
BKE,2021/09/30,1
ALLE,2021/09/30,1
APD,2021/09/30,1
BCE,2021/09/30,1
MDNDF,2021/09/30,1
WAL,2021/09/29,1
MMM,2021/09/29,1
DECK,2021/09/29,1
CLX,2021/09/29,1
CHE,2021/09/29,1
BHP,2021/09/29,1
ATHM,2021/09/29,1
AME,2021/09/29,1
GCGMF,2021/09/28,1
ORCC,2021/09/28,1
NRDY,2021/09/27,1
UHG,2021/09/27,1
TRGIX,2021/09/22,1
BSIXX,2021/09/22,1
LRNZ,2021/09/20,1
WCLD,2021/09/20,1
PEJ,2021/09/17,1
FSKAX,2021/09/17,1
FEPAX,2021/09/17,1
BROS,2021/09/15,1
AVYA,2021/09/15,1
AMJ,2021/09/14,1
MDY,2021/09/14,1
NULC,2021/09/14,1
ILPT,2021/09/10,1
HP,2021/09/09,1
PONPX,2021/09/09,1
WYNN,2021/09/07,1
R,2021/09/07,1
J,2021/09/03,1
SEK,2021/09/02,1
PGX,2021/09/02,1
ALb,2021/08/31,1
MCHP,2021/08/30,1
RARE,2021/08/30,1
LDOS,2021/08/25,1
LMRK,2021/08/23,1
OWLSX,2021/08/23,1
FOUR,2021/08/20,1
VSCO,2021/08/20,1
WMC,2021/08/17,1
BLDr,2021/08/17,1
BTC,2021/08/16,1
AAPl,2021/08/13,1
CHWY,2021/08/13,1
SSBK,2021/08/12,1
WW,2021/08/11,1
APCD,2021/08/11,1
BXMT,2021/08/09,1
CS,2021/08/09,1
WBK,2021/08/09,1
ARE,2021/08/04,1
COR,2021/08/04,1
CNA,2021/08/02,1
BIAWX,2021/08/02,1
GXO,2021/08/02,1
PINS,2021/07/30,1
COIN,2021/07/30,1
FHLC,2021/07/30,1
JEPI,2021/07/30,1
LCGFX,2021/07/29,1
SGIIX,2021/07/29,1
SNAP,2021/07/27,1
HOn,2021/07/27,1
ORAN,2021/07/27,1
RDSA,2021/07/26,1
IBM,2021/07/26,1
C,2021/07/26,1
IJS,2021/07/26,1
IVV,2021/07/26,1
ABYIX,2021/07/26,1
CFA,2021/07/26,1
GLD,2021/07/26,1
FDN,2021/07/26,1
LUBFX,2021/07/26,1
DGRS,2021/07/26,1
GBIL,2021/07/26,1
FINX,2021/07/26,1
NXTG,2021/07/26,1
FIMKX,2021/07/26,1
GEMIX,2021/07/26,1
FCPIX,2021/07/26,1
INRE,2021/07/26,1
PYCR,2021/07/23,1
QTS,2021/07/23,1
MBB,2021/07/22,1
IGLB,2021/07/22,1
IEMG,2021/07/22,1
EMXC,2021/07/22,1
IBDP,2021/07/22,1
IBTD,2021/07/22,1
MDYG,2021/07/22,1
MDYV,2021/07/22,1
MRNA,2021/07/22,1
O,2021/07/21,1
CISIX,2021/07/20,1
FSEN,2021/07/20,1
FORD,2021/07/19,1
SPXC,2021/07/19,1
CRWD,2021/07/16,1
NWL,2021/07/16,1
PEGA,2021/07/16,1
XLY,2021/07/16,1
MTUM,2021/07/16,1
SQ,2021/07/16,1
DTD,2021/07/16,1
VXX,2021/07/12,1
USDP,2021/07/09,1
JCI,2021/07/08,1
FAST,2021/07/08,1
KRE,2021/07/08,1
AESE,2021/07/07,1
FBALX,2021/07/06,1
FDRXX,2021/07/06,1
NVCR,2021/07/02,1
MRIN,2021/07/02,1
AMZA,2021/07/01,1
DTM,2021/07/01,1
ETV,2021/07/01,1
FQAL,2021/07/01,1
BNS,2021/06/30,1
HNDL,2021/06/30,1
AQB,2021/06/29,1
OGN,2021/06/28,1
COMM,2021/06/28,1
TNL,2021/06/28,1
ASXC,2021/06/25,1
PHX,2021/06/25,1
MTDR,2021/06/24,1
CCC,2021/06/21,1
LITE,2021/06/21,1
VICI,2021/06/21,1
BP PLC,2021/06/21,1
PLTR,2021/06/18,1
CWK,2021/06/17,1
GBTC,2021/06/15,1
ETSY,2021/06/15,1
PNGAY,2021/06/15,1
ALFY,2021/06/15,1
ETHE,2021/06/14,1
BAFWX,2021/06/14,1
ESGD,2021/06/14,1
NUGL,2021/06/14,1
BTC-USD,2021/06/14,1
SKIN,2021/06/11,1
FTTGLX,2021/06/11,1
VRSN,2021/06/10,1
ALIZY,2021/06/10,1
NRG,2021/06/10,1
CWH,2021/06/10,1
ELAN,2021/06/10,1
WHR,2021/06/10,1
LCRX,2021/06/09,1
ATRC,2021/06/08,1
BOOT,2021/06/08,1
SF,2021/06/08,1
VMCXX,2021/06/07,1
SONY,2021/06/04,1
NOK,2021/06/03,1
EXAS,2021/06/03,1
SPGI,2021/06/03,1
CWGIX,2021/06/03,1
AIVSX,2021/06/03,1
ANWPX,2021/06/03,1
NEWFX,2021/06/03,1
IT,2021/06/01,1
LEG,2021/05/28,1
PBFX,2021/05/27,1
PRGS,2021/05/26,1
PTC,2021/05/26,1
FFG,2021/05/26,1
AAl,2021/05/26,1
STM,2021/05/25,1
NVVE,2021/05/25,1
NGL,2021/05/20,1
MTBC,2021/05/20,1
FEDX,2021/05/20,1
VTRA,2021/05/20,1
ETC-USD,2021/05/20,1
CMG,2021/05/19,1
CO,2021/05/19,1
FDSWX,2021/05/18,1
ICLR,2021/05/18,1
VUZI,2021/05/18,1
LUV,2021/05/18,1
FL4.SG,2021/05/17,1
LDNXF,2021/05/17,1
ALK,2021/05/17,1
VUL.V,2021/05/17,1
NULV,2021/05/17,1
CFJIX,2021/05/17,1
GOOC.VI,2021/05/14,1
ICSH,2021/05/12,1
BAT-USD,2021/05/12,1
CELO-USD,2021/05/12,1
XLM-USD,2021/05/12,1
FVRR,2021/05/11,1
DOGE-USD,2021/05/11,1
HNST,2021/05/11,1
QRTEA,2021/05/10,1
GLP,2021/05/07,1
FNV,2021/05/06,1
USAC,2021/05/05,1
PTON,2021/05/04,1
ENBL,2021/05/03,1
IVW,2021/05/03,1
STXAX,2021/05/03,1
LINK-USD,2021/04/28,1
JOE,2021/04/27,1
BRP,2021/04/27,1
LTD,2021/04/26,1
SAIC,2021/04/26,1
TDC,2021/04/26,1
YTRA,2021/04/23,1
GSS,2021/04/23,1
ORMP,2021/04/23,1
VMN,2021/04/23,1
IWM,2021/04/22,1
EWU,2021/04/22,1
SLYG,2021/04/22,1
VNQ,2021/04/22,1
NTRA,2021/04/20,1
GFN,2021/04/20,1
PCRX,2021/04/20,1
EMKR,2021/04/19,1
BBGLX,2021/04/19,1
AMAT,2021/04/16,1
