sector,transaction_date,number_of_transactions
TLRY,2020/11/06,1
PLD,2020/11/05,1
LOW,2020/11/05,1
AMGN,2020/11/05,1
BEEM,2020/11/05,1
VAW,2020/11/05,1
GWPH,2020/11/05,1
EXPD,2020/11/04,1
CW,2020/11/04,1
PRAH,2020/11/04,1
ACM,2020/11/04,1
RCI,2020/11/03,1
SBCF,2020/11/03,1
SYNH,2020/11/03,1
IJR,2020/10/30,1
REYN,2020/10/30,1
APEN,2020/10/30,1
ABCB,2020/10/29,1
ROG,2020/10/29,1
QYLD,2020/10/29,1
GWRE,2020/10/28,1
ENPH,2020/10/28,1
CSIQ,2020/10/28,1
VGPBF,2020/10/26,1
JFAMX,2020/10/26,1
SLGN,2020/10/22,1
CVNA,2020/10/22,1
SLV,2020/10/22,1
XHB,2020/10/22,1
XLB,2020/10/22,1
XLK,2020/10/22,1
XLC,2020/10/22,1
INVH,2020/10/22,1
SKX,2020/10/22,1
BBNTX,2020/10/21,1
SCZ,2020/10/20,1
GISYX,2020/10/20,1
XYL,2020/10/19,1
WDAY,2020/10/16,1
FCGAX,2020/10/16,1
FNGZX,2020/10/16,1
FLCO,2020/10/16,1
FLCB,2020/10/16,1
FLQL,2020/10/16,1
FSSAX,2020/10/16,1
FVADX,2020/10/16,1
GCIIX,2020/10/16,1
GOVT,2020/10/16,1
OMBIX,2020/10/16,1
LSFYX,2020/10/16,1
PIMIX,2020/10/16,1
SPTM,2020/10/16,1
TBCIX,2020/10/16,1
TDADX,2020/10/16,1
BMRN,2020/10/16,1
CATY,2020/10/16,1
LYFT,2020/10/16,1
EBSB,2020/10/16,1
SKYY,2020/10/16,1
DORM,2020/10/15,1
ARKK,2020/10/14,1
BBY,2020/10/13,1
NVAX,2020/10/13,1
AMED,2020/10/13,1
ANSS,2020/10/13,1
CSGP,2020/10/13,1
LOPE,2020/10/13,1
LII,2020/10/13,1
NEOG,2020/10/13,1
PAYC,2020/10/13,1
PCTY,2020/10/13,1
ROL,2020/10/13,1
TDOC,2020/10/13,1
VRSK,2020/10/13,1
WSTL,2020/10/13,1
PSMMY,2020/10/13,1
FTV,2020/10/09,1
EDU,2020/10/09,1
MALRX,2020/10/09,1
BTZ,2020/10/09,1
DSU,2020/10/09,1
MADCX,2020/10/09,1
MAYHX,2020/10/09,1
MANLX,2020/10/09,1
BGSIX,2020/10/09,1
EVV,2020/10/09,1
DIV,2020/10/09,1
GSMTX,2020/10/09,1
HGIIX,2020/10/09,1
TLT,2020/10/09,1
IEF,2020/10/09,1
ESGU,2020/10/09,1
EFG,2020/10/09,1
USMV,2020/10/09,1
VLUE,2020/10/09,1
IHI,2020/10/09,1
NTDOY,2020/10/09,1
PMUPX,2020/10/09,1
RNSIX,2020/10/09,1
VTI,2020/10/09,1
PUTW,2020/10/09,1
XSOE,2020/10/09,1
CDAY,2020/10/07,1
ETFC,2020/10/02,1
PBF,2020/10/01,1
BREW,2020/10/01,1
OWCIX,2020/10/01,1
TT,2020/09/30,1
MNTA,2020/09/25,1
AVLR,2020/09/24,1
ATO,2020/09/23,1
ED,2020/09/23,1
ATOAX,2020/09/22,1
SVCBY,2020/09/22,1
DNB,2020/09/18,1
GFL,2020/09/18,1
SRLP,2020/09/16,1
UDR,2020/09/16,1
OWSMX,2020/09/15,1
ECOL,2020/09/15,1
POST,2020/09/11,1
KTOS,2020/09/08,1
ACAD,2020/09/08,1
BAND,2020/09/08,1
INO,2020/09/08,1
SNX,2020/09/08,1
TGTX,2020/09/08,1
ANY,2020/09/04,1
LAND,2020/09/02,1
MTSI,2020/09/02,1
BATRA,2020/09/01,1
FWONK,2020/09/01,1
AMWD,2020/08/27,1
FTA,2020/08/27,1
IRBT,2020/08/26,1
RUSHA,2020/08/26,1
MYE,2020/08/25,1
TXN,2020/08/21,1
ALL,2020/08/21,1
RDS-B,2020/08/21,1
MPC,2020/08/21,1
PXD,2020/08/19,1
COP,2020/08/18,1
DHI,2020/08/18,1
PSA,2020/08/14,1
DOX,2020/08/14,1
HAE,2020/08/14,1
BURL,2020/08/13,1
SKVKY,2020/08/12,1
KMPR,2020/08/11,1
POR,2020/08/11,1
ANET,2020/08/10,1
HWM,2020/08/10,1
DGRO,2020/08/10,1
CWB,2020/08/10,1
BE,2020/08/10,1
KWEB,2020/08/07,1
BAC$K,2020/08/07,1
BNDX,2020/08/07,1
COUP,2020/08/05,1
EBJ,2020/08/04,1
MAR,2020/08/03,1
VAC,2020/08/03,1
AAL,2020/07/31,1
OSK,2020/07/30,1
AVNT,2020/07/30,1
NWE,2020/07/30,1
NLOK,2020/07/29,1
TOL,2020/07/29,1
SIL,2020/07/28,1
SYPR,2020/07/28,1
OLED,2020/07/28,1
FIVE,2020/07/28,1
IAC,2020/07/28,1
RAND,2020/07/28,1
BTI,2020/07/28,1
SPKE,2020/07/28,1
CIEN,2020/07/24,1
WSO,2020/07/24,1
ACI,2020/07/23,1
RSG,2020/07/23,1
BIPC,2020/07/23,1
WDFC,2020/07/22,1
AMN,2020/07/22,1
TME,2020/07/21,1
RXN,2020/07/21,1
NKLA,2020/07/20,1
HUYA,2020/07/20,1
TMUSR,2020/07/17,1
STOR,2020/07/16,1
TROW,2020/07/15,1
NMIH,2020/07/15,1
MSBHY,2020/07/15,1
CAT,2020/07/13,1
CCXX,2020/07/13,1
DUSA,2020/07/13,1
ARCC,2020/07/09,1
LMT,2020/07/09,1
FXI,2020/07/09,1
AXS,2020/07/09,1
MPW,2020/07/09,1
GLAD,2020/07/09,1
HASI,2020/07/09,1
MBXIX,2020/07/09,1
AY,2020/07/09,1
LHX,2020/07/09,1
APO,2020/07/09,1
TSN,2020/07/09,1
GGT,2020/07/08,1
NBLX,2020/07/08,1
DLS,2020/07/07,1
GDXJ,2020/07/07,1
TRIP,2020/07/07,1
GMLP,2020/07/07,1
MMLP,2020/07/07,1
SMLP,2020/07/07,1
TGT,2020/07/06,1
NOC,2020/07/02,1
SPOT,2020/07/02,1
RGLD,2020/07/02,1
AROC,2020/07/02,1
GLOP,2020/07/02,1
SPH,2020/07/02,1
STAY,2020/06/30,1
PGNY,2020/06/30,1
BAM,2020/06/29,1
CXW,2020/06/29,1
SFST,2020/06/29,1
APPL,2020/06/26,1
THR,2020/06/26,1
IEFA,2020/06/26,1
CATM,2020/06/24,1
WK,2020/06/24,1
TWNK,2020/06/24,1
VRNT,2020/06/24,1
ESI,2020/06/23,1
LTHM,2020/06/23,1
MRCK,2020/06/23,1
RF$A,2020/06/22,1
VALE,2020/06/22,1
CELC,2020/06/22,1
OWSOX,2020/06/18,1
BDC,2020/06/15,1
STWD,2020/06/15,1
PRWCX,2020/06/12,1
TFFP,2020/06/11,1
INFR,2020/06/10,1
EFV,2020/06/09,1
ISD,2020/06/09,1
VV,2020/06/09,1
KBE,2020/06/08,1
PK,2020/06/05,1
VMC,2020/06/04,1
BDN,2020/06/03,1
NVIGF,2020/06/03,1
BERY,2020/06/02,1
PFGC,2020/05/27,1
PHM,2020/05/27,1
ENLAY,2020/05/27,1
JPM$G,2020/05/26,1
PRJAX,2020/05/21,1
SSNC,2020/05/19,1
ITOT,2020/05/19,1
CNP,2020/05/13,1
FLS,2020/05/13,1
L,2020/05/13,1
FHN,2020/05/11,1
PEAK,2020/05/11,1
HZD,2020/05/11,1
EVH,2020/05/11,1
IAU,2020/05/08,1
IBKR,2020/05/08,1
MORN,2020/05/08,1
BLL,2020/05/07,1
BRY,2020/05/07,1
SERV,2020/05/07,1
LEN.B,2020/05/07,1
WTFC,2020/05/06,1
QSR,2020/05/05,1
MCD,2020/05/05,1
DPZ,2020/05/05,1
MFC,2020/05/05,1
YETI,2020/05/04,1
ONTO,2020/04/30,1
TDDXX,2020/04/29,1
EFX,2020/04/28,1
LBDAV,2020/04/28,1
SIRI,2020/04/28,1
DAIUF,2020/04/28,1
FANUF,2020/04/28,1
LVMHF,2020/04/28,1
TRNO,2020/04/28,1
ARMK,2020/04/27,1
ENR,2020/04/27,1
WTRG,2020/04/27,1
FMC,2020/04/27,1
GH,2020/04/27,1
SPLK,2020/04/27,1
BLUE,2020/04/27,1
BR,2020/04/27,1
FLIR,2020/04/27,1
MARA,2020/04/27,1
ASGN,2020/04/24,1
LSXMK,2020/04/23,1
FBGRX,2020/04/18,1
FTQGX,2020/04/18,1
FLVEX,2020/04/18,1
FBMPX,2020/04/18,1
FSCPX,2020/04/18,1
FIDSX,2020/04/18,1
FSPHX,2020/04/18,1
FCYIX,2020/04/18,1
FSPTX,2020/04/18,1
MAA,2020/04/17,1
RQI,2020/04/17,1
IDV,2020/04/16,1
SPY,2020/04/16,1
VEA,2020/04/16,1
VOO,2020/04/16,1
CAIFX,2020/04/16,1
FRIAX,2020/04/16,1
AMLP,2020/04/16,1
BP,2020/04/16,1
AFL,2020/04/16,1
TFC,2020/04/16,1
SOJA,2020/04/16,1
URI,2020/04/16,1
SO,2020/04/16,1
LLY,2020/04/16,1
PM,2020/04/16,1
NSC,2020/04/16,1
PAGP,2020/04/15,1
PSXP,2020/04/15,1
SUN,2020/04/15,1
TCP,2020/04/15,1
LNG,2020/04/15,1
MMP,2020/04/15,1
OKE,2020/04/15,1
PAA,2020/04/15,1
SHLX,2020/04/15,1
TRGP,2020/04/15,1
MPLX,2020/04/15,1
ET,2020/04/15,1
LGF-B,2020/04/14,1
GPK,2020/04/14,1
DVN,2020/04/14,1
ALB,2020/04/14,1
URBN,2020/04/14,1
AXTA,2020/04/14,1
VIAC,2020/04/14,1
RF,2020/04/14,1
WPX,2020/04/14,1
NWSA,2020/04/14,1
NKE,2020/04/14,1
ANTM,2020/04/14,1
EXR,2020/04/14,1
BAX,2020/04/14,1
SYK,2020/04/14,1
FOX,2020/04/14,1
ACA,2020/04/14,1
MDLZ,2020/04/14,1
BOIVF,2020/04/14,1
RL,2020/04/14,1
UHAL,2020/04/14,1
KMI,2020/04/14,1
HCA,2020/04/14,1
M,2020/04/14,1
SU,2020/04/14,1
FHB,2020/04/14,1
BKNG,2020/04/14,1
FOXA,2020/04/14,1
HUN,2020/04/14,1
NWS,2020/04/14,1
UN,2020/04/14,1
MSM,2020/04/14,1
EAF,2020/04/14,1
PNQI,2020/04/14,1
KHC,2020/04/14,1
HIG,2020/04/14,1
DFS,2020/04/14,1
UTX,2020/04/14,1
K,2020/04/14,1
GS,2020/04/14,1
AIG,2020/04/14,1
AGN,2020/04/14,1
ENGIY,2020/04/14,1
EQM,2020/04/13,1
TEX,2020/04/13,1
CVI,2020/04/13,1
FSD,2020/04/13,1
AMP,2020/04/09,1
DOV,2020/04/08,1
CEQP,2020/04/07,1
AGCO,2020/04/07,1
CTXS,2020/04/07,1
SAP,2020/04/07,1
DOCU,2020/04/07,1
JD,2020/04/07,1
KEY,2020/04/07,1
WDC,2020/04/07,1
UL,2020/04/07,1
TRV,2020/04/07,1
PGR,2020/04/07,1
PANW,2020/04/07,1
NNVC,2020/04/07,1
GLNCY,2020/04/07,1
CR,2020/04/07,1
CAH,2020/04/07,1
AIZ,2020/04/07,1
ADM,2020/04/07,1
ABT,2020/04/07,1
HELE,2020/04/07,1
IPHI,2020/04/07,1
VTR,2020/04/07,1
FND,2020/04/07,1
GLIBA,2020/04/07,1
ENB,2020/04/06,1
TRP,2020/04/06,1
GRUB,2020/04/06,1
AIMC,2020/04/06,1
ORCL,2020/04/03,1
AVTR,2020/04/03,1
CHDN,2020/04/03,1
PLNT,2020/04/03,1
AMCX,2020/04/03,1
LGND,2020/04/03,1
GEM,2020/04/02,1
CIBR,2020/04/02,1
QTEC,2020/04/02,1
IAT,2020/04/02,1
QLEIX,2020/04/02,1
OAYIX,2020/04/02,1
FPL,2020/04/02,1
BOTZ,2020/04/02,1
IWN,2020/04/02,1
DRI,2020/04/02,1
IWD,2020/04/02,1
PKG,2020/04/02,1
MET,2020/04/02,1
KNX,2020/04/02,1
NVO,2020/04/02,1
UPLD,2020/04/02,1
HCN,2020/04/02,1
MU,2020/04/01,1
ALLY,2020/04/01,1
HAYN,2020/04/01,1
AIR,2020/03/31,1
ALGT,2020/03/31,1
EXLS,2020/03/31,1
GBCI,2020/03/31,1
ICFI,2020/03/31,1
IDA,2020/03/31,1
LAD,2020/03/31,1
NHI,2020/03/31,1
DSGX,2020/03/31,1
WBS,2020/03/31,1
UNF,2020/03/31,1
HPP,2020/03/30,1
MNST,2020/03/27,1
FEI,2020/03/26,1
UAL,2020/03/26,1
ADYEY,2020/03/26,1
VONE,2020/03/26,1
HTZ,2020/03/26,1
CHV,2020/03/26,1
CIM,2020/03/25,1
VOD,2020/03/24,1
CNC,2020/03/24,1
SCI,2020/03/24,1
BYD,2020/03/23,1
GOOS,2020/03/23,1
CINF,2020/03/23,1
HTA,2020/03/23,1
LAMR,2020/03/23,1
NNN,2020/03/23,1
AVT,2020/03/20,1
BVALX,2020/03/20,1
BG,2020/03/19,1
ELUXY,2020/03/19,1
ATASY,2020/03/19,1
CRRFY,2020/03/19,1
PPRUY,2020/03/19,1
MDIBY,2020/03/19,1
PUBGY,2020/03/19,1
RNLSY,2020/03/19,1
SCGLY,2020/03/19,1
SZEVY,2020/03/19,1
TIIAY,2020/03/19,1
TEZNY,2020/03/19,1
CDLX,2020/03/18,1
CBRE,2020/03/18,1
WH,2020/03/18,1
BXP,2020/03/18,1
CPRI,2020/03/18,1
CF,2020/03/18,1
COTY,2020/03/18,1
FLEX,2020/03/18,1
HRB,2020/03/18,1
HOG,2020/03/18,1
HPE,2020/03/18,1
HST,2020/03/18,1
JEF,2020/03/18,1
KIM,2020/03/18,1
LEN,2020/03/18,1
MGM,2020/03/18,1
NATI,2020/03/18,1
PFG,2020/03/18,1
PEG,2020/03/18,1
PVH,2020/03/18,1
PWR,2020/03/18,1
SLG,2020/03/18,1
TTWO,2020/03/18,1
AMTD,2020/03/18,1
UHS,2020/03/18,1
UNM,2020/03/18,1
VC,2020/03/18,1
VNO,2020/03/18,1
WELL,2020/03/18,1
AMKBY,2020/03/18,1
AAVMY,2020/03/18,1
AHEXY,2020/03/18,1
AGESY,2020/03/18,1
ALPMY,2020/03/18,1
ANZBY,2020/03/18,1
AVVIY,2020/03/18,1
BCS,2020/03/18,1
BHKLY,2020/03/18,1
BNTGY,2020/03/18,1
BTLCY,2020/03/18,1
BURBY,2020/03/18,1
CAJ,2020/03/18,1
CCLAY,2020/03/18,1
CRZBY,2020/03/18,1
CMWAY,2020/03/18,1
COVTY,2020/03/18,1
DWAHY,2020/03/18,1
DNKEY,2020/03/18,1
DNZOY,2020/03/18,1
DB,2020/03/18,1
DTCWY,2020/03/18,1
DSDVY,2020/03/18,1
ENGGY,2020/03/18,1
GEAGY,2020/03/18,1
HLUYY,2020/03/18,1
HVRRY,2020/03/18,1
HDELY,2020/03/18,1
HNNMY,2020/03/18,1
HXGBY,2020/03/18,1
IBDRY,2020/03/18,1
IMBBY,2020/03/18,1
ING,2020/03/18,1
IHG,2020/03/18,1
JSAIY,2020/03/18,1
JHX,2020/03/18,1
JAPSY,2020/03/18,1
JAPAY,2020/03/18,1
JBAXY,2020/03/18,1
KGFHY,2020/03/18,1
KNRRY,2020/03/18,1
VOPKY,2020/03/18,1
LYG,2020/03/18,1
LNSTY,2020/03/18,1
MZDAY,2020/03/18,1
MFGP,2020/03/18,1
MITEY,2020/03/18,1
MFG,2020/03/18,1
NTOIY,2020/03/18,1
NINOY,2020/03/18,1
NSANY,2020/03/18,1
NNGRY,2020/03/18,1
NRDBY,2020/03/18,1
DNNGY,2020/03/18,1
PDYPY,2020/03/18,1
PCRFY,2020/03/18,1
PANDY,2020/03/18,1
PSO,2020/03/18,1
PROSY,2020/03/18,1
RDEIY,2020/03/18,1
REPYY,2020/03/18,1
RBS,2020/03/18,1
KKPNY,2020/03/18,1
RWEOY,2020/03/18,1
SVNDY,2020/03/18,1
SMNNY,2020/03/18,1
SMMNY,2020/03/18,1
SXYAY,2020/03/18,1
SWGAY,2020/03/18,1
SWDBY,2020/03/18,1
SWMAY,2020/03/18,1
SWRAY,2020/03/18,1
TEF,2020/03/18,1
TLSNY,2020/03/18,1
TSCDY,2020/03/18,1
WFAFY,2020/03/18,1
WCAGY,2020/03/18,1
MRWSY,2020/03/18,1
TDG,2020/03/17,1
DXCM,2020/03/17,1
PODD,2020/03/17,1
LKQ,2020/03/17,1
NCLH,2020/03/17,1
SNP,2020/03/17,1
AVNS,2020/03/17,1
FTDR,2020/03/16,1
LEVI,2020/03/16,1
SPCE,2020/03/13,1
ILMN,2020/03/11,1
CGNX,2020/03/11,1
SIEGY,2020/03/11,1
GEL,2020/03/11,1
MHK,2020/03/11,1
VWO,2020/03/10,1
CGC,2020/03/10,1
MEOH,2020/03/10,1
GLOB,2020/03/10,1
JBT,2020/03/10,1
FMAO,2020/03/10,1
VFC,2020/03/09,1
AQUA,2020/03/06,1
RP,2020/03/06,1
NVEE,2020/03/06,1
DCI,2020/03/06,1
PHG,2020/03/05,1
NTRS,2020/03/05,1
TEAM,2020/03/04,1
ROST,2020/03/03,1
LULU,2020/03/03,1
OSW,2020/03/03,1
SNOXX,2020/03/03,1
CZR,2020/03/02,1
ENS,2020/03/02,1
NEO,2020/03/02,1
RDS.A,2020/03/02,1
TWST,2020/03/02,1
IR,2020/02/29,1
CME,2020/02/28,1
CHD,2020/02/28,1
AOS,2020/02/28,1
WCMIX,2020/02/27,1
QGEN,2020/02/27,1
BBBY,2020/02/27,1
FTSM,2020/02/27,1
ANIK,2020/02/27,1
AZO,2020/02/26,1
FDL,2020/02/26,1
COO,2020/02/25,1
MTN,2020/02/25,1
RBCAA,2020/02/25,1
RUN,2020/02/25,1
GBDC,2020/02/25,1
BHC,2020/02/24,1
ENV,2020/02/24,1
MAS,2020/02/24,1
UNVR,2020/02/24,1
ALXN,2020/02/24,1
HMN,2020/02/24,1
INMD,2020/02/24,1
HQL,2020/02/22,1
OLLI,2020/02/21,1
PFPT,2020/02/21,1
RPD,2020/02/21,1
CNK,2020/02/21,1
FDRR,2020/02/21,1
IGV,2020/02/21,1
NULG,2020/02/21,1
SPYG,2020/02/21,1
WES,2020/02/20,1
SGIOY,2020/02/20,1
VSLR,2020/02/20,1
DANOY,2020/02/20,1
EIX,2020/02/20,1
DCP,2020/02/19,1
GSLC,2020/02/18,1
SGEN,2020/02/18,1
HZN,2020/02/17,1
BGFV,2020/02/14,1
PSNL,2020/02/14,1
SDC,2020/02/14,1
QSY,2020/02/14,1
WM,2020/02/13,1
DLR,2020/02/13,1
FNKO,2020/02/12,1
EEFT,2020/02/12,1
DENN,2020/02/12,1
ORLY,2020/02/11,1
KRNT,2020/02/11,1
PRSP,2020/02/11,1
VWDRY,2020/02/11,1
PPBI,2020/02/10,1
CSQ,2020/02/10,1
USMC,2020/02/10,1
DIA,2020/02/10,1
VIG,2020/02/10,1
NTR,2020/02/10,1
OMC,2020/02/10,1
SNNUF,2020/02/10,1
ROKU,2020/02/07,1
MAC,2020/02/07,1
NOW,2020/02/07,1
CTRCF,2020/02/07,1
KL,2020/02/06,1
CYRX,2020/02/06,1
POL,2020/02/06,1
SKY,2020/02/06,1
WMGI,2020/02/06,1
NXST,2020/02/05,1
BMEZ,2020/01/29,1
CHUY,2020/01/29,1
TCOM,2020/01/29,1
REZI,2020/01/28,1
FRFHF,2020/01/28,1
DHR,2020/01/27,1
SEDG,2020/01/27,1
PLYA,2020/01/27,1
TLND,2020/01/27,1
WCG,2020/01/24,1
GSAH,2020/01/23,1
DEACU,2020/01/21,1
ABALX,2020/01/16,1
SANM,2020/01/15,1
FIKMX,2020/01/15,1
KIDS,2020/01/15,1
LPT,2020/01/15,1
CRY,2020/01/14,1
PROF,2020/01/14,1
ENTG,2020/01/13,1
KSS,2020/01/13,1
BFAM,2020/01/13,1
AROW,2020/01/13,1
FMCMF,2020/01/13,1
GRA,2020/01/13,1
AMADY,2020/01/13,1
EPOKY,2020/01/13,1
ABMD,2020/01/10,1
CENT,2020/01/10,1
CENTA,2020/01/10,1
DNTUY,2020/01/10,1
SSL,2020/01/10,1
GCP,2020/01/09,1
NLY,2020/01/08,1
IWV,2020/01/07,1
BKI,2020/01/06,1
INST,2020/01/06,1
ADTN,2020/01/02,1
DTEGY,2020/01/02,1
BIV,2019/12/31,1
VFIJX,2019/12/31,1
IVE,2019/12/31,1
TSS,2019/12/27,1
TGBAX,2019/12/23,1
GTX,2019/12/23,1
AAWW,2019/12/19,1
SPN,2019/12/19,1
SRPT,2019/12/13,1
IP,2019/12/12,1
BXS,2019/12/12,1
PPL,2019/12/10,1
ERH,2019/12/10,1
NLSN,2019/12/06,1
CLNC,2019/12/04,1
FSK,2019/12/04,1
BRK.A,2019/11/21,1
GCI,2019/11/20,1
NDAQ,2019/11/19,1
ZUO,2019/11/14,1
CBS,2019/11/12,1
TRHC,2019/11/12,1
IVZ,2019/11/05,1
TWO,2019/11/04,1
EXC,2019/11/04,1
FBSI,2019/10/31,1
REG,2019/10/29,1
BRBR,2019/10/24,1
KTB,2019/10/17,1
ZBRA,2019/10/17,1
MD,2019/10/15,1
MOS,2019/10/11,1
CELG,2019/10/01,1
XBI,2019/09/30,1
3V64.TI,2019/09/25,1
JNK,2019/09/25,1
0QZI.IL,2019/09/25,1
BPL,2019/09/16,1
SMJ,2019/08/29,1
AKAM,2019/08/20,1
CVET,2019/08/15,1
REVB,2019/07/31,1
ANDX,2019/07/30,1
MALOX,2019/07/18,1
ABB,2019/07/18,1
GTCSX,2019/07/17,1
TSCIX,2019/07/17,1
VPMAX,2019/07/17,1
IWF,2019/07/17,1
SMG,2019/07/16,1
MYL,2019/07/15,1
BWXT,2019/07/09,1
MINI,2019/07/03,1
ADUS,2019/06/24,1
AZSEY,2019/06/24,1
APLE,2019/06/24,1
APNHY,2019/06/24,1
BAMXY,2019/06/24,1
CMD,2019/06/24,1
CRL,2019/06/24,1
CHH,2019/06/24,1
CMPR,2019/06/24,1
CRUS,2019/06/24,1
CDE,2019/06/24,1
CCOI,2019/06/24,1
CXP,2019/06/24,1
DLB,2019/06/24,1
FFIN,2019/06/24,1
FIBK,2019/06/24,1
FOXF,2019/06/24,1
GBT,2019/06/24,1
GRFS,2019/06/24,1
HL,2019/06/24,1
HIW,2019/06/24,1
IRTC,2019/06/24,1
LLL,2019/06/24,1
LANC,2019/06/24,1
LAUR,2019/06/24,1
MANH,2019/06/24,1
MED,2019/06/24,1
DNOW,2019/06/24,1
NTNX,2019/06/24,1
PS,2019/06/24,1
PB,2019/06/24,1
RDUS,2019/06/24,1
REXR,2019/06/24,1
SITC,2019/06/24,1
TMSNY,2019/06/24,1
TRMB,2019/06/24,1
TRMK,2019/06/24,1
USPH,2019/06/24,1
VRNS,2019/06/24,1
WTS,2019/06/24,1
WING,2019/06/24,1
ZION,2019/06/24,1
PDCE,2019/06/19,1
BLFSD,2019/06/19,1
RDSA.AS,2019/06/10,1
HBAN,2019/06/10,1
AMH,2019/06/04,1
ARR,2019/06/04,1
BOOM,2019/06/04,1
EXEL,2019/06/04,1
SPR,2019/06/04,1
FFRHX,2019/05/30,1
INFY,2019/05/29,1
AVP,2019/05/23,1
WEX,2019/05/21,1
ESGR,2019/05/21,1
BIF,2019/05/17,1
GDV,2019/05/17,1
RHT,2019/05/17,1
PKCOY,2019/05/17,1
AMBA,2019/05/15,1
MTH,2019/05/15,1
PGRE,2019/05/15,1
PBYI,2019/05/15,1
TPX,2019/05/15,1
ISRG,2019/05/10,1
JGCCY,2019/05/09,1
DMRC,2019/05/03,1
VGR,2019/05/02,1
ABM,2019/04/30,1
FBC,2019/04/30,1
KMT,2019/04/30,1
MGPI,2019/04/30,1
PCH,2019/04/30,1
RDFN,2019/04/30,1
SCHN,2019/04/30,1
LH,2019/04/26,1
DIN,2019/04/26,1
TOT,2019/04/25,1
SHW,2019/04/25,1
KDP,2019/04/25,1
CLR,2019/04/16,1
AXGN,2019/04/16,1
BKU,2019/04/16,1
BIG,2019/04/16,1
PLCE,2019/04/16,1
UVV,2019/04/16,1
VCRA,2019/04/16,1
APC,2019/04/15,1
FDC,2019/04/15,1
VIOT,2019/04/08,1
RCKY,2019/04/05,1
FAF,2019/04/03,1
G,2019/04/03,1
HE,2019/04/03,1
PNW,2019/04/03,1
PUMP,2019/04/03,1
TMHC,2019/04/03,1
WDR,2019/04/03,1
ZEN,2019/04/03,1
FLXN,2019/03/26,1
BIIB,2019/03/22,1
PRNHX,2019/03/22,1
FLMVX,2019/03/22,1
FCNTX,2019/03/22,1
FFHRX,2019/03/22,1
FSTFX,2019/03/22,1
VCSH,2019/03/22,1
UTGN,2019/03/20,1
GBX,2019/03/19,1
DOOR,2019/03/19,1
MONOY,2019/03/19,1
SRC,2019/03/19,1
EGHT,2019/03/18,1
SFTBY,2019/03/11,1
SRE,2019/03/11,1
RBGLY,2019/03/11,1
PDRDY,2019/03/11,1
LRLCY,2019/03/11,1
MRAAY,2019/03/11,1
NPSNY,2019/03/11,1
MCO,2019/03/11,1
LVS,2019/03/11,1
KYCCF,2019/03/11,1
SAFRY,2019/03/11,1
HLT,2019/03/11,1
ESLOY,2019/03/11,1
CABGY,2019/03/11,1
ASML,2019/03/11,1
AZN,2019/03/11,1
AHKSY,2019/03/11,1
EADSY,2019/03/11,1
AAGIY,2019/03/11,1
XSLV,2019/03/08,1
AGO,2019/03/06,1
CTB,2019/03/06,1
DBD,2019/03/06,1
ESNT,2019/03/06,1
FNB,2019/03/06,1
FII,2019/03/06,1
XENT,2019/03/06,1
UTHR,2019/03/06,1
WAFD,2019/03/06,1
XLNX,2019/02/28,1
IQV,2019/02/28,1
HOLX,2019/02/28,1
ADI,2019/02/28,1
BH,2019/02/28,1
LYB,2019/02/27,1
WGP,2019/02/27,1
RTNB,2019/02/22,1
ZAYO,2019/02/20,1
EGP,2019/02/20,1
HR,2019/02/20,1
CHTR,2019/02/19,1
GBOOY,2019/02/19,1
BF.B,2019/02/15,1
BAYRY,2019/02/15,1
TS,2019/02/15,1
HAS,2019/02/12,1
CCS,2019/02/06,1
GCO,2019/02/06,1
MSTR,2019/02/06,1
PATK,2019/02/06,1
PSB,2019/02/06,1
SAVE,2019/02/06,1
VRTX,2019/02/04,1
EDIT,2019/02/04,1
ANCX,2019/02/01,1
TNTOF,2019/01/31,1
AX,2019/01/28,1
PPG,2019/01/25,1
AOBC,2019/01/23,1
PNR,2019/01/23,1
RCII,2019/01/23,1
KMX,2019/01/16,1
WB,2019/01/15,1
MKC,2019/01/10,1
VGT,2019/01/10,1
ARI,2019/01/09,1
CVGW,2019/01/09,1
CDEV,2019/01/09,1
MC,2019/01/09,1
OXM,2019/01/09,1
PEGI,2019/01/09,1
YEXT,2019/01/09,1
KN,2019/01/08,1
TAP,2018/12/27,1
BUD,2018/12/27,1
APTV,2018/12/27,1
MZOR,2018/12/27,1
LIN,2018/12/21,1
CFR,2018/12/21,1
GFAFX,2018/12/21,1
VLP,2018/12/20,1
LM09.SG,2018/12/19,1
COF,2018/12/19,1
XPO,2018/12/13,1
FRT,2018/12/07,1
BRKB,2018/12/06,1
UNP,2018/12/04,1
AET,2018/11/29,1
DISCA,2018/11/27,1
SHECY,2018/11/13,1
INCY,2018/11/12,1
BBT,2018/10/31,1
MSTY.PA,2018/10/30,1
LRCX,2018/10/25,1
CRM,2018/10/11,1
LEA,2018/10/08,1
ON,2018/09/28,1
WAB,2018/09/27,1
TBT,2018/09/25,1
CUTR,2018/08/30,1
CAPL,2018/08/22,1
WPZ,2018/08/10,1
WBA,2018/08/07,1
UNFI,2018/07/27,1
IIN,2018/07/26,1
ST,2018/06/28,1
CRMT,2018/06/26,1
TWX,2018/06/15,1
BTO,2018/06/13,1
USG,2018/06/06,1
TCMD,2018/06/01,1
BNPQY,2018/05/18,1
RCL,2018/05/17,1
MGA,2018/05/07,1
COHR,2018/05/03,1
