sector,transaction_date,number_of_transactions
Financial Services,2020/04/14,27
Fund,2020/04/02,26
,2015/02/13,19
Communication Services,2020/04/14,18
Technology,2020/04/14,18
Industrials,2020/04/07,16
Healthcare,2020/04/14,14
Consumer Defensive,2020/04/07,14
Energy,2020/04/15,12
Consumer Cyclical,2020/04/14,12
Basic Materials,2020/04/14,8
Real Estate,2020/07/09,5
Utilities,2017/06/15,4
cryptocurrency,2021/08/16,1
