amount,female (Normalized),male (Normalized),sort_key
Unknown,2.35,2.98,-1
"$1,001 - $15,000",24.27,38.87,15000
"$15,001 - $50,000",5.14,11.1,50000
"$50,001 - $100,000",1.65,3.76,100000
"$100,001 - $250,000",2.57,1.79,250000
"$250,001 - $500,000",0.62,0.87,500000
"$500,001 - $1,000,000",,0.83,1000000
"$1,000,001 - $5,000,000",0.11,0.18,5000000
"$5,000,001 - $25,000,000",0.14,0.06,25000000
"$25,000,001 - $50,000,000",0.05,,50000000
"Over $50,000,000",,0.01,100000000
