transaction_date	house	senate	input
2020/05/06	2		2
2017/04/25		1	1
2014/03/18		1	1
2016/10/21		1	1
2016/09/06		12	12
2018/09/18		2	2
2018/04/11		2	2
2020/11/10	17	2	19
2015/02/27		4	4
2021/04/28	7	1	8
2021/05/11	20		20
2014/09/02		11	11
2016/12/23		6	6
2018/09/20		3	3
2017/03/15		3	3
2020/10/26	20		20
2017/06/06		2	2
2020/01/07	30	1	31
2020/09/16	43	7	50
2014/11/07		2	2
2015/05/06		6	6
2018/08/17		3	3
2021/04/21	8	2	10
2019/10/04	1		1
2020/07/01	36	5	41
2015/07/20		3	3
2013/10/29		1	1
2018/05/31		2	2
2018/03/15		1	1
2018/04/02		4	4
2014/07/03		3	3
2017/10/10		3	3
2019/10/01		8	8
2021/11/03	5		5
2013/11/14		2	2
2020/02/26	10	22	32
2019/05/24		1	1
2018/05/29		3	3
2014/04/22		3	3
2020/04/30	53	1	54
2021/08/18	9	2	11
2019/08/08	5	4	9
2021/09/03	4	3	7
2017/09/26		19	19
2018/05/08		5	5
2014/09/19		1	1
2014/04/08		4	4
2017/07/05		2	2
2017/09/09		1	1
2018/12/21		13	13
2020/01/24	20	7	27
2013/05/29		1	1
2013/09/30		2	2
2014/06/26		2	2
2018/12/17		4	4
2016/12/02		3	3
2020/03/13	31	9	40
2019/04/02	5	3	8
2015/08/18		1	1
2020/08/18	4	9	13
2020/01/08	27	3	30
2019/03/13	3	2	5
2021/02/09	32	3	35
2014/09/15		1	1
2016/05/03		1	1
2021/06/15	22	1	23
2020/02/22		4	4
2016/09/27		1	1
2019/10/23		7	7
2018/09/07		2	2
2021/04/11		1	1
2017/10/31		3	3
2018/06/21		11	11
2018/01/08		7	7
2019/11/04	1	14	15
2020/08/05	8	8	16
2012/10/31		1	1
2020/05/28	14	1	15
2017/11/30		9	9
2016/08/04		2	2
2018/06/27		7	7
2019/05/06	1	2	3
2013/12/20		1	1
2019/11/21	2	1	3
2021/06/10	29	2	31
2020/05/20	16	5	21
2016/12/16		16	16
2021/06/22	42		42
2016/01/28		8	8
2018/06/18		3	3
2020/01/10	35	8	43
2019/04/12		2	2
2017/10/30		16	16
2016/06/23		3	3
2017/05/30		9	9
2020/03/20	16	23	39
2017/05/26		2	2
2015/05/13		2	2
2016/12/08		1	1
2013/01/02		2	2
2017/05/12		4	4
2020/01/20	1		1
2021/12/29	9	8	17
2014/03/07		6	6
2016/02/18		1	1
2019/11/19		9	9
2019/01/15	4	3	7
2015/10/22		9	9
2016/09/28		8	8
2015/09/18		18	18
2021/12/27	7	1	8
2015/04/21		2	2
2014/10/20		3	3
2016/03/29		1	1
2019/05/03	1	2	3
2014/01/01		2	2
2020/06/12	5	5	10
2020/10/16	70	6	76
2017/06/30		2	2
2015/03/11		8	8
2020/04/27	49	2	51
2021/03/25	21	1	22
2015/09/11		3	3
2016/02/12		7	7
2014/09/29		5	5
2014/07/16		1	1
2019/04/23	5	2	7
2017/10/05		10	10
2013/02/26		4	4
2019/04/10	2	8	10
2013/03/25		1	1
2021/12/13	3	1	4
2013/12/17		1	1
2020/10/19	28		28
2019/10/21	1	1	2
2019/06/06	6	3	9
2020/11/12	53		53
2015/12/18		6	6
2020/06/11	35	2	37
2014/09/22		1	1
2014/01/14		1	1
2016/12/20		1	1
2020/03/24	23	17	40
2012/11/15		1	1
2021/03/14	1		1
2020/09/22	4	3	7
2015/04/10		1	1
2013/07/19		1	1
2021/10/18	16	15	31
2014/01/07		2	2
2018/02/08		5	5
2017/09/18		6	6
2018/07/13		3	3
2021/05/26	29	2	31
2015/12/23		12	12
2016/03/30		3	3
2018/11/15		4	4
2020/04/28	39	2	41
2020/08/06	13	3	16
2016/04/22		4	4
2017/10/24		2	2
2021/12/23	6	8	14
2017/09/05		23	23
2018/04/16		2	2
2014/05/05		1	1
2019/02/28	2	25	27
2021/06/02	13	2	15
2017/10/04		3	3
2020/02/07	35	7	42
2019/02/26		1	1
2021/07/21	16	6	22
2017/09/13		2	2
2016/03/24		10	10
2017/08/02		11	11
2017/06/20		9	9
2018/09/11		1	1
2013/11/08		1	1
2015/05/27		7	7
2012/08/02		1	1
2016/11/21		2	2
2017/09/11		4	4
2013/02/08		1	1
2017/12/07		8	8
2021/09/23	14	2	16
2016/06/29		5	5
2017/08/24		10	10
2019/12/27	5	2	7
2018/12/12		8	8
2013/09/09		1	1
2012/09/10		1	1
2017/06/27		7	7
2014/07/21		5	5
2015/02/24		5	5
2013/04/12		1	1
2020/12/04	1	1	2
2014/08/25		3	3
2013/06/12		1	1
2021/12/03	10	1	11
2020/02/29		1	1
2019/09/10	1	1	2
2019/01/14	1		1
2013/07/09		1	1
2019/08/14	1	4	5
2015/12/14		9	9
2021/02/25	54		54
2015/07/10		7	7
2016/03/02		5	5
2016/11/16		3	3
2017/05/08		4	4
2016/03/04		2	2
2020/11/30	23	4	27
2021/11/19	20		20
2012/10/24		1	1
2015/10/13		3	3
2013/01/11		1	1
2020/11/18	40		40
2013/07/11		2	2
2015/05/26		1	1
2021/12/07	4		4
2017/07/01		1	1
2013/06/06		3	3
2013/08/02		1	1
2020/07/13	39	6	45
2012/11/26		1	1
2019/03/15	2	2	4
2021/11/06	1		1
2019/07/11		1	1
2013/05/10		1	1
2014/07/23		41	41
2015/09/08		1	1
2020/06/04	13	10	23
2013/12/05		1	1
2021/07/22	12		12
2014/02/10		7	7
2020/08/21	1	46	47
2016/12/30		3	3
2015/01/08		5	5
2015/03/27		3	3
2016/02/09		7	7
2017/04/05		11	11
2019/03/11		48	48
2013/06/25		1	1
2021/01/11	49	14	63
2020/12/15	14	4	18
2018/10/25		9	9
2021/05/28	10		10
2012/08/24		1	1
2015/01/15		2	2
2016/05/11		1	1
2018/10/16		5	5
2015/01/13		10	10
2021/02/04	20	2	22
2014/04/07		2	2
2019/04/11	9	4	13
2016/11/22		1	1
2021/05/05	10		10
2014/12/30		1	1
2019/06/28		3	3
2015/12/29		9	9
2014/02/07		1	1
2013/03/05		1	1
2021/09/14	18		18
2020/04/24	12	7	19
2020/05/07	41	5	46
2020/06/18	17	1	18
2016/08/25		1	1
2017/08/31		68	68
2018/01/25		4	4
2020/12/18	37		37
2017/04/19		1	1
2020/04/23	15	3	18
2015/03/26		1	1
2020/09/08	40	2	42
2015/12/21		3	3
2016/02/05		5	5
2015/08/05		6	6
2019/12/16	11	6	17
2014/12/19		1	1
2020/07/20	6	3	9
2017/02/24		1	1
2015/10/06		5	5
2019/07/15		8	8
2013/05/20		1	1
2013/01/17		1	1
2017/11/07		11	11
2014/03/19		3	3
2020/05/12	10		10
2018/08/31		1	1
2013/09/18		1	1
2016/10/19		3	3
2017/03/03		1	1
2017/07/31		4	4
2018/04/10		2	2
2018/12/05		1	1
2013/07/25		2	2
2021/06/14	29	1	30
2018/04/24		66	66
2017/03/06		16	16
2016/09/26		4	4
2019/07/09		4	4
2020/10/22	98		98
2017/10/27		2	2
2021/12/14	16	1	17
2014/02/12		1	1
2019/03/19	20	6	26
2013/02/13		1	1
2017/05/11		6	6
2016/11/25		2	2
2013/05/15		1	1
2017/09/27		13	13
2014/07/07		5	5
2019/05/08	1	1	2
2016/04/12		7	7
2019/07/23		5	5
2013/05/21		2	2
2019/12/05	3	5	8
2020/12/24	8		8
2016/01/20		16	16
2015/08/31		5	5
2018/08/16		6	6
2020/07/30	17	3	20
2014/11/10		29	29
2019/09/05		1	1
2021/09/02	57	1	58
2020/02/05	15	6	21
2017/04/07		1	1
2016/09/20		1	1
2016/04/05		2	2
2021/06/25	20	1	21
2019/07/10		4	4
2017/10/09		4	4
2018/12/18		5	5
2020/03/17	35	20	55
2014/12/11		3	3
2015/10/12		2	2
2019/01/07		2	2
2017/04/28		1	1
2013/09/05		2	2
2013/08/26		1	1
2017/09/29		11	11
2018/08/30		4	4
2016/10/20		1	1
2015/02/12		14	14
2019/12/10	26	3	29
2018/07/20		2	2
2020/12/09	9		9
2016/06/21		1	1
2020/02/18	25	3	28
2014/01/22		1	1
2019/09/24	1	2	3
2015/11/29		1	1
2014/02/27		3	3
2016/08/05		2	2
2017/02/14		3	3
2018/05/03		16	16
2015/07/13		4	4
2018/01/02		3	3
2021/03/03	9	2	11
2020/11/14	1		1
2019/01/31		8	8
2018/12/24		5	5
2014/04/29		12	12
2015/04/01		1	1
2018/02/13		3	3
2020/02/27	28	14	42
2018/04/23		20	20
2017/03/24		4	4
2019/03/27	1		1
2021/08/24	2		2
2020/10/05	33		33
2017/04/26		3	3
2019/10/22	1	1	2
2020/07/09	16	32	48
2021/11/17	7	3	10
2020/11/20	33	59	92
2017/03/27		2	2
2016/11/11		17	17
2018/05/25		1	1
2020/08/12	24		24
2019/08/21		2	2
2020/11/26	1		1
2018/02/01		1	1
2021/03/29	12	45	57
2018/02/09		8	8
2018/10/22		2	2
2018/07/17		3	3
2020/10/28	25		25
2016/08/15		3	3
2016/11/10		7	7
2014/01/02		2	2
2017/06/05		4	4
2018/05/10		3	3
2020/03/06	23	9	32
2016/07/07		8	8
2014/01/29		9	9
2021/02/10	28	8	36
2018/06/11		3	3
2017/11/10		4	4
2017/06/08		2	2
2014/02/20		1	1
2015/04/29		3	3
2021/04/29	7	2	9
2015/09/17		17	17
2020/07/28	42	2	44
2016/11/15		17	17
2014/02/19		12	12
2019/08/28	26		26
2019/12/19	9	10	19
2016/06/20		1	1
2016/12/13		6	6
2018/12/07		19	19
2018/07/06		1	1
2020/06/21	1		1
2016/04/20		3	3
2013/09/12		2	2
2014/07/09		1	1
2016/04/08		2	2
2019/08/26		2	2
2021/12/10	9		9
2020/10/29	33		33
2017/04/04		5	5
2019/03/26	1	1	2
2015/07/16		4	4
2018/07/09		3	3
2018/12/20		12	12
2015/06/10		1	1
2016/06/14		4	4
2018/12/10		3	3
2013/02/11		1	1
2018/11/08		4	4
2019/08/27	1	4	5
2018/07/16		3	3
2016/01/26		5	5
2017/02/07		5	5
2014/03/05		3	3
2018/08/22		3	3
2015/04/06		2	2
2014/01/24		7	7
2020/07/27	50	5	55
2021/03/18	24		24
2019/07/03	1	2	3
2015/09/22		7	7
2020/08/27	30	9	39
2015/02/25		1	1
2015/06/01		2	2
2020/06/09	26	2	28
2015/03/18		4	4
2018/10/10		6	6
2021/10/22	17	1	18
2018/05/07		8	8
2014/12/17		1	1
2016/11/28		11	11
2015/08/12		6	6
2013/03/13		1	1
2018/10/29		42	42
2021/06/01	10	1	11
2019/08/07		3	3
2015/11/12		13	13
2021/06/11	11		11
2021/01/26	9	3	12
2020/05/08	25	1	26
2020/07/31	8	6	14
2018/10/11		3	3
2012/10/11		2	2
2020/05/18	22	1	23
2020/09/09	10	4	14
2015/03/25		3	3
2019/03/31		1	1
2015/01/09		1	1
2020/04/21	8	2	10
2021/06/26	1		1
2021/07/28	6	1	7
2019/09/04		1	1
2014/11/03		1	1
2014/11/24		2	2
2013/05/17		1	1
2017/11/28		2	2
2014/04/15		1	1
2016/03/07		6	6
2021/09/21	6		6
2016/05/12		3	3
2014/11/25		5	5
2012/12/27		4	4
2020/03/25	17	6	23
2015/10/08		4	4
2020/08/03	8	5	13
2017/09/12		6	6
2020/09/15	41		41
2018/06/08		1	1
2019/06/10		7	7
2018/09/10		6	6
2021/04/09	58	2	60
2013/02/25		2	2
2015/11/10		25	25
2017/09/20		10	10
2020/12/28	16		16
2014/12/15		3	3
2021/12/02	10		10
2021/10/08	2		2
2014/10/14		5	5
2014/08/27		3	3
2015/02/17		3	3
2017/01/17		3	3
2018/09/17		2	2
2016/12/27		5	5
2019/02/14		1	1
2017/05/17		5	5
2019/05/02		5	5
2020/08/10	49		49
2017/01/26		5	5
2016/09/07		4	4
2017/01/24		5	5
2015/07/31		3	3
2020/06/01	31	4	35
2018/10/19		5	5
2013/03/12		1	1
2019/08/22		2	2
2018/01/19		2	2
2018/02/20		5	5
2016/06/22		1	1
2019/11/25		1	1
2018/04/25		4	4
2020/03/23	90	9	99
2020/08/13	12	1	13
2015/11/09		2	2
2017/04/27		3	3
2019/02/25		29	29
2018/08/24		5	5
2020/09/11	23	2	25
2021/03/08	22		22
2014/11/30		1	1
2015/05/15		6	6
2021/04/27	12	3	15
2020/11/05	91	18	109
2017/02/17		8	8
2020/06/10	55		55
2013/04/08		2	2
2013/04/19		1	1
2021/09/28	9	2	11
2018/06/25		6	6
2021/02/24	26		26
2020/03/16	38	14	52
2020/03/03	18	12	30
2013/06/28		1	1
2015/07/09		18	18
2016/06/01		2	2
2020/03/27	70	14	84
2019/11/08		6	6
2019/08/29	1	2	3
2019/07/05		2	2
2015/08/03		3	3
2021/03/02	16		16
2018/12/04		11	11
2015/04/15		4	4
2018/01/11		6	6
2014/06/23		3	3
2018/07/24		1	1
2018/11/20		8	8
2017/08/16		2	2
2018/10/15		3	3
2017/11/22		1	1
2017/05/05		5	5
2019/01/18	2	3	5
2020/09/14	8	3	11
2019/02/22	6	5	11
2016/01/21		14	14
2012/10/03		2	2
2014/06/11		3	3
2015/12/17		7	7
2016/08/08		5	5
2017/12/06		2	2
2013/05/01		2	2
2020/10/02	19		19
2018/12/11		5	5
2014/10/07		2	2
2019/02/20	15	6	21
2020/07/23	15	1	16
2013/04/04		1	1
2015/11/05		2	2
2017/01/18		5	5
2018/06/04		12	12
2020/09/25	18	1	19
2017/09/22		4	4
2016/07/13		3	3
