scale_of_shares_roundedby5,number_of_transactions
"[485, 1215]",1
"[10, 35]",6
"[205, 690]",2
"[145, 485]",2
"[225, 745]",3
"[30, 460]",21
"[565, 1875]",1
"[655, 1305]",1
"[65, 995]",3
"[75, 1140]",1
"[5, 20]",7
"[165, 555]",2
"[35, 110]",1
"[160, 535]",5
"[165, 550]",3
"[50, 165]",3
"[190, 385]",1
"[440, 880]",1
"[545, 1090]",1
"[245, 815]",2
"[315, 635]",1
"[250, 840]",4
"[245, 825]",4
"[120, 235]",2
"[420, 835]",2
"[285, 570]",3
"[145, 490]",5
"[80, 270]",4
"[65, 220]",6
"[2030, 4065]",1
"[445, 895]",1
"[110, 365]",2
"[250, 830]",3
"[555, 1110]",1
"[435, 870]",3
"[1105, 2210]",1
"[670, 2235]",1
"[505, 1680]",1
"[655, 2180]",1
"[510, 1025]",2
"[155, 520]",2
"[1120, 2800]",1
"[335, 670]",1
"[220, 440]",1
"[470, 1570]",2
"[460, 1535]",2
"[300, 1000]",3
"[85, 275]",1
"[135, 275]",1
"[150, 500]",5
"[90, 300]",2
"[580, 1165]",1
"[765, 1530]",1
"[4165, 13880]",1
"[10670, 53340]",2
"[53340, 266695]",1
"[295, 590]",2
"[305, 610]",1
"[45, 670]",2
"[1280, 2565]",1
"[520, 1295]",1
"[2085, 4170]",1
"[210, 705]",5
"[425, 855]",1
"[945, 2365]",1
"[1055, 2110]",2
"[635, 1275]",1
"[205, 685]",5
"[7725, 15450]",1
"[7610, 19030]",1
"[800, 2000]",1
"[1615, 5390]",1
"[775, 1555]",1
"[10545, 26355]",1
"[5445, 13620]",1
"[5405, 13510]",1
"[9170, 22930]",1
"[3090, 6185]",1
"[4780, 9560]",1
"[2920, 7300]",1
"[365, 1220]",4
"[4300, 10750]",1
"[4815, 12035]",1
"[360, 900]",1
"[1470, 2940]",1
"[390, 975]",1
"[7575, 25255]",1
"[12625, 25255]",1
"[3590, 17940]",1
"[1795, 3590]",1
"[215, 3245]",1
"[370, 735]",1
"[1590, 5300]",1
"[280, 930]",6
"[175, 585]",2
"[175, 575]",5
"[485, 1610]",2
"[250, 835]",6
"[305, 1025]",2
"[80, 260]",3
"[160, 325]",1
"[195, 390]",1
"[190, 635]",2
"[185, 370]",1
"[30, 410]",3
"[135, 455]",9
"[185, 615]",7
"[20, 45]",2
"[355, 1185]",4
"[170, 570]",2
"[30, 440]",28
"[580, 1935]",1
"[705, 1410]",2
"[345, 685]",1
"[140, 475]",3
"[18330, 36665]",1
"[260, 865]",2
"[410, 1365]",2
"[90, 290]",1
"[1035, 2070]",2
"[625, 2085]",1
"[10, 40]",2
"[995, 3325]",1
"[140, 460]",7
"[85, 290]",2
"[415, 1390]",2
"[315, 1055]",3
"[2400, 8005]",1
"[60, 920]",9
