scale_of_shares_roundedby5,number_of_transactions
"[1085, 2175]",1
"[870, 1745]",1
"[270, 910]",1
"[1390, 3475]",1
"[375, 1255]",2
"[500, 1670]",1
"[3320, 6645]",1
"[3205, 8015]",1
"[3255, 8130]",1
"[3265, 8160]",1
"[8205, 16410]",1
"[995, 3315]",1
"[110, 1645]",2
"[3335, 6665]",1
"[3250, 8125]",1
"[3300, 8245]",1
"[6900, 17255]",1
"[105, 1610]",2
"[1805, 3610]",1
"[780, 1565]",1
"[3455, 6915]",1
"[700, 1395]",1
"[220, 740]",1
"[1150, 3830]",1
"[100, 1505]",1
"[910, 1815]",1
"[1010, 2020]",1
"[795, 2650]",1
"[780, 2595]",1
"[775, 2580]",1
"[155, 2310]",2
"[285, 960]",1
"[190, 625]",2
"[1455, 4850]",1
"[465, 1550]",1
"[900, 3005]",1
"[880, 2935]",1
"[855, 1710]",1
"[160, 530]",2
"[180, 610]",1
"[815, 2720]",1
"[805, 2680]",1
"[145, 475]",2
"[375, 1260]",1
"[4610, 11520]",1
"[745, 1490]",1
"[4400, 8800]",1
"[825, 2750]",1
"[435, 1445]",1
"[180, 590]",1
"[535, 1785]",1
"[780, 2605]",1
"[1645, 4115]",1
"[149640, 299285]",1
"[680, 1355]",1
"[385, 5790]",1
"[2230, 4465]",1
"[450, 1505]",1
"[1320, 2640]",1
"[400, 5965]",1
"[3090, 6175]",1
"[115, 390]",1
"[590, 1970]",1
"[1085, 2710]",1
"[4150, 10380]",1
"[125, 425]",1
"[2905, 5810]",1
"[2240, 5595]",1
"[765, 1920]",1
"[780, 1950]",1
"[1715, 4285]",1
"[2670, 6670]",1
"[3055, 7635]",1
"[1300, 3245]",1
"[1075, 2690]",1
"[85, 1235]",1
"[595, 1975]",1
"[620, 2060]",1
"[310, 1040]",2
"[150, 2210]",1
"[1330, 4440]",1
"[750, 1500]",1
"[135, 2000]",4
"[990, 3305]",1
"[500, 7500]",1
"[370, 1225]",1
"[14275, 28550]",1
"[305, 1015]",2
"[25025, 375000]",1
"[260, 3905]",1
"[175, 580]",1
"[115, 1730]",1
"[285, 940]",1
"[660, 2195]",1
"[3140, 6280]",1
"[3140, 7855]",1
"[475, 945]",1
"[885, 2945]",1
"[2640, 5285]",1
"[230, 770]",2
"[275, 555]",1
"[2660, 5320]",1
"[275, 545]",1
"[935, 1875]",1
"[1000, 2000]",1
"[45, 660]",1
"[1145, 3820]",1
"[1525, 3050]",1
"[800, 2670]",1
"[270, 905]",1
"[660, 2205]",1
