ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
WETF,,,,,3,1,,,,,
AGU,,,,,,1,,,,,
TLLP,,,,,,1,,,,,
WOOF,,,,3,,7,,,,,
SYF,,,,,2,2,,,,,
FL,,,,,,1,,,,,
ESRX,,,4,1,4,2,,,,,
YUMC,,,,,,1,,,,,
YUM,,,2,,,1,,,,,
XEL,,,,,,1,,,,,
VIAB,,,,,1,1,,,,,
AQFH,,,,,,2,,,,,
NEE-PC,,,,,,1,,,,,
ARW,,,,1,,1,,,,,
PRGO,,,1,,3,,,,,,
SRCL,,,2,,2,,,,,,
TMK,,,,,2,,,,,,
MTD,,,,1,1,,,,,,
AWK,,,,,1,,,,,,
ZBH,,,,,4,,,,,,
OKS,,,,,1,,,,,,
ZNGA,,,1,1,2,,,,,,
VSAT,,,,,1,,,,,,
VLO,,,,1,2,,,,,,
UA,,,,2,5,,,,,,
CTL,,,,,2,,,,,,
JWN,,,,,1,,,,,,
AMG,,,,2,4,,,,,,
IAI,,,,,1,,,,,,
MDU,,,,1,1,,,,,,
SE,,,1,2,5,,,,,,
CAB,,,,,7,,,,,,
DPM,,,,,3,,,,,,
SCCO,,,,,1,,,,,,
ASIX,,,,,4,,,,,,
HDS,,,,,2,,,,,,
HSBC,,,,,1,,,,,,
A,,,1,2,1,,,,,,
BUNT,,,,,1,,,,,,
HYH,,,1,1,20,,,,,,
EMC,,,1,1,2,,,,,,
BBU,,,,,1,,,,,,
AXLL,,,,2,11,,,,,,
AFTEX,,,,1,,,,,,,
XLI,,,,2,,,,,,,
UA-C,,,,,1,,,,,,
SHPG,,,,,1,,,,,,
BIN,,,,,1,,,,,,
WCN,,,1,1,1,,,,,,
AEE,,,,1,1,,,,,,
WTR,,,,,1,,,,,,
CPGX,,,,,1,,,,,,
SHY,,,,1,1,,,,,,
SYY.SG,,,,,1,,,,,,
XER.BE,,,,,1,,,,,,
IRET,,,,,2,,,,,,
RNWK,,,4,,1,,,,,,
TM,,,,,1,,,,,,
CMI,,,1,,2,,,,,,
YACKX,,,,,1,,,,,,
ADT,,,,,11,,,,,,
AAN,,,,17,1,,,,,,
RRC,,,,,1,,,,,,
HOT,,,1,,1,,,,,,
SWN,,,,,1,,,,,,
NCR,,,,,1,,,,,,
ADT.F,,,,,1,,,,,,
ETE,,,,3,1,,,,,,
CP,,,1,,2,,,,,,
IONS,,,,,1,,,,,,
NUE,,,,,1,,,,,,
SPY160219P00180000,,,,,3,,,,,,
TBF,,,,2,2,,,,,,
ITC,,,,1,1,,,,,,
QLIK,,,3,2,,,,,,,
CIT,,,,12,,,,,,,
LNT,,,1,6,,,,,,,
LQDT,,,,4,,,,,,,
CVC,,,,10,,,,,,,
DISCK,,,,1,,,,,,,
GAS,,,,1,,,,,,,
SBUX.SW,,,,1,,,,,,,
NBL,,,,1,,,,,,,
KLXI,,,2,1,,,,,,,
NWN,,,,1,,,,,,,
KRFT,,,,2,,,,,,,
FANG,,,,1,,,,,,,
GPRO,,,1,1,,,,,,,
CY,,,5,2,,,,,,,
CHL,,,2,1,,,,,,,
ALTR,,,2,3,,,,,,,
MSACX,,,,1,,,,,,,
VADDX,,,,1,,,,,,,
NGIPX,,,,2,,,,,,,
WSTMX,,,,1,,,,,,,
VMIIX,,,,1,,,,,,,
VSMIX,,,,1,,,,,,,
ACSDX,,,,1,,,,,,,
MGEMX,,,,1,,,,,,,
BUNT-RP,,,,1,,,,,,,
CVG,,,,1,,,,,,,
ATML,,,1,1,,,,,,,
SMEZ,,,,1,,,,,,,
CMCSK,,,,2,,,,,,,
AR,,,,1,,,,,,,
NGLS,,,,3,,,,,,,
ZTS,,,,3,,,,,,,
XLS-WI,,,,6,,,,,,,
XRT,,,1,1,,,,,,,
KORS,,,6,4,,,,,,,
PCAR,,,2,1,,,,,,,
TU,,,1,1,,,,,,,
SLY,,,,1,,,,,,,
IBKC,,,,2,,,,,,,
DTE,,,,1,,,,,,,
PRPFX,,,,1,,,,,,,
LINE,,,1,,,,,,,,
ESV,,,1,1,,,,,,,
XLU,,,,2,,,,,,,
XLV,,,,1,,,,,,,
PCY,,,,1,,,,,,,
CMRE,,,3,1,,,,,,,
MIK,,,1,1,,,,,,,
ACT,,,3,2,,,,,,,
JCOM,,,1,1,,,,,,,
WAGE,,,,1,,,,,,,
VSI,,,,1,,,,,,,
TYPE,,,,1,,,,,,,
TXRH,,,,1,,,,,,,
TUMI,,,,1,,,,,,,
TTC,,,,1,,,,,,,
TNGO,,,,1,,,,,,,
THS,,,,1,,,,,,,
THRM,,,,1,,,,,,,
TECH,,,,1,,,,,,,
TCBI,,,,1,,,,,,,
SXT,,,,1,,,,,,,
SWI,,,,1,,,,,,,
SSB,,,,1,,,,,,,
SQI,,,,1,,,,,,,
SPSC,,,,1,,,,,,,
SMTC,,,,1,,,,,,,
SIGI,,,,1,,,,,,,
SHOO,,,,1,,,,,,,
SGY,,,,1,,,,,,,
RRTS,,,,1,,,,,,,
ROLL,,,,1,,,,,,,
RBA,,,,1,,,,,,,
RAVN,,,,1,,,,,,,
PRLB,,,,1,,,,,,,
PRIM,,,,1,,,,,,,
PRAA,,,,1,,,,,,,
PRA,,,,1,,,,,,,
POWI,,,,1,,,,,,,
PLT,,,,1,,,,,,,
PLKI,,,,1,,,,,,,
PEB,,,,1,,,,,,,
PBH,,,,1,,,,,,,
OMCL,,,,1,,,,,,,
NSR,,,,1,,,,,,,
NICE,,,,2,,,,,,,
MNRO,,,,1,,,,,,,
MG,,,,1,,,,,,,
MFRM,,,,1,,,,,,,
MDCA,,,,1,,,,,,,
MASI,,,,1,,,,,,,
LSTR,,,,1,,,,,,,
LOCK,,,,1,,,,,,,
LL,,,,1,,,,,,,
KWR,,,,1,,,,,,,
JJSF,,,,1,,,,,,,
IPCM,,,,1,,,,,,,
ICUI,,,,1,,,,,,,
ICON,,,,1,,,,,,,
HUBG,,,,1,,,,,,,
IART,,,,1,,,,,,,
HLX,,,,1,,,,,,,
HF,,,,1,,,,,,,
HEI,,,,1,,,,,,,
HCSG,,,,1,,,,,,,
GMED,,,,1,,,,,,,
FNGN,,,,1,,,,,,,
FMBI,,,,1,,,,,,,
FET,,,,1,,,,,,,
EVR,,,,1,,,,,,,
EPAY,,,,1,,,,,,,
EGBN,,,,1,,,,,,,
DRQ,,,,1,,,,,,,
DIOD,,,,1,,,,,,,
DFRG,,,,1,,,,,,,
CYBX,,,,1,,,,,,,
CVLT,,,,1,,,,,,,
CTRL,,,,1,,,,,,,
CTCT,,,,1,,,,,,,
CRZO,,,,1,,,,,,,
CMN,,,,1,,,,,,,
CLC,,,,1,,,,,,,
CHEF,,,,1,,,,,,,
CASY,,,,1,,,,,,,
BMR,,,1,1,,,,,,,
BECN,,,,1,,,,,,,
BCPC,,,,1,,,,,,,
ATRO,,,,1,,,,,,,
AMSG,,,,1,,,,,,,
ALE,,,,1,,,,,,,
AKRX,,,,1,,,,,,,
AFSI,,,,1,,,,,,,
ABCO,,,,1,,,,,,,
AAT,,,,1,,,,,,,
AAON,,,,1,,,,,,,
ACE,,,3,1,,,,,,,
NOG,,,,2,,,,,,,
COH,,,,1,,,,,,,
TOLLX,,,3,,,,,,,,
WASCX,,,1,,,,,,,,
MDDVX,,,2,,,,,,,,
DVFAX,,,2,1,,,,,,,
BEAV,,,3,,,,,,,,
RYN,,,1,,,,,,,,
CEA,,,1,,,,,,,,
KSU,,,5,,,,,,,,
BTF,,,1,,,,,,,,
MFCDX,,,1,,,,,,,,
TFX,,,1,,,,,,,,
HSIC,,,2,,,,,,,,
ROP,,,2,,,,,,,,
PCP,,,1,,,,,,,,
APH,,,1,,,,,,,,
OLN,,,1,,,,,,,,
COF-PP,,,1,,,,,,,,
VIXY,,,2,,,,,,,,
CDK,,,1,,,,,,,,
AJG,,,3,,,,,,,,
NOV,,,2,,,,,,,,
ESS,,,1,,,,,,,,
HYT,,,1,,,,,,,,
ISIS,,,1,,,,,,,,
IJH,,,1,,,,,,,,
RSP,,,1,,,,,,,,
IXP,,,1,,,,,,,,
SDY,,,1,,,,,,,,
DWX,,,1,,,,,,,,
ILF,,,1,,,,,,,,
EPP,,,1,,,,,,,,
MDP,,,1,,,,,,,,
LNKD,,,4,,,,,,,,
RYAM,,,1,,,,,,,,
LGP,,,2,,,,,,,,
BTE,,,1,,,,,,,,
BWA,,,1,,,,,,,,
ECL,,,1,,,,,,,,
EPR,,,1,,,,,,,,
ENLC,,,1,,,,,,,,
GRMN,,,1,,,,,,,,
HCC,,,1,,,,,,,,
HUB-B,,,1,,,,,,,,
HTGC,,,1,,,,,,,,
LECO,,,1,,,,,,,,
OGS,,,1,,,,,,,,
PGH,,,1,,,,,,,,
PBCT,,,1,,,,,,,,
PL,,,1,,,,,,,,
STE,,,1,,,,,,,,
WASH,,,1,,,,,,,,
MLPRX,,,1,,,,,,,,
LNC,,,1,,,,,,,,
NTI,,,1,,,,,,,,
LMGEX,,,1,,,,,,,,
TCAP,,,1,,,,,,,,
SBGI,,,1,,,,,,,,
ROC,,,1,,,,,,,,
PNM,,,1,,,,,,,,
PRE,,,1,,,,,,,,
HFC,,,1,,,,,,,,
FNF,,,1,,,,,,,,
CMO,,,1,,,,,,,,
AIT,,,1,,,,,,,,
DBP,,,1,,,,,,,,
YHOO,,,1,,,,,,,,
VVC,,,1,,,,,,,,
VR,,,1,,,,,,,,
VRX,,,2,,,,,,,,
UMPQ,,,1,,,,,,,,
TAL,,,1,,,,,,,,
PWE,,,1,,,,,,,,
PACW,,,1,,,,,,,,
MGRC,,,1,,,,,,,,
MTSC,,,1,,,,,,,,
LDR,,,1,,,,,,,,
HMC,,,2,,,,,,,,
HTS,,,1,,,,,,,,
HNI,,,1,,,,,,,,
FLY,,,1,,,,,,,,
FMER,,,1,,,,,,,,
FFBC,,,1,,,,,,,,
CYS,,,1,,,,,,,,
CNSL,,,1,,,,,,,,
CPSI,,,1,,,,,,,,
CTBI,,,1,,,,,,,,
CLNY,,,1,,,,,,,,
CHCO,,,1,,,,,,,,
CBT,,,1,,,,,,,,
ALV,,,1,,,,,,,,
ADC,,,1,,,,,,,,
VDC,,,1,,,,,,,,
XRAY,,,1,,,,,,,,
KMP,,1,,,,,,,,,
CG,,1,,,,,,,,,
BHI,,,1,,,,,,,,
SCHW,,,1,,,,,,,,
LBTYK,,,1,,,,,,,,
LBTYA,,,1,,,,,,,,
ZMH,,,2,,,,,,,,
WIN,,,1,,,,,,,,
JPJQL,,,1,,,,,,,,
VAR,,,1,,,,,,,,
SJR,,,1,,,,,,,,
EC,,,1,,,,,,,,
RIG,,,1,,,,,,,,
BFK,,,1,,,,,,,,
SYMC,,,1,,,,,,,,
