ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CGNT,,,,,,,4,,,
CGNX,,,,1,,,,1,1,
CHCO,,,1,,,,,,,
CHE,,,,,,,,,,2
CHEF,,,,1,,,,,,
CHK,,,,1,1,,1,,,
CHKP,,,,,,1,1,,,
CHL,,,2,1,,,,,,
CHRW,,,,,1,2,,,,
CHTR,,,,,,,,1,,
CIBR,,,,,,,,,1,
CIT,,,,12,,,,,,
CL,,,,1,,,2,,3,1
CLB,,,,,,,1,,,
CLC,,,,1,,,,,,
CLF,,,,,,,,,,16
CLNY,,,1,,,,,,,
CLR,,,,4,3,,2,1,,
CLX,,,3,2,1,,3,1,4,2
CMA,,,,,,2,,,,
CMCSA,,,1,,2,2,4,3,7,
CMCSK,,,,2,,,,,,
CME,,,1,,,1,1,1,6,
CMG,,,,,,,,,,1
CMI,,,1,,2,,,,,
CMN,,,,1,,,,,,
CMO,,,1,,,,,,,
CMPGY,,,,,,1,,,,
CMRE,,,3,1,,,,,,
CNR,,,,,,,,,,1
CNSL,,,1,,,,,,,
COF,,,1,1,,5,1,,,
COF-PP,,,1,,,,,,,
COH,,,,1,,,,,,
COHR,,,,,,2,1,,,
CONE,,,,,,,,,2,
COP,,,3,,3,5,1,2,3,
COR,,,,,,,,,,1
COST,,,1,2,4,3,7,4,9,2
COUP,,,,,,,,,4,
CP,,,1,,2,,,,,
CPGX,,,,,1,,,,,
CPSI,,,1,,,,,,,
CR,,,1,,,,,,5,
CRM,,,5,,,1,2,,,
CRMT,,,,,,,9,,,
CRSP,,,,,,1,1,,1,1
CRWD,,,,,,,,,3,1
CRZO,,,,1,,,,,,
CSCO,,,1,,3,8,8,4,14,
CSX,,,,1,2,1,,1,,2
CTAA,,,,,,,,,,1
CTAS,,,,,,,,,,1
CTBI,,,1,,,,,,,
CTCT,,,,1,,,,,,
CTL,,,,,2,,,,,
CTRL,,,,1,,,,,,
CTSH,,,1,,2,1,,4,5,
CTVA,,,,,,,,2,2,
CTXS,,,,,,,,,2,
CUTR,,,,,,,3,,,
CVC,,,,10,,,,,,
CVET,,,,,,,,1,,
CVG,,,,1,,,,,,
CVLT,,,,1,,,,,,
CVS,,,4,1,4,8,9,7,7,
CVX,,,3,5,4,6,4,2,13,
CWEN,,,,,,,,,,1
CY,,,5,2,,,,,,
CYBX,,,,1,,,,,,
CYS,,,1,,,,,,,
CZR,,,,,,18,10,22,13,
DAL,,,5,,,1,2,1,12,
DBP,,,1,,,,,,,
DCP,,,,,,,,1,2,
DD,2,4,5,3,1,1,,3,23,2
DD-PA,,,,,,1,,,,
DDOG,,,,,,,,,1,1
DE,,,1,3,,,,1,,
DECK,,,,,,,,,,2
DEO,,,,,4,,,1,,1
DFRG,,,,1,,,,,,
DFS,,,,,,,1,,6,
DG,,,,,,,,,4,1
DGNR,,,,,,,,,,1
DGRS,,,,,,,,,1,1
DGX,,,,,,,,,1,1
DHI,,,,,,,,,4,
DHR,,,3,1,7,2,3,4,1,
DIOD,,,,1,,,,,,
DIS,,,2,,19,8,4,12,25,4
DISCA,,,,21,5,10,38,,,
DISCK,,,,1,,,,,,
DISH,,,1,1,,7,,,,
DLPH,,,,,,2,,,,
DLR,,,1,,,,,,1,
DLS,,,,,,,,,1,
DNKN,,,,,,2,,,3,
DOCU,,,,,,,,,2,
DOW,,,,,,2,,6,8,
DPM,,,,,3,,,,,
DPS,,,,,,1,,,,
DPZ,,,,,,,,,1,
DRI,,,,,,,,1,1,
DRQ,,,,1,,,,,,
DTD,,,,,,,,,,1
DTE,,,,1,,,,,,
DUK,,,,,,3,1,,,
DVA,,,,,,,2,,,
DVFAX,,,2,1,,,,,,
DVMT,,,,,2,1,,,,
DVN,,,,6,,2,13,6,3,
DWDP,,,,,,7,5,1,,
DWX,,,1,,,,,,,
DXCM,,,,,,,,,1,
EA,,,,,,,,,,2
EADSY,,,,,,,,1,,
EAF,,,,,,,,5,2,
EBAY,,,3,2,,,,,1,1
EC,,,1,,,,,,,
ECL,,,1,,,,,,,
ECOM,,,,,,,,,,16
EDIT,,,,,,1,,1,,
EEFT,,,,,,,,,1,
EEM,,,1,2,1,,,,2,1
EGBN,,,,1,,,,,,
EL,,,3,,1,1,,,,1
EMC,,,1,1,2,,,,,
EMR,,,2,3,1,3,3,1,8,
ENB,,,,,3,5,5,1,5,
ENLC,,,1,,,,,,,
ENTG,,,,,4,11,3,15,5,
ENTL,,,,,,,1,,,
EPAY,,,,1,,,,,,
EPD,,,1,,6,1,1,,1,
EPP,,,1,,,,,,,
