ticker	house	senate	input
PAVE	2		2
AMJ	2		2
KTB	2	3	5
ITOT	1		1
AB	3		3
ITW	8	7	15
IEFA	3		3
CME	17	10	27
ELUXY	1		1
BBBY	1		1
FAS	8		8
CRZBY	2		2
MRCK	1		1
GPC	7		7
CLNY		1	1
LYV	7	38	45
AVTR	1		1
PEP	34	31	65
ONEQ		1	1
FCPIX		4	4
VIAB	1	2	3
ECL	32	1	33
GD	8	6	14
PRAA	2	1	3
BBGLX	1		1
NVO	4	3	7
EXC	3	3	6
FDRXX	2		2
KTOS	27		27
TWO	1	1	2
AZO	15	5	20
FEPAX	1		1
TFX	6	1	7
HRC	5		5
AHCO	8		8
FNGZX	1		1
AGO	1		1
WOPEY	1		1
IBTD	2		2
EEFT	2	1	3
BUNT-RP		1	1
AAVMY	2		2
EMN	3		3
APAM		1	1
THR	3		3
EFX	5		5
CI	7	2	9
CCC	3		3
URI	4	1	5
DEO	15	6	21
VRX		2	2
PSQ	12	6	18
CYRX	13		13
FSKR	2		2
CPGX		1	1
J	7	1	8
FMS	8		8
BHF	1	3	4
KAI	3		3
TPX	1		1
BXS	16		16
SIVB	3	1	4
KL		1	1
EVVTY	2		2
SLV	4		4
DCMYY	1		1
ONTO	1		1
EPAY	1	1	2
XEC	2		2
MTD	1	2	3
CMI		3	3
IART	6	1	7
DNKEY	1		1
AAWW	1		1
SPOT	9	1	10
XLF	3		3
BFK		1	1
BRX	2		2
QLIK		5	5
MPWR	1	1	2
CIEN	2		2
ASML	11	2	13
FLCB	1		1
LTHM	1		1
FDC		66	66
WEX		1	1
IP	4	6	10
FISV	14		14
AMGN	15	27	42
DIOD		1	1
HAYN	2		2
SCZ	1		1
BKR	6		6
BMRN	6		6
BERY	4	2	6
HE	3		3
WH	9		9
BRKB	2	2	4
BUNT		1	1
EBAY	3	7	10
VUL.V	1		1
NVAX		2	2
CMCSK		2	2
TMSNY	2		2
AEX.MU		1	1
TUMI		1	1
IPXHY	1		1
BAX	10	29	39
DFREX	1		1
PFGC	5		5
IBDO	1		1
NCLTY	4		4
IHI	1		1
SPGI	20		20
DAWC	1		1
CEF		6	6
PDS	1		1
LEN	4		4
HD	59	5	64
VAW	2		2
NGLS	1	3	4
EIX	1		1
PGNY	4		4
NEOG	2		2
KKR	9		9
CATM	4		4
BPHSPX	1		1
ACT		5	5
FND	1		1
FIS	29	3	32
PRIM	4	1	5
IPCM		1	1
PRGO	1	4	5
VTR	7	2	9
RCII	2		2
RNR		2	2
BLL	15	1	16
GSMTX	1		1
NWG	1		1
CMD	5		5
DISCA	6	74	80
IFNNY	15		15
ATRC	4		4
ALNY	2		2
KBE	1		1
NTR	1		1
SBCF	5		5
IBN	5		5
BWXT	1	39	40
CSLT	7		7
HST	6		6
USG		16	16
EPR	1	1	2
GEM		1	1
GSOSX	1		1
MAXR		1	1
SLVM	5		5
OMF	1		1
FQAL	1		1
ENVA		1	1
GLW	3	38	41
RXT	9		9
ET	44	11	55
BEN	11		11
T	61	70	131
STZ	9	6	15
TROW	3	3	6
MFCDX		1	1
EHSTX	1		1
SGIOY	6		6
MUFG	1		1
LECO		1	1
AOSL	1		1
TGBAX		1	1
SON	2		2
RLGY	6		6
CSQ	1		1
EXEL	4		4
WAL		3	3
MSBHY	2		2
CXP	2		2
OTIS	10	1	11
REG	1		1
GLAD		3	3
WTR		1	1
CHV	1		1
HF		1	1
FRFHF	2		2
ADBE	32	4	36
CCEP	8	1	9
CMS	5		5
CL	16	7	23
FANUF	12		12
FEDX	1		1
VLO	6	3	9
HSHCY	2		2
OLLI	9		9
HELE	5	2	7
ISNPY	1		1
KRNT	1		1
CCL	15		15
AVY	9		9
VWO	1	5	6
DNOW	1		1
WLTW	5		5
LITE	4		4
ERJ	2		2
BBH	2		2
WAIR	1		1
GBCI	1		1
BROS	5		5
HBAN	3	2	5
GE	30	49	79
ETV	1		1
GBDC	2		2
CISIX	1		1
ORMP	2		2
EJPRY	1		1
TLSNY	2		2
PNQI		4	4
JPJQL		1	1
PEG	2		2
AMAT	11	10	21
NTRS	7		7
RPD	4		4
CIT		12	12
SZEVY	1		1
LESL	4		4
NKLA		2	2
CAJ	2		2
DE	27	5	32
SHOP	3	1	4
SCHH	1		1
TDDC	1		1
BHPLF	1		1
WELL	2		2
BIPC	4		4
ZOOM	3		3
HYT		1	1
POL	3		3
MNTA	1		1
GEAGY	1		1
PCPL	1		1
ABCO		1	1
NLOK	5		5
NDAQ	11	2	13
SWKS		7	7
Q		4	4
DWAC	1		1
LMRK		2	2
ES	4	2	6
DNTUY	9		9
FFG	1		1
FSEN	1		1
AVLR	1		1
CRZO		1	1
USDP	15		15
CMA	4	2	6
SNAP	26	1	27
AJRD		2	2
MDP		1	1
MCK	5	9	14
NPSNY	2	1	3
ABBV	23	22	45
MCS	1		1
NOV	2	2	4
C	31	32	63
CVC		10	10
PNFP		1	1
HUN	2	4	6
PODD	1	5	6
FFIN	1		1
GTX		1	1
HQL		2	2
BTO		2	2
TEF	2		2
MDYG	5		5
WAT	1	2	3
TMK	1	2	3
SCU	4		4
SSB	4	1	5
VFF	1		1
HLX		1	1
CAPL	12	2	14
MEDP	5		5
NUE	5	1	6
BLK	26	12	38
JETS	1	1	2
RAD	1		1
FEI	1		1
PNW	3		3
VAR	3	1	4
BPL		9	9
DCI	4		4
NUAN	2	2	4
RNLSY	1		1
LOPE	2		2
RBCAA	2		2
VRT	6		6
FFRHX	1		1
LDR		1	1
NDSN		1	1
LBRDK	3		3
FMX	7		7
IWN	14	1	15
EPOKY	5		5
CHH	1		1
SPN	1		1
MBXIX		4	4
DOCU	5	2	7
AIR	1		1
COO	1		1
KWEB		2	2
ABB	8	1	9
INO	1		1
IEMG	3		3
CHWY	17		17
XCAPX		2	2
CNK	2		2
EVR		1	1
BXMT	4		4
ROLL	3	1	4
PAHC	2		2
WORK	4		4
CMRE		4	4
NSANY	1		1
ZMH		2	2
FTQGX	1		1
AR		1	1
DGX	6	2	8
SHYF	1		1
DISH		9	9
XLU		2	2
WLTL	1		1
SHECY		1	1
PIMIX	3		3
IBDP	1		1
GIS	9	13	22
CHUY	3		3
IRM	13	4	17
APD	21	3	24
AMTD	5		5
NTLA	8	3	11
LULU	8	2	10
SNA	1	3	4
PPL	11	4	15
FSD	2		2
TLSYY	1		1
FTDR	3		3
RBLX	16		16
ROL	2		2
IAC	1		1
GOOGL	43	11	54
MJNA	1		1
PSMMY	1		1
MET	19	9	28
URBN		65	65
SLAB	2		2
PVH	1		1
HMN	9		9
DKNG	27		27
GILD	20	37	57
RF$A	1		1
APPL	9		9
PBF	4		4
WMT	33	43	76
TIF	1		1
SYF	8	4	12
ENGGY	1		1
IT	9		9
ACSAY	1		1
RGA	2		2
BCPC	3	1	4
ITUB	10		10
MSB	1		1
USMC	9		9
AVVIY	1		1
PG	33	44	77
VTRS	12	1	13
BYND	10	7	17
MAIN	1		1
V	62	20	82
ESV		2	2
SSL	5		5
IVV	4	2	6
PB	1		1
GGSM		1	1
BRK.A	2		2
GAN		1	1
JIH	13		13
UTG	2		2
MLPRX		1	1
BDN	3		3
ALFVY	5		5
JBAXY	1		1
ICSH	1		1
BGSIX	1		1
3V64.TI		2	2
POAHY	1		1
DOX	3		3
YTRA	1		1
KNX		1	1
WSC	4		4
GCGMF	1		1
PDBC	1		1
AWK	4	1	5
W	17	5	22
POWI	3	1	4
M	4	16	20
RQI	2		2
ICLR	3		3
ETWO.W	1		1
FBC	2		2
VFC	7	17	24
AFRM	3		3
FINX	1	2	3
TRV	12	6	18
LYB	4	4	8
ORCL	14	19	33
ALE		1	1
FSSAX	1		1
NSP	5		5
ADP	2	9	11
TRIP	2	5	7
XNGSY	3		3
TMUS	21	3	24
DRI	5	2	7
TD		1	1
STAG	2	2	4
ARCB	1		1
VVNT	1		1
TECH	1	1	2
FOX		11	11
AMH	2		2
CNP	4		4
GLIBA	2		2
NFLX	40	78	118
TWX		6	6
URGO	2		2
RYT		1	1
KPELY	1		1
CHRW	1	3	4
BOX		3	3
VXX	4		4
NVS	17	9	26
CXW	2		2
GME	1	4	5
CCK	2		2
WB2.SG	2		2
DPS		1	1
ADS	6		6
UTHR	1		1
CENT	7		7
PNR	2		2
VIASP	1		1
SNY	1	2	3
YHOO		1	1
SHAK	3		3
CW	9		9
WCMIX	2	1	3
WDAY	3	4	7
RIG		1	1
XLS-WI		6	6
MAR	8	5	13
POR	6		6
K	5	6	11
WOOF		10	10
SFE	12		12
VDC	10	1	11
LEVI	2		2
AAPl	4		4
VGR		1	1
SUN		7	7
MFG	2		2
VAIAF	1		1
HYH		22	22
NVT	4		4
RHT		7	7
TS	2		2
CDLX		4	4
PK	2		2
EOG	4		4
PKCOY	2		2
AGESY	2		2
KRE	6		6
CVX	45	38	83
LII	1		1
FDX	35	41	76
XP	2		2
DIV	1		1
KYCCF		2	2
TSS	1		1
ENV	3		3
DENN	1		1
FFHRX	1		1
ZM	13	2	15
LDNXF	7		7
PGH		1	1
IBKR	1		1
AHT	1		1
KSU		5	5
DIN	5		5
VSI		1	1
TPCO	2		2
TRP	1	20	21
SCHD	2		2
STWD	1		1
ILPT	4		4
VRNS	1		1
SFY	1		1
ACCYY	1		1
INFO	20		20
KAR		2	2
ABT	27	14	41
UTGN	1		1
FFBC		1	1
PAGS	3	1	4
BXP	4		4
LSCC		5	5
MSTR	1		1
HIPO	1		1
CNI	6		6
NVCR	3		3
CHX	4		4
AWI	3		3
FLMVX		1	1
FMC	2		2
SAP	11	1	12
GFL	3		3
FIMKX		3	3
SLYV	1		1
AIG	12	13	25
TLND	1		1
DWAHY	1		1
APEN	1		1
XON		4	4
PFPT	2		2
SBIO		4	4
CWEN	2	1	3
HAL	1	7	8
BAT-USD	1		1
BRKS	5		5
HAS	2	7	9
AAL	31	6	37
ERIC	5	1	6
SIL		2	2
EAF		7	7
CVG		1	1
YEXT	3		3
GO	4		4
NWE	1		1
PBH		1	1
LQDT		4	4
AER	1		1
ORCC	4		4
GTN	1		1
TTEK	4		4
HLIO	3		3
MFGP	2		2
HNI		1	1
TJX	39	16	55
DORM	4		4
WLK	6	23	29
BOOM	2		2
HOG	2		2
COR	1	1	2
BTEC	1		1
PEB	5	1	6
QCOM	22	35	57
KMPR	4		4
IS	1		1
EV		3	3
COLD	11		11
WPC	4	3	7
SONVY	7		7
EXR		9	9
BNTGY	1		1
NVVE	8		8
SMECF		1	1
MSCI	18		18
ENTL		1	1
NATI	2		2
BRK	1		1
VNT	6		6
UNH	40	9	49
VEVIX		1	1
EOS-USD	1		1
RIVN	4		4
HTLD	2		2
AAN	2	18	20
ILMN	19	2	21
VGK		1	1
TF	2		2
^MWE		1	1
CF	4		4
AA	2	15	17
IYT		7	7
WAFD	2		2
FBND	1		1
FSLR	8		8
CHNG	1		1
FDIS	1		1
WASH		1	1
ED	5		5
ABALX	1		1
SLY		1	1
DVMT		3	3
VSMIX		1	1
BRKR	2	1	3
NOC	10	16	26
ITCI	1		1
ACAD	1		1
TRGIX	1		1
IRTC	1		1
INTL	1		1
BSTZ		6	6
MAA	2		2
L	7		7
BABA	67	25	92
ALLE	4	1	5
IBTH	1		1
ANWPX	1		1
DFRG		1	1
FCEL	12		12
ZIOP		1	1
QLEIX		2	2
NXPI	8	6	14
OCFC	3		3
CHCO		1	1
SYPR	1		1
EA	6	2	8
VIVO	2		2
BEAV		3	3
MS	27	3	30
GLOB	2		2
RF	3	33	36
ACSDX		1	1
DBD	2		2
EQM		5	5
OLP	12		12
RCKY	2		2
PGR	27	2	29
STX	3	3	6
TRNO	9		9
OWSOX	2		2
CMCSA	41	21	62
SXT		1	1
CRWD	18	4	22
BURBY	1		1
IEX		3	3
NIO	3		3
XYL	5		5
USB	25	21	46
DLB	1		1
EFG	2		2
CUK	1		1
PSXP	4	4	8
WFC	41	49	90
EMR	17	21	38
GBX	1		1
DMRC	1		1
HBI	3	42	45
WBK	3		3
MARA	1		1
CTVA	4	4	8
HACK	1	4	5
HCA	10	1	11
NVEE	7		7
SGEN	4		4
CALX		10	10
PPRUY	1		1
HP	3		3
MO	22	7	29
GPS	1		1
CCOI	1		1
IONS	2	1	3
CLB		1	1
AZSEY	3		3
AVGO	12	7	19
ROAD		1	1
HUM	10		10
YETI	6		6
CLF	4	21	25
MTCH	19	3	22
SBGI		1	1
ROST	7	4	11
COUP	1	4	5
HTHIY	1		1
ABMD	9		9
ETHE		1	1
CMLTU	1		1
VCRA	2		2
WFC$V	2		2
SMEZ		1	1
AEIS	3		3
HPP	2		2
VMN	1		1
HAE	10		10
VAC	1	3	4
IBTJ	1		1
MAC	2		2
PRA	3	1	4
AFTPY	1		1
CMO	1	1	2
CTL	4	2	6
XRAY	3	1	4
IWD		2	2
BAYRY	3		3
GM	17	43	60
SBUX	52	38	90
MAYHX	1		1
AMT	12	12	24
TCP		3	3
GHC	2		2
PTEN	1	1	2
NLY	1		1
SKFRY	1		1
AHEXY	1		1
MKL	13		13
DIAL	4		4
FTEC	1		1
MOS	8	38	46
KO	34	21	55
PKI	2	11	13
RBA	7	1	8
ICFI	2		2
FVADX	1		1
PRJAX		1	1
PACW	1	1	2
AMBA	3		3
SBUX.SW		1	1
LTD	3		3
BREW	1		1
CGNT		4	4
LUMN	6		6
CDAY	4		4
BSX	37		37
ESGU	2		2
PANW	2	7	9
STI		2	2
XSLV		2	2
DISCK	1	1	2
HSIC	4	2	6
MCHP	4	6	10
SRVR		3	3
PMUPX	1		1
LINE		1	1
LVLT		1	1
CVET	12	1	13
AMZN	93	54	147
EXP		1	1
ETN	21	11	32
SOUHY		1	1
FANG	3	1	4
AROC	2		2
MASI	2	1	3
OFC		3	3
QS	3		3
RYCEY	1		1
PGX	1		1
NI	4		4
HUBG		1	1
STE	2	1	3
MDT	23	14	37
IYZ	1		1
SLG	1		1
MITSY	1		1
EQNR	2		2
VIOT	1		1
DUK	16	4	20
CBT		1	1
GDV		3	3
TT	15	2	17
SCHN	1		1
FISI	1		1
CYS		1	1
KORS		10	10
USMV	1		1
CSIQ	1		1
JNJ	57	25	82
ETFC	1		1
CTAA		2	2
ESLOY		1	1
MGEMX		1	1
SRNE	2		2
SKX	5		5
DB	1		1
NGL	37		37
BGS		3	3
HEI	1	1	2
TM	2	1	3
DXCM	8	1	9
CWB	4		4
TUP		3	3
FVD	1		1
ZBRA	12		12
ACM	1		1
LMGEX		1	1
FLS	2		2
WTFC	1		1
LBRDA	9		9
SOMMY	1		1
LRCX	9	8	17
TCS		5	5
NEO	3		3
VOX	1		1
CASY		1	1
KR	22	33	55
AL	1	1	2
ASXC	2		2
SWI		1	1
KEYS	3	4	7
FUND	2		2
ESRX		11	11
VALE	1		1
CRM	34	8	42
OMCL	1	1	2
ICUI	6	1	7
BBVSX	1		1
SH	35	6	41
TRUP	9		9
7XY	1		1
AMED	3		3
CTBI	1	1	2
HUB-B		1	1
FPEI	1		1
SMHLX	1		1
PTON	14	1	15
FDS	1	1	2
R	7		7
SNN	2		2
GT	3		3
XLM-USD	2		2
TDG	7	2	9
ATRO		1	1
MORN	1		1
MANLX	1		1
PCTY	7		7
IHG	1		1
BGFV	3		3
MDNDF	1		1
WBS	5		5
BOA	1		1
ALV		1	1
SPH	14		14
ACGL	6		6
TSCIX		1	1
ACB	2		2
BRHYX	1		1
MEOH	1		1
TIP	9		9
PPG	18	3	21
SABR	8	2	10
BOTZ		1	1
FNKO		4	4
TEAM	6		6
AMLP		4	4
UAL	10		10
OGFGF	1		1
MXIM		3	3
FBGRX	1		1
CTRCF	2		2
CWH	1		1
ORAN	5		5
LPT	1		1
VPMAX		1	1
FLR	5	2	7
IGLB	2		2
OWCIX	1		1
NCR		1	1
EQIX	8		8
AI	3		3
AAl	1		1
BDC	2		2
IRET		2	2
EGHT	2		2
IWF	1	2	3
FHLC	1		1
CODYY	1		1
VRTU	4		4
WIN		1	1
MZOR	1		1
AXGN	2		2
LNG		8	8
CAT	18	21	39
FLT	8		8
NLG	1		1
SCCO		5	5
DGRS		2	2
SHW	16	2	18
AlGM	1		1
MSFT	216	81	297
SXYAY	1		1
BIAWX	2		2
FL4.SG		1	1
QDEL	13		13
JGCCF	1		1
H	4		4
SGY		1	1
HYDB	1		1
MGPI	1		1
CIM	1		1
CHGCY	8		8
REGL	2		2
MSI	5		5
ROG	4		4
ARNC	2		2
WK	1		1
WJRYY	1		1
NPK		1	1
WMB	13	26	39
CDW	5		5
ADSK	7		7
LIN	16	2	18
FNRVGX	1		1
EQUIX	1		1
RNWK		5	5
ZNGA	3	4	7
FLXN	2		2
VOPKY	2		2
AET		1	1
DAIUF	13		13
CGNX	10	3	13
SPR	3		3
TDXX	1		1
BWA	3	1	4
35G.SG	2		2
VMC	5	5	10
HCSG	2	1	3
SCHW	28	1	29
CENTA	3		3
CRARY	1		1
HPQ	6	2	8
MGRC		1	1
RSG	7		7
SERV	1		1
AVNS	1		1
SLB	18	29	47
BATRA	1		1
GAS		1	1
BBT		2	2
CHL	9	3	12
NICE	3	2	5
SWK	14		14
RGC		2	2
CMLFU	5		5
TGT	19	14	33
IAU	10		10
ASIX		4	4
PSB	1		1
CNSL		1	1
WIX	2		2
CELC	3		3
LW	10	2	12
SVNLY	2		2
UHG	4		4
