ticker,2018,2019,2020,2021
BKNG,0,1,19,15
BKR,0,0,2,4
BKU,0,3,0,0
BL,0,0,0,1
BLDP,0,0,2,4
BLDR,0,0,3,1
BLDr,0,0,0,1
BLFSD,0,1,0,0
BLK,0,3,13,10
BLKB,0,0,0,1
BLL,0,0,8,7
BLUE,0,0,4,0
BMRN,0,2,3,1
BMY,0,1,15,2
BNDX,0,0,1,0
BNS,0,0,0,1
BNTGY,0,0,1,0
BOA,0,0,0,1
BOH,0,0,1,1
BOOM,0,2,0,0
BOOT,0,0,2,1
BOWX,0,0,0,2
BP,0,1,5,5
BP PLC,0,0,0,1
BPHSPX,0,0,0,1
BPMP,0,0,0,7
BR,0,0,4,0
BRBR,0,1,0,0
BREW,0,0,1,0
BRHYX,0,0,0,1
BRK,0,0,1,0
BRK.A,0,2,0,0
BRK.B,0,3,39,50
BRKB,0,0,0,2
BRKR,0,1,1,0
BRKS,0,0,2,3
BROS,0,0,0,5
BRP,0,0,0,3
BRX,0,0,0,2
BSIIX,0,0,0,1
BSIXX,0,0,0,2
BSX,0,0,18,19
BTC-USD,0,0,0,2
BTEC,0,0,0,1
BTI,0,2,2,0
BTLCY,0,0,1,0
BTZ,0,0,1,0
BUD,0,0,3,1
BURBY,0,0,1,0
BURL,0,2,2,4
BVALX,0,0,1,0
BWA,0,0,1,2
BWXT,0,0,0,1
BX,0,0,19,9
BXMDX,0,0,1,0
BXMT,0,0,2,2
BXP,0,0,4,0
BXS,0,9,7,0
BXS$A,0,0,6,2
BYD,0,0,1,0
BYND,0,5,5,0
Broadcom Inc.,0,0,0,1
C,0,2,18,11
CACI,0,0,5,4
CAG,0,0,3,0
CAH,0,0,1,0
CAJ,0,0,2,0
CAPL,0,0,2,10
CARG,0,0,0,3
CARR,0,0,8,7
CAT,0,0,5,13
CATM,0,0,4,0
CATY,0,2,2,0
CB,0,3,17,9
CBOE,0,0,4,5
CBRE,0,0,3,1
CBS,0,2,0,0
CCC,0,0,2,1
CCEP,0,0,4,4
CCI,0,0,9,10
CCK,0,0,0,2
CCL,0,1,7,7
CCLAY,0,0,1,0
CCMP,0,0,4,0
CCOI,0,1,0,0
CCS,0,2,0,0
CCXI,0,0,0,1
CCXX,0,0,2,0
CDAY,0,0,4,0
CDE,0,1,0,0
CDEV,0,1,0,1
CDK,0,0,3,1
CDNA,0,0,4,5
