ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BIN,0,0,0,0,1,0,0,0,0,0
BIO,0,0,0,1,0,0,0,0,0,1
BIV,0,0,0,0,0,0,0,1,0,0
BIVV,0,0,0,0,0,2,0,0,0,0
BK,0,0,0,6,0,0,0,2,1,2
BKE,0,0,0,0,0,0,0,0,0,1
BKEP,0,0,0,0,0,0,0,0,0,1
BKNG,0,0,0,0,0,0,1,2,4,0
BLK,0,0,0,0,2,1,5,0,3,1
BLL,0,0,0,0,0,0,0,0,1,0
BMEZ,0,0,0,0,0,0,0,0,1,0
BMR,0,0,1,1,0,0,0,0,0,0
BMY,0,0,5,1,4,10,3,2,6,0
BNPQY,0,0,0,0,0,1,1,0,0,0
BOIVF,0,0,0,0,0,0,5,11,7,0
BOTZ,0,0,0,0,0,0,0,0,1,0
BOX,0,0,0,0,0,0,3,0,0,0
BP,0,0,0,0,0,0,0,1,6,0
BPL,0,0,0,1,1,1,0,6,0,0
BRK-B,0,0,0,0,3,2,4,2,10,1
BRK.B,0,0,0,0,0,0,0,0,0,2
BRKB,0,0,0,0,0,1,1,0,0,0
BRKR,0,0,0,0,0,0,0,0,1,0
BRY,0,0,0,0,0,0,0,0,1,0
BSTZ,0,0,0,0,0,0,0,4,2,0
BTC,0,0,0,0,0,0,0,0,0,1
BTE,0,0,1,0,0,0,0,0,0,0
BTF,0,0,1,0,0,0,0,0,0,0
BTO,0,0,0,0,0,1,1,0,0,0
BUD,0,0,3,0,0,2,6,0,0,0
BUNT,0,0,0,0,1,0,0,0,0,0
BUNT-RP,0,0,0,1,0,0,0,0,0,0
BWA,0,0,1,0,0,0,0,0,0,0
BWXT,0,0,0,0,0,0,12,27,0,0
BX,0,0,1,0,1,0,1,0,2,0
BYND,0,0,0,0,0,0,0,0,7,0
C,0,0,5,0,3,6,8,3,5,2
CAB,0,0,0,0,7,0,0,0,0,0
CABGY,0,0,0,0,0,1,0,1,0,0
CABO,0,0,0,0,0,0,0,0,0,1
CAG,0,0,0,0,0,1,0,1,1,2
CAH,0,0,0,0,0,0,0,0,3,0
CAIFX,0,0,0,0,0,0,0,0,1,0
CALX,0,0,0,0,0,0,0,0,0,10
CAPL,0,0,0,0,0,0,2,0,0,0
CARG,0,0,0,0,0,0,0,0,0,1
CARR,0,0,0,0,0,0,0,0,1,0
CASY,0,0,0,1,0,0,0,0,0,0
CAT,0,0,1,3,4,2,3,0,8,0
CB,0,0,0,0,4,2,4,0,2,0
CBS,0,0,0,13,0,0,7,7,0,0
CBT,0,0,1,0,0,0,0,0,0,0
CC,0,0,0,0,0,1,0,0,0,0
CCEP,0,0,0,0,0,0,0,0,0,1
CCI,0,0,0,0,0,4,0,2,0,0
CDK,0,0,1,0,0,0,0,0,0,0
CDLX,0,0,0,0,0,1,0,0,3,0
CE,0,0,0,0,0,0,0,1,0,1
CEA,0,0,1,0,0,0,0,0,0,0
CEF,0,0,0,0,0,0,0,1,5,0
CELG,0,0,7,3,4,5,6,2,0,0
CEM,0,0,0,0,0,0,0,0,0,1
CEQP,0,0,0,0,0,0,0,1,1,0
CERN,0,0,0,0,2,2,1,0,0,0
CFA,0,0,0,0,0,0,0,0,1,1
CFG,0,0,0,0,0,0,0,0,1,0
CFR,0,0,0,0,0,1,1,0,0,0
CG,0,1,0,0,0,0,0,0,0,0
CGNT,0,0,0,0,0,0,4,0,0,0
CGNX,0,0,0,1,0,0,0,1,1,0
CHCO,0,0,1,0,0,0,0,0,0,0
CHE,0,0,0,0,0,0,0,0,0,2
CHEF,0,0,0,1,0,0,0,0,0,0
CHK,0,0,0,1,1,0,1,0,0,0
CHKP,0,0,0,0,0,1,1,0,0,0
CHL,0,0,2,1,0,0,0,0,0,0
CHRW,0,0,0,0,1,2,0,0,0,0
CHTR,0,0,0,0,0,0,0,1,0,0
CI,0,0,0,0,0,0,0,0,0,2
CIBR,0,0,0,0,0,0,0,0,1,0
CIT,0,0,0,12,0,0,0,0,0,0
