ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AMH,0,0,0,0,0,0,0,2,0,0
AMJ,0,0,0,0,0,0,0,1,0,1
AMKBY,0,0,0,0,0,0,0,0,2,0
AMLP,0,0,3,0,0,0,0,0,1,0
AMN,0,0,0,0,0,0,0,0,13,0
AMP,0,0,0,0,0,0,0,0,3,0
AMRC,0,0,0,0,0,0,0,0,7,6
AMSG,0,0,0,1,0,0,0,0,0,0
AMT,0,0,4,0,1,3,0,3,8,5
AMTD,0,0,0,0,0,0,0,0,5,0
AMTX,0,0,0,0,0,0,0,0,0,6
AMWD,0,0,0,0,0,0,0,0,2,0
AMZA,0,0,0,0,0,0,0,0,1,1
AMZN,0,0,4,2,2,6,12,10,70,40
ANCX,0,0,0,0,0,1,0,1,0,0
ANDX,0,0,0,0,0,2,1,1,0,0
ANET,0,0,0,0,0,0,0,0,3,0
ANIK,0,0,0,0,0,0,0,3,3,0
ANSS,0,0,0,0,0,0,0,0,1,0
ANTM,0,0,0,1,0,0,0,3,9,4
ANWPX,0,0,0,0,0,0,0,0,0,1
ANY,0,0,0,0,0,0,0,0,1,0
ANZBY,0,0,0,0,0,0,0,0,2,0
AOBC,0,0,0,0,0,0,0,1,0,0
AON,0,0,0,0,0,0,1,0,5,9
AOS,0,0,0,0,0,0,0,3,1,0
AOSL,0,0,0,0,0,0,0,0,0,1
APA,0,0,1,0,0,2,0,0,0,0
APAM,0,0,0,0,0,0,0,0,0,1
APC,0,0,0,0,0,0,0,3,0,0
APCD,0,0,0,0,0,0,0,0,0,3
APD,0,0,0,0,0,0,2,0,10,12
APEN,0,0,0,0,0,0,0,0,1,0
APH,0,0,1,0,0,0,0,1,2,0
APHA,0,0,0,0,0,0,0,0,1,1
APLE,0,0,0,0,0,0,0,3,0,0
APNHY,0,0,0,0,0,0,0,1,0,0
APO,0,0,0,0,0,0,0,0,3,0
APPAD,0,0,0,0,0,0,0,0,1,1
APPL,0,0,0,0,0,0,0,0,5,4
APTV,0,0,0,0,0,0,4,0,3,1
AQB,0,0,0,0,0,0,0,0,0,1
AQFH,0,0,0,0,0,2,0,0,0,0
AQN,0,0,0,0,0,0,0,0,0,1
AQUA,0,0,0,0,0,0,0,0,3,2
AR,0,0,0,1,0,0,0,0,0,0
ARCB,0,0,0,0,0,0,0,0,0,1
ARCC,0,0,1,0,0,3,0,0,4,2
ARE,0,0,1,0,0,0,0,0,5,1
ARI,0,0,0,0,0,0,0,2,0,0
ARKG,0,0,0,0,0,0,0,0,1,1
ARKK,0,0,0,0,0,0,0,0,1,1
ARMK,0,0,0,0,0,0,0,0,3,1
ARNA,0,0,0,0,0,0,0,0,7,1
ARNC,0,0,0,0,0,0,0,0,2,0
AROC,0,0,0,0,0,0,0,0,2,0
AROW,0,0,0,0,0,0,0,0,1,0
ARR,0,0,0,0,0,0,0,1,0,0
ARW,0,0,0,1,0,1,0,0,0,1
ASGN,0,0,0,0,0,0,0,0,2,0
ASIX,0,0,0,0,4,0,0,0,0,0
ASMB,0,0,0,0,0,0,0,0,1,1
ASML,0,0,0,0,0,1,0,1,4,7
