official,ticker,tdate_purch_og,tdate_purch_edited,0. one_week,profit one_week,1. two_weeks,profit two_weeks,2. four_weeks,profit four_weeks,3. eight_weeks,profit eight_weeks,4. sixteen_weeks,profit sixteen_weeks,5. thirty_two_weeks,profit thirty_two_weeks,6. year,profit year
"Yarmuth, John A.",SPGI,2020/07/01,2020/07/01,2020/07/08,0.0531,2020/07/15,0.0639,2020/07/29,0.0653,2020/08/26,0.0899,2020/10/21,0.0258,2021/02/10,0.004,2021/06/30,0.233
"Green, Mark",PBFX,2020/11/09,2020/11/09,2020/11/16,0.0362,2020/11/23,0.1273,2020/12/07,0.2167,2021/01/04,0.1298,2021/03/01,0.5009,2021/06/21,0.8196,2021/11/08,0.6608
"Foxx, Virginia",CVI,2020/03/10,2020/03/10,2020/03/17,-0.1193,2020/03/24,-0.2001,2020/04/07,-0.1555,2020/05/05,0.0946,2020/06/30,-0.0584,2020/10/20,-0.4334,2021/03/09,0.1516
"Gianforte, Greg",NVEE,2020/03/11,2020/03/11,2020/03/18,-0.2594,2020/03/25,-0.2508,2020/04/08,-0.0793,2020/05/06,0.0,2020/07/01,0.1341,2020/10/21,0.3479,2021/03/10,1.4104
"Roberts, Pat",ZNGA,2014/11/07,2014/11/07,2014/11/14,0.0833,2014/11/21,0.0734,2014/12/05,0.006,2015/01/02,0.0675,2015/02/27,-0.0893,2015/06/19,0.1905,2015/11/06,0.0099
"Perdue Jr., David A.",URBN,2017/06/23,2017/06/23,2017/06/30,0.0595,2017/07/07,0.0389,2017/07/21,0.0232,2017/08/18,0.0955,2017/10/13,0.2895,2018/02/02,0.8859,2018/06/22,1.6344
"Perdue Jr., David A.",VIAC,2020/02/26,2020/02/26,2020/03/04,-0.0895,2020/03/11,-0.2168,2020/03/25,-0.3987,2020/04/22,-0.3946,2020/06/17,-0.0576,2020/10/07,0.1431,2021/02/24,1.569
"Cisneros, Gilbert",ADBE,2020/12/31,2020/12/31,2021/01/07,-0.0479,2021/01/14,-0.0601,2021/01/28,-0.0617,2021/02/25,-0.0635,2021/04/22,0.0214,2021/08/12,0.2663,2021/12/30,0.1501
"Hill, James F.",AAWW,2019/12/19,2019/12/19,2019/12/26,-0.0081,2020/01/02,-0.0011,2020/01/16,0.0188,2020/02/13,-0.0287,2020/04/09,-0.0801,2020/07/30,0.8464,2020/12/17,1.0009
"Phillips, Dean",DISCA,2020/04/02,2020/04/02,2020/04/09,0.1618,2020/04/16,0.0971,2020/04/30,0.1999,2020/05/28,0.1633,2020/07/23,0.1057,2020/11/12,0.1444,2021/04/01,1.2451
"Perdue Jr., David A.",CTSH,2017/06/20,2017/06/20,2017/06/27,-0.0039,2017/07/04,-0.0099,2017/07/18,0.0197,2017/08/15,0.0644,2017/10/10,0.0964,2018/01/30,0.1598,2018/06/19,0.1743
"Perdue Jr., David A.",BAX,2015/08/24,2015/08/24,2015/08/31,0.0732,2015/09/07,0.0164,2015/09/21,0.0083,2015/10/19,-0.0575,2015/12/14,0.0146,2016/04/04,0.1654,2016/08/22,0.3298
"Gianforte, Greg",KUBTY,2020/01/13,2020/01/13,2020/01/20,0.041,2020/01/27,0.0174,2020/02/10,0.0435,2020/03/09,-0.1955,2020/05/04,-0.2265,2020/08/24,0.0853,2021/01/11,0.4153
"Cisneros, Gilbert",ON,2020/03/18,2020/03/18,2020/03/25,0.4762,2020/04/01,0.2047,2020/04/15,0.411,2020/05/13,0.517,2020/07/08,1.0439,2020/10/28,1.5577,2021/03/17,3.2768
"Phillips, Dean",PBCT,2020/04/02,2020/04/02,2020/04/09,0.1415,2020/04/16,0.0163,2020/04/30,0.2161,2020/05/28,0.1458,2020/07/23,0.1205,2020/11/12,0.1735,2021/04/01,0.7094
"Green, Mark",SRLP,2020/09/16,2020/09/16,2020/09/23,-0.023,2020/09/30,-0.0097,2020/10/14,0.0013,2020/11/11,0.0503,2021/01/06,0.3372,2021/04/28,0.5677,2021/09/15,0.1723
"Gianforte, Greg",UPLD,2020/04/08,2020/04/08,2020/04/15,-0.0057,2020/04/22,0.0355,2020/05/06,0.0588,2020/06/03,0.2844,2020/07/29,0.2333,2020/11/18,0.5313,2021/04/07,0.6583
"Collins, Susan M.",AMT,2014/07/23,2014/07/23,2014/07/30,0.0268,2014/08/06,0.0215,2014/08/20,0.0576,2014/09/17,0.0291,2014/11/12,0.0675,2015/03/04,0.0562,2015/07/22,0.0395
"Perdue Jr., David A.",PG,2018/01/24,2018/01/24,2018/01/31,-0.0282,2018/02/07,-0.0975,2018/02/21,-0.0851,2018/03/21,-0.135,2018/05/16,-0.1596,2018/09/05,-0.0648,2019/01/23,0.0745
"Cassidy, William",JNJ,2020/03/09,2020/03/09,2020/03/16,-0.067,2020/03/23,-0.1755,2020/04/06,0.0012,2020/05/04,0.0905,2020/06/29,0.0156,2020/10/19,0.0672,2021/03/08,0.1483
"Green, Mark",GLP,2020/08/06,2020/08/06,2020/08/13,-0.0458,2020/08/20,-0.037,2020/09/03,-0.0842,2020/10/01,-0.0329,2020/11/26,0.269,2021/03/18,0.6933,2021/08/05,0.9224
"Green, Mark",PBFX,2020/08/12,2020/08/12,2020/08/19,-0.0229,2020/08/26,-0.0849,2020/09/09,-0.2129,2020/10/07,-0.1932,2020/12/02,-0.123,2021/03/24,0.2194,2021/08/11,0.1551
"Green, Mark",WES,2020/07/08,2020/07/08,2020/07/15,-0.0095,2020/07/22,0.0986,2020/08/05,-0.0338,2020/09/02,-0.058,2020/10/28,-0.1171,2021/02/17,0.7916,2021/07/07,1.2373
"McCaul, Michael T.",NFG,2020/11/03,2020/11/03,2020/11/10,-0.0276,2020/11/17,0.0251,2020/12/01,-0.0053,2020/12/29,0.0046,2021/02/23,0.1019,2021/06/15,0.3188,2021/11/02,0.4069
"Collins, Susan M.",COP,2014/04/17,2014/04/17,2014/04/24,0.001,2014/05/01,0.0063,2014/05/15,0.0523,2014/06/12,0.1141,2014/08/07,0.0789,2014/11/27,-0.0987,2015/04/16,-0.0708
"McKinley, David B.",SBUX,2020/04/30,2020/04/30,2020/05/07,-0.0224,2020/05/14,-0.0516,2020/05/28,0.0338,2020/06/25,-0.0429,2020/08/20,0.0084,2020/12/10,0.3665,2021/04/29,0.4913
"Lee, Susie",MAT,2020/12/08,2020/12/08,2020/12/15,0.0613,2020/12/22,0.1244,2021/01/05,0.1089,2021/02/02,0.1609,2021/03/30,0.272,2021/07/20,0.2212,2021/12/07,0.3818
"Perdue Jr., David A.",HYH,2016/02/05,2016/02/05,2016/02/12,-0.0532,2016/02/19,0.028,2016/03/04,0.1366,2016/04/01,0.159,2016/05/27,0.229,2016/09/16,0.395,2017/02/03,0.5991
"Courtney, Joe",PEP,2020/03/18,2020/03/18,2020/03/25,-0.0583,2020/04/01,-0.0146,2020/04/15,0.1233,2020/05/13,0.1012,2020/07/08,0.1092,2020/10/28,0.1249,2021/03/17,0.1095
"Toomey, Patrick J.",AAPL,2020/08/27,2020/08/27,2020/09/03,-0.0079,2020/09/10,-0.0729,2020/09/24,-0.1435,2020/10/22,-0.0744,2020/12/17,0.0251,2021/04/08,0.0302,2021/08/26,0.1803
"Perdue Jr., David A.",BAC,2018/10/15,2018/10/15,2018/10/22,-0.0107,2018/10/29,-0.0496,2018/11/12,-0.0018,2018/12/10,-0.1198,2019/02/04,0.0201,2019/05/27,-0.0023,2019/10/14,0.029
"Perdue Jr., David A.",STT,2019/08/07,2019/08/07,2019/08/14,-0.04,2019/08/21,-0.0287,2019/09/04,-0.03,2019/10/02,0.0734,2019/11/27,0.4377,2020/03/18,-0.1142,2020/08/05,0.269
"Green, Mark",GLP,2020/07/02,2020/07/02,2020/07/09,-0.0274,2020/07/16,-0.0385,2020/07/30,-0.0532,2020/08/27,0.283,2020/10/22,0.4503,2021/02/11,0.9802,2021/07/01,1.6273
"Marchant, Kenny",LNT,2020/11/19,2020/11/19,2020/11/26,0.0032,2020/12/03,0.006,2020/12/17,-0.0184,2021/01/14,-0.0913,2021/03/11,-0.0493,2021/07/01,0.059,2021/11/18,0.0505
"Gottheimer, Josh",ABEV,2020/07/16,2020/07/16,2020/07/23,0.0657,2020/07/30,0.1069,2020/08/13,-0.06,2020/09/10,-0.1107,2020/11/05,-0.1051,2021/02/25,-0.0038,2021/07/15,0.2871
"Hoeven, John",LYB,2017/05/17,2017/05/17,2017/05/24,0.004,2017/05/31,-0.0176,2017/06/14,0.0056,2017/07/12,0.0485,2017/09/06,0.1127,2017/12/27,0.3484,2018/05/16,0.4125
"McCaul, Michael T.",PLXS,2020/11/18,2020/11/18,2020/11/25,0.0125,2020/12/02,-0.0121,2020/12/16,0.0472,2021/01/13,0.1189,2021/03/10,0.1681,2021/06/30,0.1948,2021/11/17,0.1967
"Whitehouse, Sheldon",ADI,2017/02/10,2017/02/10,2017/02/17,0.0765,2017/02/24,0.067,2017/03/10,0.0892,2017/04/07,0.052,2017/06/02,0.0639,2017/09/22,0.1094,2018/02/09,0.0867
"Phillips, Dean",M,2020/04/02,2020/04/02,2020/04/09,0.4232,2020/04/16,0.2017,2020/04/30,0.21,2020/05/28,0.512,2020/07/23,0.3699,2020/11/12,0.4869,2021/04/01,2.3166
"Roberts, Pat",NFLX,2017/07/31,2017/07/31,2017/08/07,-0.0116,2017/08/14,-0.0667,2017/08/28,-0.0857,2017/09/25,-0.0037,2017/11/20,0.0563,2018/03/12,0.7849,2018/07/30,0.8764
"Perdue Jr., David A.",EPD,2016/02/01,2016/02/01,2016/02/08,-0.0815,2016/02/15,-0.0793,2016/02/29,-0.0079,2016/03/28,0.0407,2016/05/23,0.1668,2016/09/12,0.1491,2017/01/30,0.2184
"Shalala, Donna",TSM,2019/02/15,2019/02/15,2019/02/22,0.0307,2019/03/01,0.0337,2019/03/15,0.0437,2019/04/12,0.1153,2019/06/07,0.0185,2019/09/27,0.2038,2020/02/14,0.537
"Reed, John F.",DHR,2016/12/14,2016/12/14,2016/12/21,-0.0053,2016/12/28,-0.0071,2017/01/11,0.0276,2017/02/08,0.0483,2017/04/05,0.0881,2017/07/26,0.0373,2017/12/13,0.1893
"Gianforte, Greg",CRZBY,2020/11/13,2020/11/13,2020/11/20,0.0069,2020/11/27,0.1064,2020/12/11,0.0584,2021/01/08,0.1519,2021/03/05,0.1227,2021/06/25,0.2918,2021/11/12,0.3717
"Welch, Peter",PYPL,2020/03/20,2020/03/20,2020/03/27,0.0424,2020/04/03,0.0021,2020/04/17,0.2178,2020/05/15,0.576,2020/07/10,0.9713,2020/10/30,1.0733,2021/03/19,1.6325
"Perdue Jr., David A.",UHAL,2020/03/18,2020/03/18,2020/03/25,0.0739,2020/04/01,0.0716,2020/04/15,0.003,2020/05/13,0.1203,2020/07/08,0.1539,2020/10/28,0.3626,2021/03/17,1.3678
"Perdue Jr., David A.",GM,2016/04/14,2016/04/14,2016/04/21,0.0679,2016/04/28,0.0449,2016/05/12,0.007,2016/06/09,-0.0491,2016/08/04,-0.0151,2016/11/24,0.1063,2017/04/13,0.0906
"Beyer, Donald S.",NKE,2020/11/17,2020/11/17,2020/11/24,0.0324,2020/12/01,0.0365,2020/12/15,0.0572,2021/01/12,0.1128,2021/03/09,0.0449,2021/06/29,0.1819,2021/11/16,0.3116
"Hern, Kevin",EXAS,2020/07/27,2020/07/27,2020/08/03,-0.0019,2020/08/10,-0.1021,2020/08/24,-0.1506,2020/09/21,-0.2134,2020/11/16,0.2974,2021/03/08,0.2602,2021/07/26,0.2035
"Cisneros, Gilbert",IDXX,2020/04/09,2020/04/09,2020/04/16,0.0202,2020/04/23,0.0543,2020/05/07,0.1329,2020/06/04,0.2212,2020/07/30,0.4335,2020/11/19,0.7562,2021/04/08,0.9326
"Cassidy, William",LOW,2016/10/31,2016/10/31,2016/11/07,0.0099,2016/11/14,0.0508,2016/11/28,0.0748,2016/12/26,0.0851,2017/02/20,0.1546,2017/06/12,0.181,2017/10/30,0.1977
"Wyden, Ronald L.",UPS,2020/08/19,2020/08/19,2020/08/26,-0.0122,2020/09/02,0.0207,2020/09/16,0.016,2020/10/14,0.0871,2020/12/09,0.047,2021/03/31,0.0524,2021/08/18,0.2252
"Cisneros, Gilbert",CFG,2020/03/18,2020/03/18,2020/03/25,0.1121,2020/04/01,0.0789,2020/04/15,0.1726,2020/05/13,0.2015,2020/07/08,0.453,2020/10/28,0.6247,2021/03/17,1.7659
"Whitehouse, Sheldon",AXP,2014/07/29,2014/07/29,2014/08/05,-0.0589,2014/08/12,-0.0542,2014/08/26,-0.0257,2014/09/23,-0.034,2014/11/18,-0.0151,2015/03/10,-0.1366,2015/07/28,-0.184
"Perdue Jr., David A.",HYH,2016/02/09,2016/02/09,2016/02/16,-0.0002,2016/02/23,0.0672,2016/03/08,0.1462,2016/04/05,0.1688,2016/05/31,0.2818,2016/09/20,0.419,2017/02/07,0.6544
"McKinley, David B.",GOOGL,2020/03/09,2020/03/09,2020/03/16,-0.0972,2020/03/23,-0.153,2020/04/06,-0.0551,2020/05/04,0.0692,2020/06/29,0.122,2020/10/19,0.2677,2021/03/08,0.6807
"Capito, Shelley M.",NSRGY,2017/09/05,2017/09/05,2017/09/12,0.0023,2017/09/19,0.0013,2017/10/03,0.0101,2017/10/31,-0.0059,2017/12/26,0.0016,2018/04/17,-0.0782,2018/09/04,-0.0233
"Lee, Susie",TFX,2020/12/03,2020/12/03,2020/12/10,0.0068,2020/12/17,0.0479,2020/12/31,0.0689,2021/01/28,-0.0056,2021/03/25,0.0591,2021/07/15,-0.0018,2021/12/02,-0.2242
"Perdue Jr., David A.",DIS,2016/12/01,2016/12/01,2016/12/08,0.0356,2016/12/15,0.0559,2016/12/29,0.0518,2017/01/26,0.0919,2017/03/23,0.1324,2017/07/13,0.0555,2017/11/30,0.0595
"Moran, Jerry",HAL,2020/03/10,2020/03/10,2020/03/17,-0.3055,2020/03/24,-0.2603,2020/04/07,-0.0371,2020/05/05,0.189,2020/06/30,0.4655,2020/10/20,0.48,2021/03/09,1.7699
"Perdue Jr., David A.",DISCA,2015/08/12,2015/08/12,2015/08/19,0.0047,2015/08/26,-0.086,2015/09/09,-0.0522,2015/10/07,-0.0272,2015/12/02,0.0672,2016/03/23,-0.0178,2016/08/10,-0.1033
"Banks, James E.",F,2020/09/01,2020/09/01,2020/09/08,0.0287,2020/09/15,0.0434,2020/09/29,-0.0258,2020/10/27,0.1766,2020/12/22,0.3054,2021/04/13,0.8065,2021/08/31,0.9183
"Axne, Cynthia",UL,2020/01/28,2020/01/28,2020/02/04,0.0178,2020/02/11,0.0342,2020/02/25,-0.0281,2020/03/24,-0.2082,2020/05/19,-0.131,2020/09/08,0.0133,2021/01/26,0.0316
"Perdue Jr., David A.",FEYE,2018/06/22,2018/06/22,2018/06/29,-0.0531,2018/07/06,-0.0288,2018/07/20,0.0374,2018/08/17,-0.1212,2018/10/12,0.0181,2019/02/01,0.0966,2019/06/21,-0.0991
"Phillips, Dean",MDLZ,2020/09/23,2020/09/23,2020/09/30,0.0291,2020/10/07,0.0105,2020/10/21,0.0268,2020/11/18,0.0528,2021/01/13,0.0345,2021/05/05,0.0981,2021/09/22,0.0939
"Perdue Jr., David A.",AAPL,2016/02/16,2016/02/16,2016/02/23,-0.0019,2016/03/01,0.0351,2016/03/15,0.0919,2016/04/12,0.145,2016/06/07,0.0387,2016/09/27,0.178,2017/02/14,0.4016
"Cisneros, Gilbert",WBA,2020/09/16,2020/09/16,2020/09/23,-0.0123,2020/09/30,-0.0036,2020/10/14,0.0049,2020/11/11,0.1657,2021/01/06,0.1829,2021/04/28,0.4596,2021/09/15,0.3628
"Capito, Shelley M.",CLX,2018/04/05,2018/04/05,2018/04/12,-0.0306,2018/04/19,-0.0635,2018/05/03,-0.0943,2018/05/31,-0.05,2018/07/26,0.0181,2018/11/15,0.2307,2019/04/04,0.2138
"Capito, Shelley M.",CL,2018/04/24,2018/04/24,2018/05/01,-0.0206,2018/05/08,-0.0547,2018/05/22,-0.0569,2018/06/19,-0.0343,2018/08/14,-0.0103,2018/12/04,-0.0389,2019/04/23,0.0444
"Phillips, Dean",BSX,2020/08/10,2020/08/10,2020/08/17,0.0121,2020/08/24,-0.0069,2020/09/07,0.0511,2020/10/05,0.0009,2020/11/30,-0.145,2021/03/22,-0.0173,2021/08/09,0.1363
"Marchant, Kenny",CMG,2020/11/19,2020/11/19,2020/11/26,-0.0112,2020/12/03,0.0091,2020/12/17,0.0797,2021/01/14,0.0966,2021/03/11,0.1172,2021/07/01,0.1814,2021/11/18,0.375
"Roberts, Pat",TSLA,2020/12/11,2020/12/11,2020/12/18,0.0842,2020/12/25,0.0994,2021/01/08,0.4113,2021/02/05,0.3956,2021/04/02,0.1409,2021/07/23,0.0535,2021/12/10,0.6411
"Cisneros, Gilbert",KMX,2020/04/29,2020/04/29,2020/05/06,-0.0571,2020/05/13,-0.052,2020/05/27,0.1308,2020/06/24,0.1647,2020/08/19,0.3709,2020/12/09,0.204,2021/04/28,0.7169
"Murray, Patty",XOM,2017/03/16,2017/03/16,2017/03/23,-0.0012,2017/03/30,0.0118,2017/04/13,0.0026,2017/05/11,0.0057,2017/07/06,-0.0165,2017/10/26,0.0176,2018/03/15,-0.0901
"Gottheimer, Josh",PYPL,2020/09/25,2020/09/25,2020/10/02,0.0473,2020/10/09,0.0595,2020/10/23,0.1071,2020/11/20,0.0479,2021/01/15,0.3031,2021/05/07,0.3864,2021/09/24,0.5026
"Conaway, K. M.",DUK,2020/04/22,2020/04/22,2020/04/29,0.0018,2020/05/06,-0.0656,2020/05/20,-0.0437,2020/06/17,-0.0117,2020/08/12,-0.0359,2020/12/02,0.0626,2021/04/21,0.1563
"Rutherford, John",SFTBY,2020/03/18,2020/03/18,2020/03/25,0.2857,2020/04/01,0.1939,2020/04/15,0.3832,2020/05/13,0.5201,2020/07/08,0.9898,2020/10/28,1.3103,2021/03/17,2.3568
"Perdue Jr., David A.",UPS,2018/02/20,2018/02/20,2018/02/27,0.0155,2018/03/06,0.0255,2018/03/20,0.0278,2018/04/17,0.0357,2018/06/12,0.1209,2018/10/02,0.11,2019/02/19,0.0519
"Perdue Jr., David A.",CZR,2017/10/17,2017/10/17,2017/10/24,-0.0474,2017/10/31,-0.0416,2017/11/14,0.092,2017/12/12,0.262,2018/02/06,0.2658,2018/05/29,0.6773,2018/10/16,0.7595
"Murray, Patty",CCI,2017/03/16,2017/03/16,2017/03/23,0.0305,2017/03/30,0.055,2017/04/13,0.0733,2017/05/11,0.0544,2017/07/06,0.0969,2017/10/26,0.1624,2018/03/15,0.2337
"Green, Mark",CEQP,2020/10/22,2020/10/22,2020/10/29,-0.0711,2020/11/05,-0.0946,2020/11/19,0.0475,2020/12/17,0.2967,2021/02/11,0.3959,2021/06/03,0.9217,2021/10/21,0.9653
"Cisneros, Gilbert",T,2020/09/16,2020/09/16,2020/09/23,-0.0363,2020/09/30,-0.029,2020/10/14,-0.0551,2020/11/11,-0.021,2021/01/06,0.0121,2021/04/28,0.0578,2021/09/15,-0.0631
"Gianforte, Greg",WIX,2020/11/13,2020/11/13,2020/11/20,0.0316,2020/11/27,0.0214,2020/12/11,0.0601,2021/01/08,0.0424,2021/03/05,0.1948,2021/06/25,0.2157,2021/11/12,-0.213
"Green, Mark",SHLX,2020/08/10,2020/08/10,2020/08/17,-0.0209,2020/08/24,-0.068,2020/09/07,-0.1572,2020/10/05,-0.1914,2020/11/30,-0.1159,2021/03/22,0.0717,2021/08/09,0.0304
"Gottheimer, Josh",ALC,2020/06/03,2020/06/03,2020/06/10,-0.0418,2020/06/17,-0.0452,2020/07/01,-0.091,2020/07/29,-0.03,2020/09/23,-0.1119,2021/01/13,0.076,2021/06/02,0.0878
"Hern, Kevin",MSFT,2020/06/11,2020/06/11,2020/06/18,0.0227,2020/06/25,0.0373,2020/07/09,0.1205,2020/08/06,0.1207,2020/10/01,0.1139,2021/01/21,0.1752,2021/06/10,0.3386
"Roberts, Pat",SQ,2020/12/22,2020/12/22,2020/12/29,-0.0959,2021/01/05,-0.0627,2021/01/19,-0.0512,2021/02/16,0.1588,2021/04/13,0.1314,2021/08/03,0.1196,2021/12/21,-0.3089
"Peters, Gary C.",SPG,2016/12/30,2016/12/30,2017/01/06,0.046,2017/01/13,0.0368,2017/01/27,0.0192,2017/02/24,0.0344,2017/04/21,-0.0229,2017/08/11,-0.1058,2017/12/29,-0.033
"Shalala, Donna",ALLE,2019/02/06,2019/02/06,2019/02/13,0.0461,2019/02/20,-0.0236,2019/03/06,0.0095,2019/04/03,0.0505,2019/05/29,0.097,2019/09/18,0.1362,2020/02/05,0.5137
"Axne, Cynthia",FB,2019/01/18,2019/01/18,2019/01/25,-0.0153,2019/02/01,0.1122,2019/02/15,0.0817,2019/03/15,0.0967,2019/05/10,0.2446,2019/08/30,0.2302,2020/01/17,0.4713
"Capito, Shelley M.",MRK,2017/09/05,2017/09/05,2017/09/12,0.0249,2017/09/19,0.0335,2017/10/03,0.0062,2017/10/31,-0.1313,2017/12/26,-0.1152,2018/04/17,-0.0678,2018/09/04,0.0688
"Courtney, Joe",CB,2019/12/31,2019/12/31,2020/01/07,-0.0057,2020/01/14,-0.0279,2020/01/28,-0.0243,2020/02/25,0.0209,2020/04/21,-0.2799,2020/08/11,-0.1429,2020/12/29,-0.0228
"Inhofe, James M.",BLK,2017/10/17,2017/10/17,2017/10/24,-0.001,2017/10/31,-0.0082,2017/11/14,-0.019,2017/12/12,0.083,2018/02/06,0.0994,2018/05/29,0.1099,2018/10/16,-0.1391
"Lowenthal, Alan S.",PSQ,2020/07/01,2020/07/01,2020/07/08,-0.0361,2020/07/15,-0.0435,2020/07/29,-0.043,2020/08/26,-0.1461,2020/10/21,-0.1493,2021/02/10,-0.2829,2021/06/30,-0.3426
"Beyer, Donald S.",VZ,2020/02/18,2020/02/18,2020/02/25,-0.0112,2020/03/03,-0.0283,2020/03/17,-0.0824,2020/04/14,-0.0104,2020/06/09,-0.0092,2020/09/29,0.0173,2021/02/16,-0.0722
"Carper, Thomas R.",GLD,2020/11/20,2020/11/20,2020/11/27,-0.0493,2020/12/04,-0.02,2020/12/18,0.0032,2021/01/15,-0.0225,2021/03/12,-0.0879,2021/07/02,-0.0507,2021/11/19,-0.016
"Perdue Jr., David A.",DAL,2020/02/25,2020/02/25,2020/03/03,-0.0896,2020/03/10,-0.1718,2020/03/24,-0.4927,2020/04/21,-0.5584,2020/06/16,-0.3966,2020/10/06,-0.3966,2021/02/23,-0.1032
"Malinowski, Tom",APEN,2020/10/30,2020/10/30,2020/11/06,0.0972,2020/11/13,0.2194,2020/11/27,0.525,2020/12/25,0.9972,2021/02/19,1.7167,2021/06/11,3.3222,2021/10/29,4.2417
"Cisneros, Gilbert",SRPT,2020/09/14,2020/09/14,2020/09/21,0.0375,2020/09/28,0.0612,2020/10/12,0.0565,2020/11/09,-0.0689,2021/01/04,0.2358,2021/04/26,-0.4747,2021/09/13,-0.4054
"Shalala, Donna",HPQ,2019/02/05,2019/02/05,2019/02/12,0.0223,2019/02/19,0.026,2019/03/05,-0.1388,2019/04/02,-0.1216,2019/05/28,-0.1234,2019/09/17,-0.1729,2020/02/04,-0.0491
"Cisneros, Gilbert",HOG,2020/03/18,2020/03/18,2020/03/25,0.0225,2020/04/01,-0.1366,2020/04/15,-0.1047,2020/05/13,-0.0474,2020/07/08,0.2431,2020/10/28,0.6944,2021/03/17,0.8031
"Doggett, Lloyd",HD,2019/12/19,2019/12/19,2019/12/26,0.0038,2020/01/02,-0.0033,2020/01/16,0.0346,2020/02/13,0.1024,2020/04/09,-0.0833,2020/07/30,0.2046,2020/12/17,0.2428
"Frankel, Lois",COP,2020/03/11,2020/03/11,2020/03/18,-0.2906,2020/03/25,-0.0521,2020/04/08,0.0657,2020/05/06,0.2473,2020/07/01,0.2757,2020/10/21,-0.0377,2021/03/10,0.7896
"Wyden, Ronald L.",CAT,2020/06/05,2020/06/05,2020/06/12,-0.1035,2020/06/19,-0.0624,2020/07/03,-0.0517,2020/07/31,-0.0271,2020/09/25,0.0621,2021/01/15,0.4173,2021/06/04,0.7928
"Loeffler, Kelly",ORCL,2020/02/14,2020/02/14,2020/02/21,-0.0117,2020/02/28,-0.1196,2020/03/13,-0.1771,2020/04/10,-0.0499,2020/06/05,-0.0366,2020/09/25,0.0708,2021/02/12,0.1292
"Shalala, Donna",DOW,2019/05/20,2019/05/20,2019/05/27,-0.0292,2019/06/03,-0.0562,2019/06/17,-0.0108,2019/07/15,0.0015,2019/09/09,-0.1251,2019/12/30,0.0879,2020/05/18,-0.2662
"Comer, James",BAC,2020/02/25,2020/02/25,2020/03/03,-0.098,2020/03/10,-0.2882,2020/03/24,-0.3686,2020/04/21,-0.3102,2020/06/16,-0.1965,2020/10/06,-0.2222,2021/02/23,0.1168
"Marchant, Kenny",ZBRA,2020/11/19,2020/11/19,2020/11/26,0.0794,2020/12/03,0.0571,2020/12/17,0.0737,2021/01/14,0.1849,2021/03/11,0.3669,2021/07/01,0.5045,2021/11/18,0.7255
"Loeffler, Kelly",DFS,2020/01/21,2020/01/21,2020/01/28,-0.1071,2020/02/04,-0.0921,2020/02/18,-0.0993,2020/03/17,-0.5719,2020/05/12,-0.5196,2020/09/01,-0.3712,2021/01/19,0.1798
"Kinzinger, Adam",USFD,2020/07/23,2020/07/23,2020/07/30,-0.0369,2020/08/06,0.0582,2020/08/20,0.1048,2020/09/17,0.2089,2020/11/12,0.3447,2021/03/04,0.7604,2021/07/22,0.5929
"Roberts, Pat",FB,2018/02/05,2018/02/05,2018/02/12,-0.0588,2018/02/19,-0.0489,2018/03/05,-0.0382,2018/04/02,-0.156,2018/05/28,-0.0019,2018/09/17,-0.133,2019/02/04,-0.1032
"Reed, John F.",INTC,2016/12/14,2016/12/14,2016/12/21,0.0124,2016/12/28,0.0059,2017/01/11,0.0022,2017/02/08,-0.0076,2017/04/05,-0.0057,2017/07/26,-0.0517,2017/12/13,0.1847
"Courtney, Joe",LMT,2019/12/31,2019/12/31,2020/01/07,0.0582,2020/01/14,0.0697,2020/01/28,0.1107,2020/02/25,0.0516,2020/04/21,-0.0199,2020/08/11,0.0151,2020/12/29,-0.0897
"Phillips, Dean",ROP,2020/09/23,2020/09/23,2020/09/30,0.015,2020/10/07,0.0329,2020/10/21,0.0806,2020/11/18,0.034,2021/01/13,0.0736,2021/05/05,0.1383,2021/09/22,0.1757
"Foxx, Virginia",T,2020/04/23,2020/04/23,2020/04/30,0.0328,2020/05/07,-0.0227,2020/05/21,0.0035,2020/06/18,0.0165,2020/08/13,0.0099,2020/12/03,-0.0209,2021/04/22,0.0616
"Green, Mark",AM,2020/11/20,2020/11/20,2020/11/27,0.0949,2020/12/04,0.1535,2020/12/18,0.2755,2021/01/15,0.2994,2021/03/12,0.3889,2021/07/02,0.6188,2021/11/19,0.5725
"Phillips, Dean",BEN,2020/05/13,2020/05/13,2020/05/20,0.0477,2020/05/27,0.1149,2020/06/10,0.3161,2020/07/08,0.1963,2020/09/02,0.2229,2020/12/23,0.4224,2021/05/12,0.9097
"Blumenauer, Earl",UL,2020/03/03,2020/03/03,2020/03/10,-0.0386,2020/03/17,-0.1388,2020/03/31,-0.0973,2020/04/28,-0.0888,2020/06/23,0.0234,2020/10/13,0.1235,2021/03/02,-0.0521
"Phillips, Dean",TDG,2020/04/02,2020/04/02,2020/04/09,0.2795,2020/04/16,0.1091,2020/04/30,0.2841,2020/05/28,0.5802,2020/07/23,0.5882,2020/11/12,0.9917,2021/04/01,1.1552
"Phillips, Dean",DLR,2020/09/23,2020/09/23,2020/09/30,0.0435,2020/10/07,0.0866,2020/10/21,0.0999,2020/11/18,0.0171,2021/01/13,-0.0589,2021/05/05,0.072,2021/09/22,0.126
