official,ticker,tdate_purch_og,tdate_purch_edited,0. one_week,profit one_week,1. two_weeks,profit two_weeks,2. four_weeks,profit four_weeks,3. eight_weeks,profit eight_weeks,4. sixteen_weeks,profit sixteen_weeks,5. thirty_two_weeks,profit thirty_two_weeks,6. year,profit year
"Rutherford, John",TSN,2020/10/21,2020/10/21,2020/10/28,-0.0239,2020/11/04,-0.0311,2020/11/18,0.0965,2020/12/16,0.1389,2021/02/10,0.1902,2021/06/02,0.3736,2021/10/20,0.3847
"Courtney, Joe",FLCO,2020/10/16,2020/10/16,2020/10/23,-0.0063,2020/10/30,-0.0093,2020/11/13,0.0034,2020/12/11,0.0138,2021/02/05,-0.0093,2021/05/28,-0.0375,2021/10/15,-0.0317
"Carper, Thomas R.",FINX,2020/04/02,2020/04/02,2020/04/09,0.1406,2020/04/16,0.1251,2020/04/30,0.2265,2020/05/28,0.3865,2020/07/23,0.5511,2020/11/12,0.7502,2021/04/01,0.9688
"Perdue Jr., David A.",VIAC,2020/02/24,2020/02/24,2020/03/02,-0.1075,2020/03/09,-0.27,2020/03/23,-0.5767,2020/04/20,-0.427,2020/06/15,-0.1257,2020/10/05,0.0525,2021/02/22,1.4248
"Shalala, Donna",KUBTY,2019/01/16,2019/01/16,2019/01/23,0.0355,2019/01/30,0.0306,2019/02/13,0.0087,2019/03/13,-0.0886,2019/05/08,-0.0523,2019/08/28,-0.0509,2020/01/15,0.0231
"Evans, Dwight",CRM,2020/10/29,2020/10/29,2020/11/05,0.0765,2020/11/12,0.0452,2020/11/26,0.0401,2020/12/24,-0.0534,2021/02/18,0.0228,2021/06/10,-0.0088,2021/10/28,0.2349
"Capito, Shelley M.",CVX,2017/09/08,2017/09/08,2017/09/15,0.0282,2017/09/22,0.0532,2017/10/06,0.057,2017/11/03,0.0369,2017/12/29,0.13,2018/04/20,0.1019,2018/09/07,0.0291
"Phillips, Dean",UL,2020/04/16,2020/04/16,2020/04/23,0.0003,2020/04/30,0.0029,2020/05/14,-0.0246,2020/06/11,0.0576,2020/08/06,0.1619,2020/11/26,0.1673,2021/04/15,0.1049
"Lowenthal, Alan S.",CRM,2020/06/04,2020/06/04,2020/06/11,0.0145,2020/06/18,0.0729,2020/07/02,0.1223,2020/07/30,0.098,2020/09/24,0.371,2021/01/14,0.2594,2021/06/03,0.3392
"Beyer, Donald S.",FANUF,2020/11/19,2020/11/19,2020/11/26,0.0579,2020/12/03,0.0667,2020/12/17,0.0791,2021/01/14,0.1271,2021/03/11,0.04,2021/07/01,0.0163,2021/11/18,-0.1357
"Loeffler, Kelly",PANW,2020/04/07,2020/04/07,2020/04/14,0.0613,2020/04/21,0.0772,2020/05/05,0.1203,2020/06/02,0.3525,2020/07/28,0.4061,2020/11/17,0.6241,2021/04/06,0.9061
"Gianforte, Greg",VSAT,2020/08/10,2020/08/10,2020/08/17,-0.0183,2020/08/24,-0.0429,2020/09/07,-0.1123,2020/10/05,-0.1714,2020/11/30,-0.1707,2021/03/22,0.2455,2021/08/09,0.2435
"Cisneros, Gilbert",CENT,2020/01/29,2020/01/29,2020/02/05,-0.0168,2020/02/12,-0.0785,2020/02/26,-0.1226,2020/03/25,-0.1844,2020/05/20,0.0931,2020/09/09,0.2338,2021/01/27,0.3454
"Phillips, Dean",PGR,2020/05/20,2020/05/20,2020/05/27,-0.0001,2020/06/03,0.0445,2020/06/17,0.0595,2020/07/15,0.1284,2020/09/09,0.2401,2020/12/30,0.2933,2021/05/19,0.3561
"Lowenthal, Alan S.",JPM,2020/04/09,2020/04/09,2020/04/16,-0.1175,2020/04/23,-0.103,2020/05/07,-0.0884,2020/06/04,0.0403,2020/07/30,-0.0372,2020/11/19,0.1396,2021/04/08,0.5293
"Gottheimer, Josh",Z,2020/09/17,2020/09/17,2020/09/24,0.0265,2020/10/01,0.1175,2020/10/15,0.0979,2020/11/12,0.1512,2021/01/07,0.4778,2021/04/29,0.4282,2021/09/16,-0.033
"Lee, Susie",RSG,2020/07/23,2020/07/23,2020/07/30,0.0043,2020/08/06,0.0113,2020/08/20,0.0323,2020/09/17,0.1147,2020/11/12,0.1772,2021/03/04,0.0703,2021/07/22,0.3328
"Lamborn, Doug",NTAP,2020/12/30,2020/12/30,2021/01/06,-0.0028,2021/01/13,-0.0043,2021/01/27,0.0319,2021/02/24,0.0667,2021/04/21,0.1437,2021/08/11,0.2527,2021/12/29,0.4227
"Collins, Susan M.",PEP,2014/05/07,2014/05/07,2014/05/14,0.0104,2014/05/21,-0.0043,2014/06/04,0.0172,2014/07/02,0.0364,2014/08/27,0.0716,2014/12/17,0.0818,2015/05/06,0.1072
"Brooks, Susan W.",GE,2020/04/06,2020/04/06,2020/04/13,-0.0246,2020/04/20,-0.0723,2020/05/04,-0.125,2020/06/01,-0.0653,2020/07/27,-0.0492,2020/11/16,0.3385,2021/04/05,0.8919
"Trone, David",MS,2020/03/19,2020/03/19,2020/03/26,0.1385,2020/04/02,0.0586,2020/04/16,0.2312,2020/05/14,0.1924,2020/07/09,0.5586,2020/10/29,0.5409,2021/03/18,1.764
"Whitehouse, Sheldon",PCAR,2014/11/25,2014/11/25,2014/12/02,0.0038,2014/12/09,0.0316,2014/12/23,0.0314,2015/01/20,-0.0477,2015/03/17,-0.0768,2015/07/07,-0.0559,2015/11/24,-0.2427
"Loeffler, Kelly",TJX,2020/04/07,2020/04/07,2020/04/14,0.0225,2020/04/21,-0.0418,2020/05/05,0.0028,2020/06/02,0.1125,2020/07/28,0.0784,2020/11/17,0.2483,2021/04/06,0.4051
"Cisneros, Gilbert",DLTR,2020/02/07,2020/02/07,2020/02/14,0.0138,2020/02/21,0.0683,2020/03/06,-0.1057,2020/04/03,-0.199,2020/05/29,0.1193,2020/09/18,0.012,2021/02/05,0.2184
"Shalala, Donna",XENT,2019/03/06,2019/03/06,2019/03/13,0.001,2019/03/20,-0.0225,2019/04/03,-0.043,2019/05/01,-0.0477,2019/06/26,-0.341,2019/10/16,-0.4949,2020/03/04,-0.2908
"Guest, Michael P.",T,2020/02/21,2020/02/21,2020/02/28,-0.108,2020/03/06,-0.047,2020/03/20,-0.2384,2020/04/17,-0.196,2020/06/12,-0.2071,2020/10/02,-0.2589,2021/02/19,-0.2432
"Frankel, Lois",BSX,2020/03/18,2020/03/18,2020/03/25,0.1019,2020/04/01,0.1638,2020/04/15,0.3073,2020/05/13,0.3636,2020/07/08,0.2979,2020/10/28,0.3159,2021/03/17,0.467
"Lowenthal, Alan S.",BX,2020/04/16,2020/04/16,2020/04/23,0.0286,2020/04/30,0.1259,2020/05/14,0.0516,2020/06/11,0.1878,2020/08/06,0.135,2020/11/26,0.2903,2021/04/15,0.693
"Perdue Jr., David A.",GLW,2018/02/05,2018/02/05,2018/02/12,-0.041,2018/02/19,-0.0307,2018/03/05,-0.0553,2018/04/02,-0.1071,2018/05/28,-0.1249,2018/09/17,0.1557,2019/02/04,0.0908
