official,ticker,buy_date,sell_date,profit
"Perdue Jr., David A.",LGF-B,2018/12/21,2018/12/28,1.67
"Perdue Jr., David A.",V,2016/01/20,2016/01/27,1.31
"Perdue Jr., David A.",WMB,2016/11/18,2016/11/25,-0.01
"Inhofe, James M.",BMY,2017/02/01,2017/02/08,2.8
"Cassidy, William",SLB,2016/02/09,2016/02/16,2.96
"Inhofe, James M.",BIIB,2015/07/09,2015/07/16,2.85
"Shalala, Donna",PDM,2019/04/16,2019/04/23,-0.29
"Hoeven, John",JETS,2018/01/24,2018/01/31,-0.06
"Roberts, Pat",NVDA,2017/12/01,2017/12/08,-0.84
"Perdue Jr., David A.",SYY,2015/05/06,2015/05/13,0.73
"Courtney, Joe",ROST,2019/12/31,2020/01/07,1.37
"Whitehouse, Sheldon",LRCX,2015/12/22,2015/12/29,1.28
"Roberts, Pat",NFLX,2014/09/22,2014/09/29,-0.24
"Perdue Jr., David A.",KR,2019/08/06,2019/08/13,1.09
"Courtney, Joe",TFC,2019/12/31,2020/01/07,-0.95
"Roberts, Pat",MA,2019/11/12,2019/11/19,6.12
"Beyer, Donald S.",NEE,2019/12/23,2019/12/30,0.16
"Collins, Susan M.",NEE,2018/12/21,2018/12/28,-0.73
"Shalala, Donna",AMBA,2019/05/15,2019/05/22,-8.54
"Hoeven, John",MDU,2015/03/20,2015/03/27,-0.63
"Perdue Jr., David A.",RF,2017/11/30,2017/12/07,0.05
"Moran, Jerry",ALL,2018/12/19,2018/12/26,-2.7
"Roberts, Pat",COST,2016/11/14,2016/11/21,-0.12
"Capito, Shelley M.",WEC,2018/04/24,2018/05/01,2.01
"Shalala, Donna",TMHC,2019/01/09,2019/01/16,-0.43
"Perdue Jr., David A.",GM,2018/07/16,2018/07/23,-0.22
"Perdue Jr., David A.",URBN,2019/12/19,2019/12/26,-0.24
"Perdue Jr., David A.",UPS,2018/02/13,2018/02/20,-1.64
"Whitehouse, Sheldon",JCI,2017/02/23,2017/03/02,0.56
"Whitehouse, Sheldon",F,2018/05/24,2018/05/31,0.01
"Perdue Jr., David A.",HYH,2016/02/03,2016/02/10,0.06
"Hoeven, John",VLO,2016/04/22,2016/04/29,-1.28
"Perdue Jr., David A.",PYPL,2017/12/04,2017/12/11,0.95
"Perdue Jr., David A.",LYV,2016/04/22,2016/04/29,-0.05
"Whitehouse, Sheldon",BA,2016/11/15,2016/11/22,0.5
"Collins, Susan M.",AWK,2016/12/01,2016/12/08,0.69
"Roberts, Pat",AAPL,2014/07/30,2014/08/06,-0.77
"Malinowski, Tom",YEXT,2019/02/19,2019/02/26,-0.15
"Inhofe, James M.",MRK,2015/08/12,2015/08/19,1.84
"Cassidy, William",CMI,2016/01/05,2016/01/12,-3.08
"Perdue Jr., David A.",MOS,2016/11/07,2016/11/14,2.82
"Beyer, Donald S.",CYRX,2019/12/23,2019/12/30,-0.43
"Whitehouse, Sheldon",C,2018/05/07,2018/05/14,4.5
"Hoeven, John",VFC,2014/02/19,2014/02/26,2.7
"Cruz, Rafael E.",BFK,2014/02/06,2014/02/13,0.09
"Whitehouse, Sheldon",GOOGL,2016/04/12,2016/04/19,22.37
"Perdue Jr., David A.",MDLZ,2017/12/26,2018/01/02,-0.68
"Perdue Jr., David A.",AAPL,2016/02/25,2016/03/03,1.27
"Capito, Shelley M.",AXAHY,2017/09/05,2017/09/12,0.79
"Shalala, Donna",SITE,2019/05/15,2019/05/22,0.25
"Shalala, Donna",WYND,2019/03/06,2019/03/13,-3.91
"Perdue Jr., David A.",HBI,2017/11/13,2017/11/20,0.5
"Collins, Susan M.",CP,2014/02/04,2014/02/11,1.06
"Roberts, Pat",BIDU,2014/07/30,2014/08/06,-5.85
"Capito, Shelley M.",CB,2016/04/19,2016/04/26,-3.32
"Shalala, Donna",PATK,2019/02/06,2019/02/13,1.52
"Capito, Shelley M.",MSFT,2017/09/05,2017/09/12,1.37
"Axne, Cynthia",JEF,2019/02/04,2019/02/11,-0.62
"Murray, Patty",HSY,2017/03/16,2017/03/23,-0.81
"Perdue Jr., David A.",MRK,2017/10/27,2017/11/03,-3.3
"Perdue Jr., David A.",WLK,2016/01/15,2016/01/22,2.31
"Capito, Shelley M.",MSFT,2018/04/05,2018/04/12,1.06
"Joyce, David P.",IEFA,2019/03/04,2019/03/11,-0.7
"Perdue Jr., David A.",FEYE,2019/08/09,2019/08/16,0.06
"Perdue Jr., David A.",MOS,2018/01/16,2018/01/23,0.84
