official,ticker,buy_date,sell_date,profit
"Perdue Jr., David A.",LGF-B,2018/12/21,2019/02/15,1.59
"Perdue Jr., David A.",V,2016/01/20,2016/03/16,1.95
"Perdue Jr., David A.",WMB,2016/11/18,2017/01/13,-1.63
"Inhofe, James M.",BMY,2017/02/01,2017/03/29,7.42
"Cassidy, William",SLB,2016/02/09,2016/04/05,4.2
"Inhofe, James M.",BIIB,2015/07/09,2015/09/03,-96.55
"Shalala, Donna",PDM,2019/04/16,2019/06/11,-0.13
"Hoeven, John",JETS,2018/01/24,2018/03/21,0.02
"Roberts, Pat",NVDA,2017/12/01,2018/01/26,11.04
"Perdue Jr., David A.",SYY,2015/05/06,2015/07/01,-0.07
"Courtney, Joe",ROST,2019/12/31,2020/02/25,3.04
"Whitehouse, Sheldon",LRCX,2015/12/22,2016/02/16,-11.68
"Roberts, Pat",NFLX,2014/09/22,2014/11/17,-8.98
"Perdue Jr., David A.",KR,2019/08/06,2019/10/01,3.62
"Courtney, Joe",TFC,2019/12/31,2020/02/25,-3.86
"Perdue Jr., David A.",DISCA,2015/03/27,2015/05/22,2.0
"Roberts, Pat",MA,2019/11/12,2020/01/07,24.0
"Collins, Susan M.",NEE,2018/12/21,2019/02/15,2.08
"Shalala, Donna",AMBA,2019/05/15,2019/07/10,-2.48
"Hoeven, John",MDU,2015/03/20,2015/05/15,-1.27
"Perdue Jr., David A.",RF,2017/11/30,2018/01/25,2.61
"Moran, Jerry",ALL,2018/12/19,2019/02/13,12.33
"Roberts, Pat",COST,2016/11/14,2017/01/09,10.78
"Capito, Shelley M.",WEC,2018/04/24,2018/06/19,-1.1
"Shalala, Donna",TMHC,2019/01/09,2019/03/06,-2.05
"Perdue Jr., David A.",GM,2018/07/16,2018/09/10,-5.35
"Perdue Jr., David A.",URBN,2019/12/19,2020/02/13,0.25
"Perdue Jr., David A.",UPS,2018/02/13,2018/04/10,-0.93
"Whitehouse, Sheldon",JCI,2017/02/23,2017/04/20,-0.25
"Whitehouse, Sheldon",F,2018/05/24,2018/07/19,-0.71
"Perdue Jr., David A.",HYH,2016/02/03,2016/03/30,5.03
"Hoeven, John",VLO,2016/04/22,2016/06/17,-8.91
"Perdue Jr., David A.",PYPL,2017/12/04,2018/01/29,12.31
"Perdue Jr., David A.",LYV,2016/04/22,2016/06/17,1.79
"Whitehouse, Sheldon",BA,2016/11/15,2017/01/10,10.94
"Collins, Susan M.",AWK,2016/12/01,2017/01/26,0.3
"Roberts, Pat",AAPL,2014/07/30,2014/09/24,0.96
"Malinowski, Tom",YEXT,2019/02/19,2019/04/16,3.4
"Inhofe, James M.",MRK,2015/08/12,2015/10/07,-6.92
"Cassidy, William",CMI,2016/01/05,2016/03/01,9.76
"Whitehouse, Sheldon",C,2018/05/07,2018/07/02,-1.86
"Hoeven, John",VFC,2014/02/19,2014/04/16,2.87
"Cruz, Rafael E.",BFK,2014/02/06,2014/04/03,0.21
"Whitehouse, Sheldon",GOOGL,2016/04/12,2016/06/07,-24.49
"Perdue Jr., David A.",MDLZ,2017/12/26,2018/02/20,0.47
"Perdue Jr., David A.",AAPL,2016/02/25,2016/04/21,2.55
"Perdue Jr., David A.",FEYE,2016/06/27,2016/08/22,0.18
"Capito, Shelley M.",AXAHY,2017/09/05,2017/10/31,1.64
"Shalala, Donna",SITE,2019/05/15,2019/07/10,1.6
"Shalala, Donna",WYND,2019/03/06,2019/05/01,-2.17
"Perdue Jr., David A.",HBI,2017/11/13,2018/01/08,2.45
"Collins, Susan M.",CP,2014/02/04,2014/04/01,0.64
"Roberts, Pat",BIDU,2014/07/30,2014/09/24,-1.32
"Capito, Shelley M.",CB,2016/04/19,2016/06/14,1.8
"Shalala, Donna",PATK,2019/02/06,2019/04/03,4.62
"Capito, Shelley M.",MSFT,2017/09/05,2017/10/31,10.3
"Axne, Cynthia",JEF,2019/02/04,2019/04/01,-1.4
"Murray, Patty",HSY,2017/03/16,2017/05/11,-2.62
"Perdue Jr., David A.",MRK,2017/10/27,2017/12/22,-2.58
"Perdue Jr., David A.",WLK,2016/01/15,2016/03/11,3.14
"Capito, Shelley M.",MSFT,2018/04/05,2018/05/31,7.06
"Joyce, David P.",IEFA,2019/03/04,2019/04/29,1.96
"Perdue Jr., David A.",FEYE,2019/08/09,2019/10/04,0.84
"Perdue Jr., David A.",MOS,2018/01/16,2018/03/13,1.48
"Perdue Jr., David A.",DISCA,2017/11/17,2018/01/12,6.78
"Perdue Jr., David A.",HBI,2017/10/03,2017/11/28,-4.73
"Perdue Jr., David A.",MOS,2017/04/11,2017/06/06,-6.19
"Inhofe, James M.",FANG,2015/07/15,2015/09/09,-4.77
"Capito, Shelley M.",GD,2018/04/24,2018/06/19,-31.27
"Shalala, Donna",PCH,2019/04/30,2019/06/25,-0.73
"Perdue Jr., David A.",IP,2017/12/26,2018/02/20,0.59
"Perdue Jr., David A.",HYH,2016/01/26,2016/03/22,3.52
"Carper, Thomas R.",AEE,2015/08/25,2015/10/20,3.65
"Shalala, Donna",KUBTY,2019/01/16,2019/03/13,-6.7
"Perdue Jr., David A.",BWXT,2018/12/21,2019/02/15,12.77
"Perdue Jr., David A.",FEYE,2018/01/16,2018/03/13,2.22
"Perdue Jr., David A.",MA,2016/02/25,2016/04/21,11.25
"Perdue Jr., David A.",AAPL,2016/02/01,2016/03/28,2.39
"Perdue Jr., David A.",BAC,2016/04/14,2016/06/09,0.21
"Perdue Jr., David A.",HYH,2016/01/28,2016/03/24,2.64
"Moran, Jerry",WFC,2018/12/06,2019/01/31,-1.54
"Toomey, Patrick J.",PG,2015/04/27,2015/06/22,-0.08
"Capito, Shelley M.",JNJ,2018/04/24,2018/06/19,-4.51
"Perdue Jr., David A.",FEYE,2016/06/28,2016/08/23,0.25
"Cassidy, William",SBUX,2018/04/23,2018/06/18,-1.49
"Hoeven, John",WTW,2018/11/07,2019/01/02,-6.3
"Moran, Jerry",CVS,2018/12/19,2019/02/13,-1.75
"Collins, Susan M.",WFC,2014/05/07,2014/07/02,3.55
"Whitehouse, Sheldon",SBUX,2016/06/07,2016/08/02,1.25
"Perdue Jr., David A.",GM,2018/07/05,2018/08/30,-2.98
"Perdue Jr., David A.",PAGP,2019/02/07,2019/04/04,1.91
"Collins, Susan M.",SCHW,2014/04/21,2014/06/16,-1.6
"Roberts, Pat",NFLX,2018/08/24,2018/10/19,-7.85
"Perdue Jr., David A.",GOOGL,2017/12/26,2018/02/20,39.39
"Capito, Shelley M.",JKHY,2017/09/08,2017/11/03,9.47
"Whitehouse, Sheldon",WMT,2018/08/28,2018/10/23,1.61
"Perdue Jr., David A.",FDX,2019/04/08,2019/06/03,-36.94
"Murray, Patty",COP,2017/03/16,2017/05/11,1.59
"Perdue Jr., David A.",CZR,2018/08/01,2018/09/26,5.87
"Whitehouse, Sheldon",FB,2016/11/28,2017/01/23,7.34
"Perdue Jr., David A.",EAF,2019/05/29,2019/07/24,1.21
"Whitehouse, Sheldon",C,2017/05/24,2017/07/19,4.88
"Capito, Shelley M.",CL,2018/04/24,2018/06/19,-2.28
"Perdue Jr., David A.",GLW,2018/02/05,2018/04/02,-3.28
"Curtis, John",DOMO,2019/08/02,2019/09/27,-10.53
"Whitehouse, Sheldon",NVDA,2018/10/23,2018/12/18,-18.29
"Whitehouse, Sheldon",T,2019/04/18,2019/06/13,0.25
"Courtney, Joe",LMT,2019/12/31,2020/02/25,20.11
"Cisneros, Gilbert",FLEX,2019/12/24,2020/02/18,0.58
"Langevin, James R.",HUYA,2019/05/06,2019/07/01,3.21
"Perdue Jr., David A.",KN,2015/01/21,2015/03/18,-0.81
"Shalala, Donna",WFC,2019/02/05,2019/04/02,-0.61
"Perdue Jr., David A.",ACA,2018/12/20,2019/02/14,6.27
"Malinowski, Tom",VIOT,2019/04/08,2019/06/03,-2.74
"Capito, Shelley M.",PAYX,2018/04/05,2018/05/31,3.67
"Perdue Jr., David A.",LGF-B,2019/11/12,2020/01/07,1.24
"Roberts, Pat",NVDA,2018/04/25,2018/06/20,11.6
"Capito, Shelley M.",ICE,2018/02/27,2018/04/24,-0.46
"Perdue Jr., David A.",NWSA,2019/10/16,2019/12/11,-0.16
"Perdue Jr., David A.",PEP,2018/05/22,2018/07/17,14.31
"Whitehouse, Sheldon",NFLX,2015/04/07,2015/06/02,28.6
"Shalala, Donna",NOV,2019/02/15,2019/04/12,-1.86
"Whitehouse, Sheldon",UL,2014/10/07,2014/12/02,1.72
"Collins, Susan M.",MCHP,2014/06/19,2014/08/14,-1.04
"Perdue Jr., David A.",QCOM,2015/08/24,2015/10/19,3.92
"Capito, Shelley M.",T,2017/09/05,2017/10/31,-3.54
"Hoeven, John",CAT,2018/03/05,2018/04/30,-3.04
"Carper, Thomas R.",NWL,2017/08/31,2017/10/26,-7.74
"Capito, Shelley M.",GD,2016/04/19,2016/06/14,2.62
"Perdue Jr., David A.",T,2019/01/31,2019/03/28,1.57
"Perdue Jr., David A.",DVN,2015/07/29,2015/09/23,-11.78
"Roberts, Pat",NFLX,2014/03/06,2014/05/01,-17.02
"Moran, Jerry",0QZI.IL,2019/09/25,2019/11/20,17.56
"Shalala, Donna",FII,2019/03/06,2019/05/01,1.09
"Whitehouse, Sheldon",T,2018/06/13,2018/08/08,-0.26
"Inhofe, James M.",FLR,2017/05/17,2017/07/12,-0.58
"Hoeven, John",HAS,2016/08/22,2016/10/17,0.3
"Beyer, Donald S.",FANUF,2019/12/24,2020/02/18,-4.19
"Roberts, Pat",ZNGA,2014/11/07,2015/01/02,0.17
"Perdue Jr., David A.",FDX,2019/06/26,2019/08/21,0.53
"Perdue Jr., David A.",FE,2016/05/05,2016/06/30,0.8
"Courtney, Joe",MCHP,2019/12/31,2020/02/25,-2.93
"Perdue Jr., David A.",BWXT,2018/12/13,2019/02/07,6.3
"Capito, Shelley M.",CB,2018/04/24,2018/06/19,-7.38
"Perdue Jr., David A.",FDX,2019/04/03,2019/05/29,-27.66
"Capito, Shelley M.",VFC,2018/04/05,2018/05/31,4.43
"Perdue Jr., David A.",MPLX,2016/04/22,2016/06/17,-0.08
"Courtney, Joe",JPM,2019/12/31,2020/02/25,-9.97
"Roberts, Pat",TJX,2017/07/24,2017/09/18,2.94
"Perdue Jr., David A.",URBN,2017/06/01,2017/07/27,-0.3
"Perdue Jr., David A.",FEYE,2016/10/19,2016/12/14,0.77
"Roberts, Pat",FB,2018/10/12,2018/12/07,-15.33
"Whitehouse, Sheldon",AXP,2014/07/29,2014/09/23,-3.12
"Perdue Jr., David A.",EPD,2018/09/18,2018/11/13,-2.89
"Whitehouse, Sheldon",DISH,2017/04/05,2017/05/31,0.11
"Perdue Jr., David A.",SUN,2018/01/31,2018/03/28,-5.99
"Perdue Jr., David A.",FEYE,2016/11/18,2017/01/13,-0.58
"Hoeven, John",ABBV,2014/04/28,2014/06/23,3.76
"Toomey, Patrick J.",BOX,2018/05/02,2018/06/27,1.66
"Courtney, Joe",NEE,2019/12/31,2020/02/25,7.9
"Perdue Jr., David A.",EAF,2019/05/24,2019/07/19,0.54
"Perdue Jr., David A.",BAC,2016/03/30,2016/05/25,1.43
"Murray, Patty",MDT,2017/03/16,2017/05/11,0.07
"Whitehouse, Sheldon",C,2017/07/25,2017/09/19,2.88
"Perdue Jr., David A.",LGF-B,2018/12/10,2019/02/04,0.88
"Whitehouse, Sheldon",NFLX,2016/01/05,2016/03/01,-11.83
"Whitehouse, Sheldon",BABA,2014/11/10,2015/01/05,-15.86
"Toomey, Patrick J.",XLV,2015/01/30,2015/03/27,3.11
"Shalala, Donna",BOOM,2019/06/04,2019/07/30,-20.85
"Toomey, Patrick J.",ILF,2014/09/02,2014/10/28,-7.32
"Roberts, Pat",COF,2017/09/26,2017/11/21,5.61
"Perdue Jr., David A.",FEYE,2018/06/25,2018/08/20,-1.5
"Perdue Jr., David A.",MRK,2018/01/16,2018/03/13,-6.81
"Axne, Cynthia",CVET,2019/02/08,2019/04/05,-8.89
"Collins, Susan M.",DIS,2014/05/07,2014/07/02,5.17
"Perdue Jr., David A.",URBN,2019/12/03,2020/01/28,1.95
"Hoeven, John",GIS,2017/04/21,2017/06/16,-0.11
"Toomey, Patrick J.",LGP,2014/06/11,2014/08/06,-1.0
"Roberts, Pat",COST,2015/03/06,2015/05/01,-4.68
"Hoeven, John",PEP,2017/01/20,2017/03/17,8.34
"Perdue Jr., David A.",MOS,2019/04/03,2019/05/29,-6.41
"Perdue Jr., David A.",HYH,2016/02/04,2016/03/31,3.99
"Collins, Susan M.",AXP,2014/04/23,2014/06/18,7.68
"Capito, Shelley M.",NVS,2017/09/05,2017/10/31,-1.17
"Perdue Jr., David A.",DISCA,2017/11/13,2018/01/08,5.21
"Shalala, Donna",DEO,2019/02/15,2019/04/12,5.87
"Perdue Jr., David A.",BAC,2016/03/07,2016/05/02,1.1
"Perdue Jr., David A.",T,2019/01/30,2019/03/27,1.74
"Perdue Jr., David A.",DVN,2018/03/27,2018/05/22,10.14
"Perdue Jr., David A.",CZR,2017/07/20,2017/09/14,4.45
"Perdue Jr., David A.",LGF-B,2018/11/30,2019/01/25,-1.02
"Perdue Jr., David A.",URBN,2017/06/08,2017/08/03,2.41
"Perdue Jr., David A.",HBI,2018/12/27,2019/02/21,7.14
"Capito, Shelley M.",CMPGY,2017/09/05,2017/10/31,0.59
"Cassidy, William",JNJ,2016/03/31,2016/05/26,4.57
"Collins, Susan M.",PEP,2014/05/07,2014/07/02,3.13
"Perdue Jr., David A.",M,2019/08/15,2019/10/10,-1.14
"Miller, Carol D.",CVS,2019/04/11,2019/06/06,0.39
"Inhofe, James M.",RSPP,2015/08/24,2015/10/19,5.66
"Collins, Susan M.",AXP,2015/01/13,2015/03/10,-10.47
"Whitehouse, Sheldon",DEO,2016/11/28,2017/01/23,6.98
"Roberts, Pat",AAPL,2014/08/01,2014/09/26,0.97
"Joyce, David P.",IJH,2019/07/24,2019/09/18,-1.54
"Perdue Jr., David A.",SBUX,2016/05/16,2016/07/11,1.01
"Shalala, Donna",AOS,2019/02/20,2019/04/17,3.79
"Conaway, K. M.",GSLC,2019/12/03,2020/01/28,3.62
"Perdue Jr., David A.",RF,2017/06/01,2017/07/27,0.62
"Murray, Patty",VZ,2017/03/16,2017/05/11,-3.88
"Cassidy, William",FRT,2017/03/29,2017/05/24,-6.24
"Phillips, Dean",CMCSA,2019/12/30,2020/02/24,0.1
"Shalala, Donna",BERY,2019/04/30,2019/06/25,-7.47
"Perdue Jr., David A.",INFY,2017/06/22,2017/08/17,0.61
"Perdue Jr., David A.",DUK,2017/12/26,2018/02/20,-8.25
"Whitehouse, Sheldon",ADI,2017/05/05,2017/06/30,2.21
"Shalala, Donna",LMT,2019/05/20,2019/07/15,27.69
"Whitehouse, Sheldon",MCK,2016/10/26,2016/12/21,-15.56
"Reed, John F.",HOLX,2018/11/28,2019/01/23,0.34
"Hoeven, John",IBM,2019/10/21,2019/12/16,2.53
"Hoeven, John",NFLX,2019/09/24,2019/11/19,43.46
"Murray, Patty",SO,2017/03/16,2017/05/11,-0.8
"Hoeven, John",WTW,2017/12/21,2018/02/15,6.89
