	p26	p52	p104
Consumer Cyclical	0.09	0.21	0.29
Industrials	0.04	0.12	0.23
Energy	-0.1	-0.15	-0.17
Basic Materials	0.02	0.12	0.47
Healthcare	0.04	0.11	0.23
Financial Services	0.03	0.11	0.19
Communication Services	-0.08	-0.14	-0.09
Utilities	0.04	0.05	0.23
Services	0.12		
Fund	0.04	0.07	0.21
Trust	0.04	0.2	0.85
Real Estate	-0.02	-0.1	0.13
Technology	0.07	0.17	0.49
Consumer Defensive	0.04	0.1	0.19
