	p26	p52	p104
Consumer Cyclical	0.11	0.19	0.31
Industrials	0.07	0.09	0.26
Energy	-0.08	-0.12	-0.14
Basic Materials	0.04	0.19	0.31
Healthcare	0.06	0.14	0.21
Financial Services	0.08	0.1	0.16
Communication Services	-0.09	-0.17	0.02
Utilities	0.02	0.07	0.25
Fund	0.02	0.07	0.19
Trust	-0.03	0.33	0.57
Real Estate	0.07	0.11	0.31
Technology	0.09	0.2	0.49
Consumer Defensive	0.07	0.12	0.19
