	p26	p52	p104
Consumer Cyclical	0.09	0.18	0.29
Industrials	0.03	0.07	0.22
Energy	-0.08	-0.16	-0.17
Basic Materials	0.03	0.17	0.4
Healthcare	0.08	0.14	0.24
Financial Services	0.03	0.05	0.16
Communication Services	-0.12	-0.17	-0.06
Utilities	0.03	0.08	0.24
Fund	0.04	0.05	0.19
Trust	0.09	0.31	0.74
Real Estate	-0.02	-0.09	0.13
Technology	0.06	0.18	0.49
Consumer Defensive	0.03	0.09	0.19
