official	house	senate	input
Hoeven, John		20.55	20.55
Raskin, Jamie	0.2		0.2
Rooney, Francis	15.0		15.0
Keating, William R.	5.82		5.82
Frankel, Lois	32.33		32.33
Clark, Katherine M.	27.0		27.0
Long, Billy	2.55		2.55
Upton, Fred	0.57		0.57
Sherrill, Mikie	53.67		53.67
Phillips, Dean	171.33		171.33
Schneider, Bradley S.	1.0		1.0
Scott, Austin	6.82		6.82
Luria, Elaine	1.33		1.33
Bilirakis, Gus M.	0.27		0.27
Doggett, Lloyd	1.63		1.63
McHenry, Patrick T.	0.06		0.06
Hern, Kevin	90.0		90.0
Cardin, Benjamin L.		0.6	0.6
Spanberger, Abigail	0.67		0.67
Blumenthal, Richard		4.55	4.55
Moore, Blake	111.0		111.0
Cornyn, John		0.1	0.1
Flores, Bill	0.3		0.3
McConnell Jr., A. M.		0.59	0.59
Gibbs, Bob	3.36		3.36
Warren, Elizabeth		0.11	0.11
Garbarino, Andrew	13.0		13.0
Peters, Gary C.		11.0	11.0
Carter, Earl L.	1.86		1.86
Schiff, Adam B.	0.19		0.19
Inhofe, James M.		6.39	6.39
Mast, Brian	7.4		7.4
Chu, Judy	0.08		0.08
Yarmuth, John A.	6.8		6.8
Loeffler, Kelly		279.0	279.0
Dunn, Neal P.	6.0		6.0
Murray, Patty		5.55	5.55
Buck, Kenneth R.	0.14		0.14
Newman, Marie	296.0		296.0
Bustos, Cheri	1.11		1.11
Jacobs, Christopher L.	43.0		43.0
Langevin, James R.	8.1		8.1
Alexander, Lamar		3.28	3.28
Hollen, Chris V.		0.37	0.37
Meijer, Peter	266.0		266.0
Bucshon, Larry	0.09		0.09
Case, Ed	1.12		1.12
