party, gender	house	senate	input
Democratic, male	8570.47	11064.27	9299.67
Democratic, female	10245.19	9136.14	10162.43
Independent, male		11339.04	11339.04
Republican, male	19551.12	15135.0	17106.82
Libertarian, male	11137.76		11137.76
Republican, female	12977.15	14913.63	14473.8
